Day	Hour	Count	Coverage%
2022-10-11	00	143942	100.0
2022-10-11	01	153407	100.0
2022-10-11	02	150147	100.0
2022-10-11	03	160726	100.0
2022-10-11	04	139219	100.0
2022-10-11	05	130219	100.0
2022-10-11	06	129727	100.0
2022-10-11	07	135632	100.0
2022-10-11	08	146692	100.0
2022-10-11	09	163889	100.0
2022-10-11	10	180702	100.0
2022-10-11	11	145355	72.639
2022-10-11	12	216785	100.0
2022-10-11	13	228915	100.0
2022-10-11	14	226887	100.0
2022-10-11	15	224148	99.472
2022-10-11	16	200729	100.0
2022-10-11	17	182828	100.0
2022-10-11	18	169334	100.0
2022-10-11	19	162963	100.0
2022-10-11	20	156870	100.0
2022-10-11	21	152483	100.0
2022-10-11	22	151254	100.0
2022-10-11	23	150668	100.0
