Emoji	Count
😭	158791
😂	120720
✨	94172
🤣	84392
🔥	80852
🔗	74518
✅	61211
🔰	57267
❤️	53903
📯	48020
🕓	43929
🎁	38318
🥺	33461
💥	31921
😍	31287
🙏	29806
🎉	29103
💜	28216
🥰	27458
🥹	27142
🐪	24775
💦	23671
💕	23646
‼️	23214
👇	22069
🤍	21021
😊	20599
🌟	19491
💙	19304
👍	18482
❗	16049
💚	15401
👏	15390
🚀	15244
🚨	15026
📍	13979
👀	13887
🗼	13882
😈	13393
☺️	13305
💗	13012
🐺	12806
❤	12672
😅	12528
💖	12502
⚡	12485
😆	12094
🤔	11835
♥️	11582
🖤	11460
😘	11355
🏆	11302
🥳	11203
🕔	11200
🥲	11179
💛	10641
👉	10596
📌	10252
😁	10201
♻	9761
🤭	9687
💰	9621
🤤	9572
🌹	9151
🫶🏻	9014
🎢	8735
🥵	8632
😳	8625
🎃	8476
💔	8465
🤩	8445
💀	8187
🫶	8137
2️⃣	8099
😎	7995
🌸	7995
🤡	7916
⭐	7906
😋	7763
💯	7754
1️⃣	7713
💪	7697
➡️	7689
👑	7404
🍀	7227
😉	7143
🇧🇷	7070
❤️‍🔥	6972
🔴	6926
🔠	6874
🫠	6745
🤗	6636
🎨	6583
😢	6580
❣️	6516
🎶	6513
🔔	6483
⬇️	6445
🎊	6434
😔	6349
📲	6326
😌	6283
💞	6210
📨	6158
1⃣	6158
🎯	6108
😩	6104
🎥	6101
💫	6029
😇	5984
📸	5983
💓	5978
📢	5941
🙌	5932
🍆	5896
😏	5750
⚠️	5748
🙄	5645
💋	5625
🍑	5625
😡	5572
💭	5572
☀️	5323
🌈	5305
✔	5267
🏣	5246
📣	5224
⏰	5187
🐰	5126
🙏🏻	5053
💆🏻‍♂️	5037
😱	4969
🚩	4908
✌️	4789
🧡	4764
🟩	4649
👻	4633
♥	4633
💎	4577
☕	4573
❌	4537
🔝	4453
👌	4452
3️⃣	4376
🤯	4374
💐	4333
‼	4321
🤮	4281
🍓	4267
💸	4266
😄	4254
🤪	4227
😜	4221
🍁	4217
⚽	4196
🌐	4151
👇🏻	4122
🎀	4039
😃	3985
🤝	3923
🐶	3866
2⃣	3835
🔹	3822
🎵	3821
🎂	3791
🦋	3746
🐱	3686
👏🏻	3675
🫣	3660
🗣	3659
😀	3628
♻️	3609
🙌🏻	3590
👅	3576
🙈	3569
🙃	3558
🙂	3500
🌷	3333
⚠	3323
😒	3233
🌺	3224
☠️	3135
🫡	3113
🔽	3034
🌿	3034
🐻	3011
💘	2997
👍🏻	2980
💌	2912
🤬	2884
▶️	2864
🌻	2848
🍔	2844
💮	2838
⬜	2818
🇪🇹	2796
4️⃣	2753
📺	2751
❕	2719
😫	2683
🔞	2668
⁉️	2630
🇫🇷	2619
😹	2611
🫂	2606
😻	2598
🏮	2594
😝	2589
🌙	2568
🌱	2539
✔️	2520
👋	2499
🌼	2493
🔻	2479
💢	2479
💏	2468
🥴	2466
🇺🇸	2457
📱	2453
🔁	2431
▪️	2407
🍂	2397
😤	2381
🐷	2368
🇹🇭	2335
🎬	2332
▶	2323
💨	2315
👊	2304
❓	2296
🐯	2291
5️⃣	2273
🌊	2264
🙇‍♀️	2260
🎈	2250
🌞	2250
🫧	2244
😞	2242
3⃣	2227
✊	2218
🇺🇦	2197
➖	2152
👉🏻	2150
😮‍💨	2148
⭕	2144
🤧	2128
🏝	2126
🤲	2123
😬	2114
㊗️	2100
⏳	2094
🍒	2087
🤨	2078
🚧	2069
🤫	2039
☺	2033
😴	2027
🇪🇷	2007
🥇	2002
