Value	Count
Twitter for Android	1803118
Twitter for iPhone	1475737
Twitter Web App	632130
Twitter for iPad	84291
twittbot.net	47118
Twitter for Mac	38357
TweetDeck	26585
Cheap Bots, Done Quick!	9631
WordPress.com	6284
Botbird tweets	5291
Twitter	4857
Microsoft Power Platform	4405
グランブルー ファンタジー	4119
BelugaCampaignSEA	4040
Arrow.	3073
IFTTT	3003
dlvr.it	2898
Shuttlerock - Bluebird	2705
Echofon  Android	2358
Twitcom - Comunidades 	2273
Twittascope	2253
OWNLY Admin	2238
Instagram	2154
Hootsuite Inc.	1860
Echoes Act2	1710
fllwrs	1512
Karabiner	1300
Tweetbot for iΟS	1262
Twittt.com	1009
Buffer	924
Twiit.com	893
feather for iOS  	829
PlayStation®Network	807
Nintendo Switch Share	793
Twitter Media Studio	770
SocialDog for Twitter	708
TwitPane for Android	692
ATELU for Twitter	645
Radio.co now playing	617
Sprout Social	608
Echofon	560
Peing	537
やさしい世界を目指すマシュマロちゃん	519
TwitCasting	454
Poshmark	446
Cercanías Avisos	444
今日のツイライフ	437
Mirrativ	421
ツイタマ for Android	418
twitcle plus	395
Twidere for Android	385
Revive Social App	374
MixChannel - ミクチャ	342
livedoor Blog	336
Echobox	336
Twitterrific for iOS	323
Tween	320
ツイタマ+ for Android	319
TwitPanePlus	314
TweetCaster for Android	312
TweetDeck Web App	311
Twitter Web Client	281
Zapier.com	278
Tweetlogix	276
Sprinklr	273
Cubi.so	272
SocialFlow	259
SocialBee.io v2	258
AbemaTV	246
The Social Jukebox	238
Plume for Android	237
Airtime Pro	236
Tabtter Free	232
LinkedIn	231
Twitter for Advertisers	225
on TheWorld	224
ツイ廃あらーと	223
SocialNewsDesk	222
Paper.li	203
Radio King LiveTweet	200
Camtsuku	199
SAM Broadcaster Song Info	194
SocialPilot.co	187
Tumblr	182
Tweetbot for Mac	177
Weathercloud	175
Streamlabs Twitter	175
Campaign Management System	174
zabuu_site	173
Hotpepper	173
HubSpot	170
Metricool	169
Foursquare	166
TestsForSearch	160
fusetter	150
Janetter for Android	149
Hel2um on iOS	149
懸賞ファン	147
SHOWROOM-LIVE	147
Rakuten Group, Inc.	147
Hypefury	146
CareerArc 2.0	134
Blog2Social APP	134
Publer.io	132
Janetter iOS	126
Janetter	126
iembot	121
MateCha	121
LaterMedia	120
Typefully	113
Fenix 2	111
Sprinklr Publishing	110
Affinitweet.com	109
BoxFresh	108
Make (formerly Integromat)	107
Salesforce - Social Studio	106
Tweecha Lite	105
Besocy_Oficial	103
Unfollowspy	101
SAM Broadcaster Cloud	100
OneDirect Suite - P	100
BIGO LIVE	100
stafsmoketest	99
StreamElements	99
SocialOomph	98
RTWIN-adsAPI	98
Agorapulse app	95
Myfxbook	93
Loomly	89
feather free for iOS 	86
TwinyBots	86
SobaCha	85
Flamingo for Android	84
Tweet Hunter Pro	83
The Tweeted Times	83
Periscope	83
NovaPress	83
