Emoji	Count
🔹	288573
😭	125742
🔥	88755
😂	68529
✨	66258
🌷	51851
🤣	46422
❤️	38705
🎁	26746
🥺	22903
✅	22470
🙏	21356
😍	20426
‼️	20212
🥰	18475
🥹	18362
🎉	16834
💦	16248
🥼	16197
💕	16169
💙	15428
😊	14835
🌟	13480
🤍	12621
👇	12512
👍	10762
💜	10592
💗	10437
☺️	10321
👏	9788
😆	9217
😅	9014
💖	8962
❤	8823
💚	8483
😈	8184
❗	8068
🥲	7773
👀	7729
😘	7442
♥️	7371
📌	7340
🥳	7283
🚨	7235
🤔	7068
😁	7004
🔔	6986
💛	6973
👉	6552
😳	6491
💥	6432
🖤	6259
🫶🏻	6250
🌹	6223
📍	6156
🤭	6147
🤤	5963
🏆	5855
⚡	5818
⭐	5664
🌸	5658
😋	5647
🤩	5521
🧡	5262
😎	5259
🍀	5247
💪	5201
💓	5175
👑	5168
🥵	5128
📸	5127
🫶	5111
❣️	5076
😉	5074
🎶	5017
🫠	4797
🔴	4747
🟩	4722
🎊	4698
🌈	4696
💰	4578
😌	4562
🚀	4467
🙌	4429
💯	4395
❤️‍🔥	4395
😇	4382
🤗	4323
🎯	4309
💔	4292
🔗	4280
☀️	4273
💞	4224
🐰	4208
💀	4134
😢	4044
💫	4004
⬇️	3927
🦋	3846
🌕	3837
😔	3783
⚠️	3781
⏰	3776
🐶	3748
📢	3733
🍑	3671
💋	3603
🙄	3546
1⃣	3538
1️⃣	3503
✌️	3484
😡	3452
🍆	3450
😏	3447
🙏🏻	3442
💎	3441
♻️	3384
😩	3301
💆🏻‍♂️	3292
🎥	3196
➡️	3188
🤡	3130
😱	3113
😄	3106
🎂	3014
😃	2993
📺	2986
‼	2924
🐱	2922
🐷	2919
💐	2898
👌	2888
☕	2832
🌻	2782
2️⃣	2682
🎀	2643
🎵	2596
📣	2595
⬜	2595
🤝	2545
♥	2544
🦊	2525
🫣	2508
👏🏻	2506
❌	2452
🚩	2450
🇧🇷	2440
🙇‍♀️	2421
2⃣	2383
💘	2375
😀	2371
▶	2367
🙈	2332
❕	2330
🌺	2328
😜	2305
🙇‍♂️	2283
⚪	2269
⚽	2261
🇹🇷	2243
⁉️	2235
💸	2231
▶️	2215
🙂	2209
🕊	2172
💌	2140
🔸	2138
👇🏻	2111
⚫	2110
🌱	2080
🦄	2060
🍁	2059
🌝	2027
🤪	2010
🔻	1996
🎬	1982
🌼	1956
💢	1953
🐐	1944
📱	1943
👅	1933
✔️	1933
💭	1900
🔞	1888
❓	1882
🔁	1872
🙃	1859
✈️	1828
🍓	1814
🇺🇸	1814
👍🏻	1809
🫡	1800
🎤	1798
👋	1785
🇯🇵	1747
🌊	1742
🍒	1721
⬛	1712
🌿	1707
🐋	1684
💨	1680
⭕	1678
🧸	1663
🌞	1660
➿	1654
👊	1652
🤲	1627
🌙	1604
💡	1581
🎈	1574
😚	1559
🥇	1538
🟨	1485
🟢	1477
🤮	1476
😻	1469
🥴	1464
😝	1464
🐾	1459
😹	1457
😵‍💫	1456
㊗️	1441
📲	1433
🤯	1422
3️⃣	1421
☑️	1390
▪️	1387
🟦	1374
☺	1370
😤	1337
😒	1333
☀	1321
😫	1316
🧿	1308
😮‍💨	1308
🫧	1307
💝	1307
🦁	1305
🐻	1304
💧	1276
🍺	1276
☁️	1274
🗣	1268
🐹	1268
✊	1267
🔵	1266
❣	1261
🤬	1255
🫶🏼	1254
3⃣	1242
🍃	1237
😴	1224
👈	1222
😞	1221
🥂	1208
💃	1188
🎧	1175
🤧	1171
🙌🏻	1166
🌴	1160
✔	1141
👉🏻	1134
📷	1129
🙇	1128
😬	1122
🐈	1116
🤫	1115
🔄	1098
⚔️	1098
🚧	1093
☑	1092
🫖	1083
🤑	1083
🐯	1078
🅿️	1078
🐨	1070
🐧	1059
📈	1056
🤏🏻	1053
😛	1051
🐺	1047
🇸🇦	1040
0️⃣	1036
✌🏻	1035
🐍	1034
💤	1032
🤦‍♀️	1017
🕯	1017
🍂	1013
🔽	1012
🔺	1007
💩	1002
💵	1001
✌	996
🤨	991
🗓	989
🫂	984
✋	979
🧐	977
🍻	970
🙏🏼	960
⏳	955
🐣	951
🍌	944
🍊	944
😣	942
🎮	940
💬	935
👤	929
🍎	926
☝️	920
🐥	917
🟥	916
😓	910
⤵️	905
🤎	893
☹️	890
🇪🇹	889
🍜	886
💪🏻	882
🤟	868
🤓	867
😑	862
🚙	861
📽️	858
📩	857
🔶	856
🙇🏻‍♀️	852
🤘	849
✋🏻	828
🍋	826
🎫	825
😥	822
☘️	821
📝	819
❤️‍🩹	819
🇨🇱	815
🥀	806
🇫🇷	802
🐕	798
🆚	789
✍️	785
🥱	781
✖️	776
🕺	775
📽	760
🥶	759
🎃	752
🤚🏻	751
🐟	747
🍇	746
👹	739
🙆‍♀️	730
➡	727
🇻🇪	725
😖	720
🤢	718
🧵	715
▫️	715
🟧	714
💟	711
😠	694
😪	691
📚	691
👻	691
🎟️	687
🔳	686
♠️	686
🔰	681
😐	680
🔊	674
😲	673
🍠	673
🫢	668
🛒	668
💉	666
🐈‍⬛	665
😽	664
🌀	659
💣	658
🍰	656
🌚	654
😰	652
🤞	651
🙊	648
🪄	644
🇮🇳	640
❄️	640
☔	637
🌳	629
🔎	628
🚗	624
🎸	623
➕	617
📅	614
👆	612
⚠	610
😨	609
🤲🏻	608
🎙	608
😙	607
🟡	606
🔮	606
🍵	605
🙋‍♀️	598
🐼	591
➖	589
😮	588
🤦‍♂️	587
🍼	587
🍉	587
✖	587
☠️	587
🤙	585
🌾	582
🐿	579
🎨	578
🍯	578
🦅	577
🙋‍♂️	569
🌎	569
🆘	569
📹	566
🏅	566
🙏🏽	564
🌰	564
⚜️	562
🫰	560
😿	556
🇦🇷	556
🍄	555
👇🏼	551
⚾	550
🤦	549
📻	549
🇺🇦	544
🤠	541
🔝	541
🛑	540
🏈	539
♦️	539
😵	538
👿	538
🎴	538
🗣️	536
🫶🏽	534
🔷	534
🍨	529
👌🏻	528
🐝	522
🇪🇷	514
⤵	514
🔫	511
🐸	508
🍷	508
😸	506
👁	506
🍞	506
🌍	504
😗	501
😼	499
©	498
📞	497
👏🏼	495
🐙	495
🤦🏻‍♀️	494
🌏	492
🍭	489
🙏🏾	483
🍾	483
🆗	481
🖕	480
👥	479
✉️	479
🌅	477
🎟	475
🗽	474
🐳	471
🥦	463
👎	462
⛄	460
🍔	456
🪐	455
🏝	453
📖	452
🤷‍♂️	451
🔜	450
💳	449
🤌	447
🐇	444
🫰🏻	443
🦑	442
〰️	441
🍬	439
💠	438
😕	436
🤌🏻	433
🎆	433
💍	431
🇬🇧	428
🍛	420
😯	416
🦍	413
😺	413
5️⃣	410
🐴	408
🏴‍☠️	408
🏃	408
💿	407
🆙	407
❇️	407
📊	405
🟪	404
🆕	404
🔃	402
🏠	402
🤏	399
😶	399
👏🏾	398
🍴	398
🍙	398
👼	397
🐉	396
🤖	395
🔪	395
⬆️	392
❔	392
🗓️	391
🏃‍♂️	391
✊🏻	390
🛐	388
👄	388
🦖	385
🥈	385
📰	385
🍿	385
⤴️	385
⚓	385
🍣	384
😷	382
🍫	382
🔍	379
🐒	378
🏷️	377
🦐	376
🦀	376
💅	376
🌠	376
⤴	373
™	373
🦇	372
⏬	372
🤳	371
🇷🇺	371
🔱	370
👽	370
🦦	369
⚒️	369
👇🏽	368
🥁	366
💮	365
🐤	365
🌐	363
🎼	362
0⃣	361
⁉	360
👋🏻	359
▪	357
🟣	356
🍈	356
🆔	356
🍩	355
☎️	354
☄️	354
🌵	353
🐢	350
🍖	349
🥕	347
🌄	347
🐑	346
🍦	346
🙋	345
🌃	345
⏩	345
🙆‍♂️	344
🙁	344
📕	344
⛔	344
😾	343
🉐	343
🕯️	339
🏷	339
🇩🇪	339
🍶	338
🍚	338
🇵🇰	336
💻	335
🥃	333
🍕	333
🏀	332
🦉	330
🚫	330
🐬	330
🇨🇳	330
🤟🏻	329
🐦	329
⚔	329
⌚	329
🛫	328
🗳	328
📦	328
⛩	328
🚬	327
📮	324
🍽	322
👈🏻	321
🎾	320
🍅	320
🧧	319
🐔	319
🏟	319
⏱	316
👁️	315
🌲	314
🖐	313
👶🏻	313
⬇	313
📎	312
📆	311
👟	310
🎩	309
🥊	308
👾	308
🍮	308
🫦	305
🙋🏻‍♀️	304
🎋	304
🖇	303
💪🏼	303
©️	302
🩸	301
🇮🇹	301
➰	301
🇲🇽	300
🕊️	299
🎞	299
☁	298
🦈	297
🤦🏻‍♂️	296
🐊	296
🥗	293
🍟	293
📘	292
4️⃣	292
🖇️	291
🇰🇷	291
🇪🇸	291
🎲	290
🥚	289
🎇	289
🥒	288
💪🏽	286
👊🏻	286
🐮	285
🙌🏾	284
🗝	283
🤷‍♀️	282
👍🏼	282
🏁	281
🦌	280
🔆	280
☝	280
🤙🏻	279
🏡	277
🍐	277
🙌🏼	275
🙀	275
🐭	275
💄	274
🪷	271
🍏	271
🍍	270
🥉	269
🤐	269
👙	269
✈	269
🅰️	268
⛅	268
◾	268
🌶	267
🥛	265
🙆🏻‍♀️	265
🕒	264
🎗️	264
®	262
🇹🇭	261
🗳️	260
👏🏽	260
🇳🇱	260
🏹	258
👶	257
👓	257
🛡️	256
🗿	256
🏳️‍🌈	256
💊	255
🦆	254
🚚	254
🐎	254
6️⃣	254
🍡	252
⌛	252
🕷	251
📡	251
✍🏻	251
🥟	248
🍹	248
🌪	248
♨️	247
♀	247
🫶🏾	245
🟠	245
🚢	245
🔒	244
🎪	244
🌛	244
🍳	243
❄	241
🧠	239
🌽	238
🧁	237
🙆	237
🐜	237
🎭	237
🙉	236
🌌	235
7️⃣	235
🧘	234
🧊	233
🐚	233
☯️	232
♂	231
🤚	230
🖕🏻	230
🎰	229
☝🏻	229
🎙️	227
🛍	224
📉	224
🍪	224
⛽	224
🏟️	223
🏃‍♀️	223
🧪	222
🏰	222
🌤	221
🉑	221
😟	220
🧼	219
🐀	219
🤷	218
👗	218
🤘🏻	217
🐏	217
👼🏻	216
👇🏾	215
🏖	215
🔑	214
⬅️	214
🥩	211
👉🏼	211
🌋	211
🥸	209
🥞	209
📼	209
👠	209
🧀	207
🐩	207
❎	206
💪🏾	205
⛳	205
🛌	204
🧢	202
🧹	201
🛸	201
🙌🏽	201
🧩	200
🇨🇦	200
✍	199
🍧	197
🐠	196
🌧	196
🤕	194
🎹	193
〰	193
😶‍🌫️	192
🐲	192
👕	191
🧚‍♀️	190
🤷🏻‍♂️	190
🏮	190
✏️	190
🛁	189
🦭	186
🤷🏻‍♀️	186
🌶️	186
5⃣	186
🌬	185
🇦🇺	184
🫀	183
🙏🏿	182
🇮🇩	182
9️⃣	182
💁‍♀️	181
🎗	181
🥤	180
🚶	179
👣	179
🥭	178
🚮	178
🐻‍❄️	178
✝️	178
🖐️	177
🌘	177
🧨	176
🚪	176
◽	175
🤞🏻	173
