Day	Hour	Count	Coverage%
2022-09-03	00	91079	61.139
2022-09-03	01	156219	100.0
2022-09-03	02	158424	100.0
2022-09-03	03	159543	100.0
2022-09-03	04	148676	100.0
2022-09-03	05	141328	100.0
2022-09-03	06	140110	100.0
2022-09-03	07	146310	100.0
2022-09-03	08	152452	100.0
2022-09-03	09	158595	100.0
2022-09-03	10	168633	100.0
2022-09-03	11	191119	100.0
2022-09-03	12	210067	100.0
2022-09-03	13	226827	100.0
2022-09-03	14	104324	45.972
2022-09-03	21	29546	22.222
2022-09-03	22	135997	100.0
2022-09-03	23	61166	43.444
