Day	Hour	Count	Coverage%
2022-09-27	00	156835	100.0
2022-09-27	01	160211	100.0
2022-09-27	02	159450	100.0
2022-09-27	03	171850	100.0
2022-09-27	04	149976	100.0
2022-09-27	05	142668	100.0
2022-09-27	06	146086	100.0
2022-09-27	07	151727	100.0
2022-09-27	08	162666	100.0
2022-09-27	09	178927	100.0
2022-09-27	10	196956	100.0
2022-09-27	11	218502	100.0
2022-09-27	12	238057	100.0
2022-09-27	13	241695	100.0
2022-09-27	14	238190	100.0
2022-09-27	15	180230	71.583
2022-09-27	16	212277	100.0
2022-09-27	17	190386	100.0
2022-09-27	18	175642	100.0
2022-09-27	19	169316	100.0
2022-09-27	20	164289	99.639
2022-09-27	21	167641	100.0
2022-09-27	22	168476	100.0
2022-09-27	23	163336	100.0
