Emoji	Count
➖	359360
📯	169692
🕚	150978
😭	130195
😂	117925
🐚	99091
🔹	98637
✨	84041
🤣	72318
🔥	70667
♦️	63812
✅	60001
❤️	55623
💓	51067
👠	47355
🎇	47290
🎁	34138
🥺	32132
😍	31978
🙏	30525
🥰	26411
🎉	25639
🥹	25122
💦	23274
🤍	23079
💕	21926
‼️	21544
🌟	21156
👇	20133
💙	19597
😊	18988
💚	18607
💜	17736
👍	16530
❤	15346
👏	14821
🚨	14182
😈	13428
👀	13276
⭐	13201
☺️	13140
♥️	12863
💗	12804
😅	12727
💖	12544
🏆	11990
🖤	11630
👉	11616
📌	11574
😆	11567
😘	11530
🤔	11335
📍	11219
❗	11202
🥳	11050
💰	11040
🥲	10207
😁	10071
💥	9981
💛	9818
🤤	9505
🌹	9425
😳	9310
🤭	9255
😎	9250
🤩	9209
🥵	8682
🚀	8406
🫶🏻	8339
😉	8184
🔴	7975
😋	7685
💪	7599
🔔	7566
🌸	7463
🔵	7403
🫶	7395
💯	7373
🇧🇷	7295
⚡	7120
📸	6954
💔	6830
🎥	6821
🔗	6746
🎶	6664
🤡	6654
💀	6623
🤗	6622
💫	6579
🍀	6569
😇	6560
🎊	6553
❤️‍🔥	6551
🙌	6492
🟩	6476
❣️	6393
😌	6371
😔	6287
1⃣	6277
😩	6170
🫠	6074
⬇️	6059
📢	6033
😢	6009
💞	5987
🐥	5924
⚠️	5909
🍑	5847
✌️	5829
☀️	5799
➡️	5747
🎲	5657
💆🏻‍♂️	5643
🐰	5640
😏	5621
🙄	5609
💋	5591
🎯	5418
📎	5351
1️⃣	5286
👑	5263
🍆	5213
🙏🏻	5203
🧡	5178
🚩	5132
😱	5008
‼	5006
💎	4939
👚	4909
♻️	4710
😡	4693
⏰	4657
❌	4585
🌈	4556
📣	4555
🐹	4534
💐	4473
👌	4303
☕	4255
⬜	4188
🎂	4157
🦋	4105
😄	4047
🎀	4016
🍁	3991
💸	3972
2️⃣	3951
🇸🇦	3939
😜	3932
😃	3923
🤝	3868
🙈	3851
🦁	3721
♥	3659
🏀	3628
💘	3590
👇🏻	3584
🙂	3580
🫣	3563
🌻	3559
👅	3548
🐻	3523
🐶	3519
2⃣	3505
🌷	3474
🐱	3471
👊	3451
🤪	3445
😀	3433
▶	3399
👏🏻	3392
🍊	3227
🫡	3225
📺	3218
🎈	3114
⚽	3095
⬛	3059
🔻	3035
✔️	3018
🇺🇸	2967
💡	2934
🌺	2925
🎵	2883
🤮	2868
🌿	2841
⁉️	2834
🐾	2812
🇹🇷	2806
🌙	2803
👈	2778
🤯	2767
▶️	2737
▪️	2721
❓	2716
⚔️	2662
🍒	2661
👍🏻	2657
😵‍💫	2632
📱	2620
😝	2598
💨	2598
💢	2593
❕	2584
⚫	2575
🟨	2539
🙃	2535
🎧	2511
⚪	2501
🥴	2499
😻	2499
💌	2488
💬	2436
👋	2433
🎬	2427
🐯	2426
🔞	2413
🌼	2402
☀	2375
🌱	2320
😹	2313
🙇‍♀️	2304
😤	2300
🤲	2285
💵	2263
💭	2263
😚	2228
🤨	2215
✊	2207
📲	2191
🤬	2181
🔁	2170
🌊	2168
😮‍💨	2167
✈️	2151
😞	2148
🕊️	2137
🍂	2097
🐟	2071
🇻🇪	2039
🕊	2011
🎃	2006
✌🏻	1997
🧸	1993
👤	1991
🍻	1985
😫	1979
🍇	1976
🙇‍♂️	1969
🔸	1963
🫶🏼	1953
🐷	1936
🤧	1932
😒	1930
☑	1919
💝	1914
🗣️	1900
😬	1881
🍃	1865
🧐	1851
🔄	1834
☁️	1831
⭕	1822
📽	1805
🐈	1787
🟥	1783
🤑	1777
🌞	1771
📷	1768
🔽	1766
🫧	1758
🤫	1746
3️⃣	1746
😴	1717
✌	1711
📝	1708
🤏🏻	1704
📈	1695
☺	1685
😛	1679
🗣	1655
💧	1653
🍓	1635
🫂	1623
🐺	1623
🍛	1619
🔳	1617
✔	1611
💩	1606
❤️‍🩹	1601
🔮	1598
🔺	1596
❄️	1591
🍭	1589
🥇	1580
😪	1569
🙌🏻	1565
👻	1564
🍺	1538
🥀	1537
🗓	1535
🇯🇵	1535
🦊	1507
0⃣	1500
🌕	1496
🥂	1480
👉🏻	1480
0️⃣	1470
🟦	1468
🥱	1464
🎤	1461
☹️	1459
🙏🏼	1457
⏳	1447
🤢	1438
🐿	1437
✍️	1426
🥶	1422
💃	1419
🕯	1418
😑	1416
✋	1409
📽️	1400
🤦‍♀️	1391
☑️	1386
⚠	1380
🙇	1374
🍋	1370
🇺🇦	1363
🍌	1354
🧵	1346
📞	1335
🐣	1333
😐	1329
👆	1328
🌴	1327
🟧	1324
㊗️	1324
😣	1321
⤵️	1318
🤎	1317
💟	1308
💤	1307
🍎	1295
📹	1290
🍨	1280
🤓	1274
🅿️	1270
🐐	1266
🟢	1262
💪🏻	1254
👇🏼	1247
😥	1243
🖕	1235
3⃣	1227
🔃	1222
🇷🇺	1215
🫢	1207
🛒	1199
☝️	1198
🟡	1192
😲	1175
😖	1172
🦅	1169
🪐	1168
🌳	1159
😓	1157
🆘	1155
🤟	1153
💿	1151
😽	1149
😠	1149
🙏🏽	1140
🤞	1118
☔	1115
🧿	1102
🌚	1098
🍜	1088
🕺	1087
👏🏼	1083
▫️	1075
🗓️	1067
🍼	1066
📚	1058
🌍	1058
☠️	1057
✖️	1054
🛑	1051
❣	1045
😕	1039
🐍	1036
🙊	1029
🙏🏾	1027
🇪🇹	1027
👁️	1025
🍫	1023
🌀	1023
🇮🇹	1023
🪄	1014
🤦‍♂️	1014
🔶	1014
🎮	1014
🇬🇧	1008
➕	1004
🤲🏻	999
〰️	993
😮	964
👽	964
🌎	963
🎨	959
🔊	955
🇨🇴	948
🍵	945
☘️	944
🍪	938
📅	932
🍠	932
😰	926
🙆‍♀️	924
🫰	923
🐈‍⬛	909
🫶🏽	905
🏅	890
🤙	885
🤘	883
👌🏻	881
🇮🇷	880
💣	879
📻	870
🆕	868
📩	867
🇫🇷	864
🚗	856
👹	855
🇪🇸	844
😿	839
👎	835
⬇	829
♠️	829
🇮🇳	827
😵	824
🌾	823
🌐	823
😨	820
⚾	807
✊🏻	805
🐝	804
🙋‍♀️	803
🤷‍♂️	800
🎙	800
😙	795
🤦🏻‍♀️	794
🍄	790
🍬	789
🏃	788
🌰	784
🇹🇭	782
👁	777
🌝	775
©	773
🔰	772
🔫	771
🔱	770
👄	769
🍚	769
🍿	766
🍰	759
🤦	758
🔝	758
👇🏽	757
👏🏽	748
💉	744
🦇	740
🟠	730
🎸	729
🐬	721
🦄	720
🍖	713
➡	713
🎫	711
😸	708
🤌	706
🆙	694
👿	684
😗	682
⏩	682
😼	677
🌲	677
🥦	676
🏹	673
🤏	670
🎟️	666
🤌🏻	664
🐦	663
🙇🏻‍♀️	659
🐕	659
🐸	657
🍉	657
🥚	652
💍	652
🇦🇷	643
🐼	641
🌏	641
💻	634
💠	634
😶	633
🎖	633
♨️	632
🔍	631
🍯	631
🏠	630
🍷	629
⛄	626
📰	625
😷	622
🐔	622
5️⃣	620
🐳	619
👾	614
👶	614
🍸	613
👈🏻	611
👥	610
🧧	609
🤠	609
🙏🏿	608
🔲	608
📖	604
🍣	602
🆔	602
🇲🇽	598
🥈	596
🙋‍♂️	595
🔪	594
🤦🏻‍♂️	583
🙌🏾	583
🆚	583
✈	581
5⃣	581
👋🏻	578
🦑	577
🎼	577
🍾	576
🦖	574
☂️	572
👊🏻	570
📕	563
🥷	560
🐧	560
🫰🏻	558
🩸	556
🍞	555
💅	554
🇪🇷	552
🥛	548
🔒	546
🐴	545
🍈	545
🤖	543
😯	542
🐒	542
🇩🇪	542
🤘🏻	541
🛐	540
🐙	539
👍🏼	537
📊	536
®	533
🐇	531
🍴	531
👏🏾	530
🏈	530
👼	529
🎞	529
🎙️	528
🙉	527
💴	527
⚜️	525
🫶🏾	524
🥑	522
🤝🏻	518
🙋	516
😺	512
☄️	512
🦍	510
🍩	510
4️⃣	510
🧠	509
💪🏼	507
🔷	506
🏷	506
🙌🏼	504
🏡	502
☎️	501
💮	500
🎰	498
🐊	496
⬆️	496
⏬	495
🤟🏻	493
🗺️	493
🎋	493
➰	492
🏳️‍🌈	490
🌃	489
🕯️	488
🤷‍♀️	487
🏷️	485
👺	481
🫦	477
🐉	477
🇨🇦	477
🌵	476
🚫	473
✌🏼	472
🌠	471
🍅	470
🐑	469
🗿	468
🍦	468
🐨	467
❔	467
🦦	465
〰	464
🙁	462
🛸	460
🌫	460
🇰🇷	460
💄	459
🐤	456
🍙	455
🟣	452
📉	452
🉐	449
🍔	448
🇵🇹	445
⛔	445
🎟	444
🥞	443
⚓	443
👇🏾	442
🎄	442
🇳🇬	436
🍟	432
💊	428
🖐	426
🇪🇨	426
📦	425
🏁	424
▪	424
🧀	423
📆	422
⌚	422
🤷	421
🏃‍♀️	419
🧁	418
✉️	418
🌧	417
🦈	416
🚬	413
🦌	412
📮	410
🌌	409
🙌🏽	407
🙀	407
🗳	406
🇨🇱	406
🤷🏻‍♂️	404
🐿️	403
🥁	402
😟	402
🎆	402
🐢	401
⤴️	401
🦐	400
🧼	398
🌅	398
©️	398
🫀	397
🐮	397
🐩	396
🙆‍♂️	395
🌄	395
🍮	394
🫵🏻	393
⁉	393
🧪	392
🆗	390
💪🏾	389
✏️	388
🤐	387
🌛	387
🥉	386
😾	384
🇨🇺	384
💲	383
4⃣	382
◽	381
🤷🏻‍♀️	380
⚰️	380
🏃‍♂️	378
🍗	377
👨	376
🥩	375
🔎	374
💪🏽	373
🇨🇮	373
☝	372
⌛	372
🦉	371
🛡	370
🤚	369
🤕	368
🍏	366
🔐	363
🔆	363
🐎	363
🇬🇭	363
🤦🏾‍♂️	362
🏰	359
❇️	359
🤙🏻	358
🖐️	358
🍕	358
☁	358
🇵🇰	356
📀	355
🐏	355
🏇	354
🇺🇲	354
♻	352
💃🏻	351
🟪	350
🔜	350
👶🏻	350
👙	350
🥕	347
🚚	346
🅰️	346
♣️	345
⬅️	343
🍹	342
🌋	342
⤴	342
✉	342
🧢	341
🏴‍☠️	340
⚖️	340
🦩	339
👣	339
◾	339
🫤	337
🙋🏻‍♀️	335
✍	335
👉🏼	334
💳	333
🥤	331
✖	331
🇮🇩	330
🥒	329
🖇	329
🎹	325
🇪🇺	324
🫵	321
🖇️	320
🎭	319
🚧	318
🤌🏽	316
🕷	316
6️⃣	315
🥏	313
🔘	313
♀	313
🥐	312
🗳️	312
⛅	312
🕒	311
🎩	311
🇵🇸	310
🪷	307
🧊	307
🍍	307
⛩	305
🍥	304
🌶	304
6⃣	304
🚘	303
🚶	302
✍🏻	302
🦀	300
🌧️	298
🌤	298
⤵	298
🗼	297
🙆	296
🐋	296
🌥	296
🛫	295
🚶‍♂️	293
🤞🏻	290
🤒	290
🌽	290
🤦🏽‍♂️	287
🥸	286
🙆🏻‍♀️	286
🥔	285
✴️	285
🦕	284
🍳	283
👓	282
✋🏻	280
☝🏻	280
7️⃣	280
🐘	279
🏴󠁧󠁢󠁳󠁣󠁴󠁿	279
🏖️	279
👊🏼	277
🐂	275
🏃🏻‍♀️	272
🍡	272
🍐	272
♂	272
📡	271
🐀	270
⏱	269
🇦🇺	268
🥊	267
🏴󠁧󠁢󠁥󠁮󠁧󠁿	267
◼	267
🛍	265
🤳	264
🗝	264
🫥	263
🤦🏽‍♀️	262
🙋🏻‍♂️	262
👞	262
👍🏽	260
😶‍🌫️	259
👟	259
✊🏾	259
🎱	258
↪	258
🤌🏼	257
🐭	256
🧨	254
🤥	254
🅱️	254
🏴	253
🌜	253
™	252
🥜	251
👌🏼	251
✂️	251
#️⃣	250
👗	248
🆓	248
⛩️	248
👇🏿	246
🏪	246
⏪	246
🪙	245
🕐	245
💹	244
🪂	242
🤷🏾‍♂️	242
🇨🇳	242
⛳	242
🛁	241
🕋	241
🥝	240
🗯️	240
🔑	240
🤦🏼‍♀️	237
⚔	237
🥢	236
📘	236
👕	236
🍱	236
🚮	235
🧤	234
🍶	234
✳️	234
🐲	233
🤜	232
🚶‍♀️	232
👦🏻	232
🏐	232
🐠	230
💁‍♀️	229
🎣	229
❄	229
📥	228
🎞️	227
🧹	226
🏟	226
🏝	226
🥃	225
🗽	224
↗️	223
🧩	222
😧	222
🇵🇱	222
🇦🇪	222
🚿	221
👸	221
🉑	221
🐖	220
🦭	219
🚦	218
👼🏻	218
🌶️	218
👎🏻	217
🇩🇿	217
🤞🏾	216
🐽	216
🔙	215
💅🏻	215
👴	215
🥟	214
🤷🏽‍♀️	214
😦	214
🔅	214
🃏	214
🤷🏽‍♂️	213
✝️	213
👒	211
🍧	211
㊗	211
✌🏽	211
🅿	210
🪴	209
🤛	209
👦	209
♀️	208
🔖	206
🐻‍❄️	206
🎅	206
🌪	205
9️⃣	205
🦆	204
🇳🇱	204
🤏🏼	203
🕰	203
🦾	202
🦔	202
⏱️	201
🐵	200
🐜	200
🖕🏻	199
🕶	199
📄	199
🌮	199
👉🏽	197
🚌	196
🐌	194
🫖	193
🦓	193
💈	193
🇪🇬	193
🙇🏻‍♂️	192
🦜	191
🧬	190
🛌	190
🚃	190
💼	189
🏍	189
♂️	189
🍝	188
🦒	187
㊙️	187
8️⃣	187
🦎	186
🎪	186
🇨🇭	186
🏮	185
🏫	184
🇸🇬	184
👍🏾	183
🌑	183
🪩	181
🦴	181
™️	181
🗯	180
🐞	180
✊🏽	180
🧚‍♀️	179
🦧	179
🚲	179
📜	179
👆🏻	179
❤‍🩹	179
♾	179
▫	179
🥖	178
🤏🏾	177
🚜	177
🥬	176
🥗	176
🛵	176
⛓	176
🤝🏼	175
☃️	175
🖱	174
👐	174
🤞🏼	173
👂	173
🍽	173
🈳	173
🇮🇶	173
👧	172
🇸🇪	172
🚙	171
👉🏾	171
🏥	171
🌇	171
🕸️	170
🐓	170
💒	169
👷	169
🪦	168
🏦	168
🇿🇦	168
✌🏾	168
🎗️	167
🪁	166
🗞	166
🌖	166
🈵	166
🇲🇦	166
🇧🇪	166
⛽	166
🌤️	165
🇵🇭	165
🔛	164
🎾	164
🫐	163
🧚🏻‍♀️	163
🤦🏾‍♀️	163
🏟️	163
🎗	163
🍲	163
♦	163
🥣	162
🐆	162
✴	162
🔨	161
📙	161
🦷	160
🤞🏽	160
🖼	160
👌🏽	160
📁	157
🖥️	156
🖋	156
🇴🇲	156
🇩🇰	156
🪖	155
🅰	155
🔓	154
👔	154
🐄	154
🤌🏾	153
🛎	153
📿	153
📨	153
🐅	153
🅾	152
✊🏼	152
⛏	152
🪞	151
🥧	151
☹	151
☮️	151
👵🏻	150
🏃🏻‍♂️	150
🎠	150
🇾🇪	150
🇺🇾	150
↘️	150
🪡	149
🥨	149
🦠	148
🥥	147
💶	147
☘	147
🧜‍♀️	146
🖼️	146
🔟	146
👸🏻	146
🏵	146
🥪	145
👩🏻	145
🏞️	145
🏝️	145
🇹🇳	145
🇵🇪	145
🖌️	144
🧳	143
🚪	143
🕛	143
🏩	143
❎	143
🧚	142
🤦🏻	142
🏎	142
🤷🏼‍♀️	141
🕸	141
🏖	141
🪔	140
🗞️	140
🎷	140
🛍️	139
📋	139
♎	139
🪸	138
🌬	138
🌉	138
🤷🏼‍♂️	137
🤲🏼	137
🎓	137
🎍	137
🔋	136
🦢	135
🤙🏼	135
🇸🇮	135
🇪🇦	135
📗	134
♟	134
🙅‍♀️	133
🕺🏻	133
🤲🏾	132
🚑	132
☎	132
🩰	131
🚂	131
🖐🏻	131
👩	131
🇮🇱	131
🧺	129
🧎	129
🌗	129
〽️	129
⛺	129
⛈️	129
🚕	128
🇲🇾	128
◀️	128
🚺	127
🗡	127
🕌	127
👌🏾	127
🈹	127
🇦🇹	127
🧎🏻‍♀️	126
🧎‍♀️	126
⚜	126
♾️	126
👛	125
☠	125
🟫	124
🎻	124
ℹ️	124
🪀	123
🦂	123
🚴	123
🖥	123
⛵	123
🪳	122
🥄	122
🤘🏼	122
🔌	122
🪶	121
🤺	121
🤝🏽	121
👯‍♀️	121
🚛	120
🌪️	120
🧷	119
🧶	119
🗑️	119
🤸	118
👊🏽	118
🏴󠁧󠁢󠁷󠁬󠁳󠁿	118
🏨	118
🕷️	117
🚢	116
📑	116
👬	116
🏎️	116
🕉️	115
🎡	115
🧚‍♂️	114
🚴‍♂️	114
👫	114
🏏	114
🌆	114
◀	114
🖕🏼	113
💁🏻‍♀️	113
🏢	113
🌭	113
🇸🇻	113
⛓️	113
🤲🏽	112
🧭	111
🗾	111
☢️	111
🛡️	110
🗻	110
♈	110
↔	110
🧴	109
🎴	109
🍢	109
🧂	108
🛀	108
💷	108
🏺	108
🍽️	108
🌘	108
⚙️	108
↗	108
9⃣	108
🙇🏻	107
💁‍♂️	107
👧🏻	107
🏕	107
🎒	106
⛰️	106
🩹	105
💾	105
💃🏽	105
👋🏼	105
🇷🇸	105
◼️	105
🛰	104
💪🏿	104
🏓	104
🎌	104
🇳🇮	104
🇬🇷	104
✊🏿	104
🛬	103
👨‍🍳	103
👏🏿	103
👉🏿	103
🏙	103
🎦	103
🇵🇷	103
7⃣	103
🪵	102
🦶	102
🚹	102
🕉	102
📴	102
🏵️	102
🎺	102
🇦🇿	102
⚛️	102
🛼	101
📔	101
🎏	101
❤‍🔥	101
🗑	100
🕳	100
🍤	100
👭	99
🧦	98
🧍‍♀️	98
🤝🏾	98
🤙🏽	98
🇯🇲	98
🧍🏻‍♀️	97
🦙	97
📶	97
Ⓜ️	97
🤚🏻	96
💆	96
🌂	96
⏲️	96
↪️	95
🖍️	94
🐕‍🦺	94
🏯	94
♠	94
🫵🏼	93
🦥	93
🗡️	93
🖖	93
👨‍💼	93
🐗	93
🌒	93
✳	93
8⃣	93
🪑	92
🦸🏻‍♂️	92
👖	92
🇹🇼	92
🤦🏿‍♂️	91
🕺🏽	91
🇳🇴	91
✒️	91
☯️	91
🌬️	90
🇨🇵	90
🛰️	89
🚤	89
🗺	89
🎢	89
🈺	89
🇶🇦	89
🇭🇷	89
🧋	88
🙆🏻‍♂️	88
🏳️‍⚧️	88
🇰🇼	88
🤰	87
🚶🏻‍♀️	87
✏	87
☝🏼	87
🪬	86
🧙‍♀️	86
🥯	86
🕘	86
📧	86
💅🏼	86
☪	86
🫑	85
🧈	85
🤷🏾‍♀️	85
🤵	85
🕹️	85
🐛	85
🇰🇿	85
♉	85
🧙‍♂️	84
🔈	84
👮	84
👈🏼	84
🎐	84
🇬🇪	84
🤦🏼‍♂️	83
🚰	83
🔇	83
📬	83
💺	83
👍🏿	83
🏛	83
🎖️	83
🌓	83
🥘	82
🚶🏻‍♂️	82
🚔	82
🙌🏿	82
📓	82
👩‍👦	82
🏃🏾‍♂️	82
✋🏾	82
✋🏼	82
🥷🏿	81
🖌	81
🕹	81
🇻🇳	81
⛰	81
🫒	80
🧟‍♂️	80
🧉	80
🦮	80
🟰	80
💁	80
👜	80
👃	80
⚒	80
♨	80
🫰🏼	79
🥍	79
🤸‍♀️	79
🛞	79
🕳️	79
📒	79
🇮🇪	79
🧃	78
🚥	78
🏛️	78
🩺	77
🧣	77
🛹	77
🔭	77
🤏🏽	76
🛩	76
🗨	76
🏳️	76
🀄	76
🪨	75
🧱	75
🔦	75
🐪	75
🇨🇷	75
🪥	74
🤴	74
🕗	74
🐁	74
✌🏿	74
🦝	73
🚽	73
👈🏽	73
🌥️	73
⛈	73
®️	73
🪲	72
👩‍👧	72
♋	72
🪅	71
🙅🏻‍♀️	71
🔧	71
👵	71
🏍️	71
🖊️	70
🖊	70
🕶️	70
🕵️	70
🏳	70
🫶🏿	69
🧍	69
🥾	69
🟤	69
🙅	69
📛	69
👢	69
👎🏼	69
👈🏿	69
🇵🇾	69
🅾️	69
♣	69
🪧	68
🩲	68
🚴‍♀️	68
💃🏼	68
👩‍💻	68
👘	68
🐡	68
🍘	68
🅱	68
🪰	67
🦞	67
🤟🏾	67
🔼	67
📳	67
💃🏾	67
🌨	67
⚒️	67
☦	67
🧟‍♀️	66
🥓	66
🛝	66
🚁	66
👊🏾	66
🇦🇲	66
⌨	66
🫴	65
🛕	65
🔉	65
⛱	65
🪓	64
🛠️	64
📂	64
🎑	64
🌔	64
🇸🇳	64
♒	64
🥭	63
🚉	63
🚄	63
👼🏾	63
👯	62
🐃	62
🎎	62
♌	62
🦗	61
