Day	Hour	Count	Coverage%
2022-09-08	00	152039	100.0
2022-09-08	01	155396	100.0
2022-09-08	02	155971	100.0
2022-09-08	03	161866	100.0
2022-09-08	04	143778	100.0
2022-09-08	05	133745	100.0
2022-09-08	06	132024	100.0
2022-09-08	07	137721	100.0
2022-09-08	08	152930	100.0
2022-09-08	09	166500	100.0
2022-09-08	10	191543	100.0
2022-09-08	11	212802	100.0
2022-09-08	12	230665	100.0
2022-09-08	13	239505	100.0
2022-09-08	14	233028	100.0
2022-09-08	15	230057	100.0
2022-09-08	16	200095	100.0
2022-09-08	17	216289	100.0
2022-09-08	18	202825	100.0
2022-09-08	19	169032	100.0
2022-09-08	20	170070	100.0
2022-09-08	21	165960	100.0
2022-09-08	22	163460	100.0
2022-09-08	23	155927	100.0
