Day	Hour	Count	Coverage%
2022-09-23	00	162025	100.0
2022-09-23	01	164678	100.0
2022-09-23	02	167514	99.75
2022-09-23	03	169246	100.0
2022-09-23	04	158727	100.0
2022-09-23	05	149957	100.0
2022-09-23	06	147425	100.0
2022-09-23	07	154534	100.0
2022-09-23	08	165333	100.0
2022-09-23	09	188506	100.0
2022-09-23	10	208261	100.0
2022-09-23	11	234727	100.0
2022-09-23	12	254659	100.0
2022-09-23	13	256365	100.0
2022-09-23	14	253747	100.0
2022-09-23	15	246122	99.472
2022-09-23	16	216300	100.0
2022-09-23	17	191472	99.556
2022-09-23	18	179558	100.0
2022-09-23	19	170311	100.0
2022-09-23	20	164446	100.0
2022-09-23	21	163769	100.0
2022-09-23	22	160393	100.0
2022-09-23	23	158403	100.0
