Value	Count
Twitter for Android	1957756
Twitter for iPhone	1521205
Twitter Web App	651100
Twitter for iPad	69139
Twitter for Mac	56817
twittbot.net	48872
TweetDeck	21958
Cheap Bots, Done Quick!	9786
Echofon  Android	8572
グランブルー ファンタジー	7972
BelugaCampaignSEA	7284
WordPress.com	6524
Botbird tweets	5161
Twitter	4806
Microsoft Power Platform	4755
Peing	4664
Arrow.	3297
dlvr.it	3051
IFTTT	3030
Twittascope	2540
 「モンストからツイート」	2385
Twitcom - Comunidades 	2297
Instagram	2256
fllwrs	2043
Hootsuite Inc.	1891
Tweetbot for iΟS	1546
Nintendo Switch Share	1397
Shuttlerock - Bluebird	1264
OWNLY Admin	1162
feather for iOS  	1069
Echoes Act2	1017
PlayStation®Network	973
Buffer	924
TwitPane for Android	833
Echofon	746
ATELU for Twitter	666
SocialDog for Twitter	648
Twitter Media Studio	638
Blue Robot	604
Cercanías Avisos	587
TwitCasting	567
Pattr	542
やさしい世界を目指すマシュマロちゃん	524
Mirrativ	520
Camtsuku	501
twitcle plus	491
今日のツイライフ	490
ツイタマ for Android	477
Poshmark	461
Sprout Social	442
MixChannel - ミクチャ	410
Tween	407
TwitPanePlus	403
TweetCaster for Android	395
Sprinklr	387
info 2020	386
Echobox	358
Radio.co now playing	350
Tweetlogix	347
ツイタマ+ for Android	344
Revive Social App	341
Twitterrific for iOS	325
Foursquare	323
livedoor Blog	309
SocialFlow	304
TweetDeck Web App	293
Tabtter Free	289
SocialNewsDesk	268
Cubi.so	265
The Social Jukebox	264
Zapier.com	261
LinkedIn	257
Airtime Pro	251
Twittt.com	237
SocialPilot.co	234
ツイ廃あらーと	232
Twidere for Android	226
Radio King LiveTweet	223
Twitter for Advertisers	218
Paper.li	215
Twitter Web Client	208
SocialBee.io v2	205
Streamlabs Twitter	204
Twiit.com	203
Blog2Social APP	194
TestsForSearch	184
Rakuten Group, Inc.	184
Tumblr	180
Janetter for Android	180
Tweets v2.1	178
Janetter	178
zabuu_site	174
Tweetbot for Mac	174
iXamDrive	173
on TheWorld	168
Weathercloud	168
SAM Broadcaster Song Info	163
Plume for Android	162
Hotpepper	151
Hel2um on iOS	150
Foursquare Swarm	146
Metricool	145
stafsmoketest	140
LaterMedia	140
SHOWROOM-LIVE	138
Janetter iOS	138
HubSpot	138
fusetter	134
Hypefury	133
MateCha	132
CareerArc 2.0	128
CORE ListingMachine	125
Salesforce - Social Studio	124
Make (formerly Integromat)	124
Fenix 2	121
Tweecha Lite	116
True Anthem	114
Untappd	113
Tweecha2 for Android	110
AbemaTV	110
Karabiner	109
Talon Android	108
Pococha	105
Sprinklr Publishing	104
feather free for iOS 	103
Tweet Hunter Pro	103
SocialOomph	103
BIGO LIVE	103
Weather Display Tweet	99
StreamElements	99
Spinitron Playlists	98
Flamingo for Android	96
ニコニコ ニコレポ連携	95
Twitter app for posting 	95
BoxFresh	94
Besocy_Oficial	94
Unfollowspy	93
Janetter Pro for Android	93
ContentStudio.io	93
Biyon≡(　ε:) Pro	91
SAM Broadcaster Cloud	89
Agorapulse app	89
jigtwi	86
SobaCha	85
Meteobridge	85
Loomly	84
QWVR	83
TV Time, TV show tracker	82
twitcle plus for iOS	80
The Tweeted Times	79
Sendible	78
