Day	Hour	Count	Coverage%
2022-10-19	00	156113	100.0
2022-10-19	01	163939	100.0
2022-10-19	02	165566	100.0
2022-10-19	03	170700	100.0
2022-10-19	04	146606	100.0
2022-10-19	05	137834	100.0
2022-10-19	06	135211	100.0
2022-10-19	07	140171	100.0
2022-10-19	08	149474	100.0
2022-10-19	09	164364	100.0
2022-10-19	10	180156	100.0
2022-10-19	11	200642	100.0
2022-10-19	12	214029	100.0
2022-10-19	13	223947	100.0
2022-10-19	14	222264	100.0
2022-10-19	15	158759	71.722
2022-10-19	16	132688	67.139
2022-10-19	17	182572	100.0
2022-10-19	18	173614	100.0
2022-10-19	19	167525	100.0
2022-10-19	20	163943	100.0
2022-10-19	21	165763	100.0
2022-10-19	22	162704	100.0
2022-10-19	23	157267	100.0
