Language	Count
en	0:912628,1:165030,2:82145,3:40686,4:18523,5:9290,6:6356,7:4413,8:2339,9:1369,10:946,11:676,12:445,13:397,14:249,15:286,16:201,17:154,18:102,19:117,20:200,21:56,22:48,23:38,24:45,25:99,26:51,27:19,28:28,29:15,30:53,31:44,32:12,33:15,34:17,35:17,36:10,37:9,38:6,39:14,40:8,41:1,42:4,43:2,44:7,45:4,46:3,47:5,48:3,49:6,50:1,51:4,52:2,53:1,54:2,56:1,57:1,58:2,59:2,60:4,62:1,63:2,64:3,65:2,66:1,69:2,70:2,71:1,72:4,73:1,78:1,80:1,83:4,84:1,85:1,87:1,90:1,91:1,95:1,99:1,100:1,107:1,108:1,120:1,126:1,128:1,129:1,137:1
ja	0:438448,1:79986,2:45552,3:31263,4:19504,5:13778,6:9675,7:5167,8:4404,9:2720,10:1626,11:1044,12:858,13:428,14:461,15:244,16:252,17:213,18:335,19:107,20:86,21:94,22:75,23:88,24:39,25:40,26:24,27:30,28:27,29:17,30:22,31:10,32:12,33:26,34:8,35:8,36:14,37:14,38:5,39:4,40:13,41:4,42:14,43:5,44:1,45:3,46:6,47:1,48:4,49:1,50:3,51:2,52:3,53:2,54:1,55:3,56:3,57:1,58:1,59:3,60:1,61:2,62:1,63:1,66:2,67:1,68:1,69:1,72:1,73:1,75:1,78:3,80:2,81:1,84:1,93:1,97:1,98:1,100:1,117:1,119:2,127:1,129:1
es	0:225983,1:34690,2:14651,3:8467,4:4257,5:2086,6:1347,7:724,8:587,9:302,10:272,11:167,12:161,13:84,14:74,15:72,16:35,17:35,18:29,19:31,20:23,21:77,22:34,23:14,24:51,25:13,26:7,27:7,28:8,29:4,30:5,32:2,33:2,34:5,35:3,37:2,39:2,40:1,43:5,44:3,45:1,46:2,47:1,54:1,57:1,61:1,64:1,75:1,90:1,107:1
tr	0:216048,1:10200,2:6168,3:2388,4:1223,5:516,6:342,7:177,8:164,9:76,10:74,11:37,12:51,13:27,14:19,15:18,16:13,17:7,18:6,19:3,20:5,21:2,22:4,23:1,24:2,25:4,26:3,27:1,28:4,29:1,30:2,32:2,35:1,36:2,42:1,45:1,47:1,48:1,57:2
pt	0:194610,1:21425,2:9107,3:4235,4:2147,5:1041,6:820,7:325,8:300,9:221,10:103,11:103,12:63,13:63,14:39,15:60,16:33,17:13,18:22,19:15,20:14,21:14,22:8,23:7,24:22,25:4,26:10,27:5,28:7,29:3,30:3,32:5,33:1,34:3,35:5,36:4,37:1,38:2,39:2,40:2,41:1,42:1,44:2,46:1,49:1,50:1,52:1,54:6,55:2,56:1,58:13,59:1,60:2,67:1,68:1,69:4,74:1,80:1,94:1,119:1,121:1,127:1,128:1
th	0:153024,1:22347,2:13071,3:6931,4:3884,5:2011,6:1242,7:876,8:545,9:379,10:181,11:118,12:98,13:62,14:36,15:40,16:26,17:12,18:40,19:22,20:5,21:14,22:10,23:8,24:14,25:32,26:24,27:16,29:2,30:2,31:4,33:1,34:38,35:5,39:2,41:1,45:1,57:2,66:1,72:1,98:1
ar	0:102250,1:20706,2:11888,3:5578,4:3861,5:2818,6:6408,7:2203,8:2740,9:702,10:237,11:152,12:268,13:97,14:1262,15:91,16:1331,17:42,18:1090,19:47,20:17,21:24,22:569,23:66,24:837,25:47,26:15,27:12,28:5,29:5,30:4,31:4,32:3,33:3,34:3,35:10,36:4,37:2,38:4,39:5,40:1,41:2,42:8,43:2,44:9,45:5,46:2,47:3,48:5,49:1,50:1,52:1,54:1,55:1,56:3,57:1,58:2,60:1,61:1,62:2,63:2,64:2,65:4,66:1,67:1,68:1,69:1,70:1,71:1,72:3,73:1,76:2,77:1,78:1,79:1,81:2,83:1,84:3,88:2,89:1,95:3,96:2,98:1,103:1,104:1,105:1,110:1,112:1,123:1,124:1,135:1,137:1
und	0:53130,1:29746,2:18475,3:14323,4:6663,5:4774,6:2112,7:974,8:729,9:425,10:1715,11:285,12:2912,13:459,14:925,15:81,16:44,17:46,18:39,19:20,20:758,21:152,22:581,23:43,24:884,25:22,26:23,27:24,28:20,29:13,30:16,31:15,32:8,33:5,34:10,35:10,36:25,37:3,38:1,39:11,40:4,41:5,42:10,43:3,45:4,46:2,47:7,48:9,49:4,50:4,51:2,52:6,53:5,54:5,55:3,56:4,57:2,58:4,59:2,60:1,61:3,63:7,64:1,65:5,66:3,67:2,68:3,69:2,71:2,72:2,73:1,75:1,76:2,77:1,78:4,79:2,80:1,82:1,84:4,85:1,89:1,90:2,91:2,93:3,95:1,96:2,98:3,99:1,100:2,103:2,104:2,105:1,106:1,108:1,110:1,111:1,112:1,113:1,114:1,117:1,118:1,120:2,121:1,122:1,123:2,124:2,126:2,129:2,130:4,131:3,132:2,133:1,135:2,137:4,138:3,139:6,140:27
ko	0:94090,1:11156,2:6444,3:3933,4:1719,5:997,6:639,7:322,8:235,9:108,10:62,11:35,12:72,13:6,14:17,15:8,16:5,17:3,18:4,19:5,20:3,21:6,22:1,23:1,24:6,25:2,26:1,28:1,29:1,30:2,33:1,34:1,35:2,36:2,37:2,41:1,48:1,53:1,67:1
zxx	0:101917,1:4,2:8,3:7,4:4,5:1,12:2
in	0:65288,1:13812,2:5900,3:3008,4:1441,5:778,6:457,7:262,8:128,9:77,10:53,11:32,12:19,13:14,14:22,15:2,16:6,17:4,18:7,19:7,20:4,21:9,23:2,24:2,25:8,26:2,27:1,28:1,32:2,33:1,34:2,38:2,40:2,45:3,46:1,50:1,52:1,56:1,59:1,67:1
qme	0:71014,1:3,2:82,3:2,4:11,5:1,6:2,10:2
fa	0:64090,1:4002,2:1475,3:482,4:288,5:112,6:76,7:59,8:20,9:13,10:29,11:6,12:3,13:12,14:25,15:1,16:1,17:1,18:3,19:5,20:3,21:8,22:10,23:1,30:6,32:2,33:1,36:1,50:1
fr	0:48028,1:7235,2:3228,3:1526,4:744,5:329,6:201,7:140,8:58,9:47,10:29,11:23,12:17,13:7,14:5,15:12,16:8,17:8,18:3,19:2,20:2,21:2,22:2,23:1,24:1,26:2,27:1,29:1,30:1,31:2,32:1,35:16,36:1,39:1,40:1,45:1,68:1
hi	0:30963,1:3797,2:2313,3:1119,4:585,5:280,6:210,7:115,8:92,9:65,10:47,11:34,12:22,13:9,14:20,15:8,16:12,17:1,18:10,19:7,20:2,21:2,22:1,23:2,24:1,25:1,26:11,27:3,30:2,31:2,35:1,38:1,41:1,59:6,61:2,64:1
zh	0:22425,1:4154,2:1773,3:1147,4:537,5:359,6:213,7:94,8:95,9:32,10:16,11:26,12:17,13:6,14:3,15:2,16:2,17:3,18:2,19:3,20:1,23:1,24:1,25:1,27:2,30:1,42:3,47:1,54:1,61:1
tl	0:20467,1:4916,2:2423,3:1441,4:509,5:218,6:133,7:94,8:58,9:53,10:17,11:14,12:7,13:14,14:10,15:6,16:8,17:5,18:1,19:1,20:2,22:1,23:2,24:1,26:2,27:1,28:1,30:2,34:2,35:1,42:1,47:1
de	0:16913,1:4083,2:852,3:500,4:176,5:98,6:57,7:31,8:18,9:16,10:10,11:5,12:8,13:4,14:2,15:3,16:1,17:2,18:1,21:1,24:1,25:1,36:1,71:1
ur	0:17991,1:1565,2:747,3:449,4:207,5:91,6:86,7:37,8:27,9:20,10:13,11:7,12:2,13:5,14:6,15:3,16:1,17:1,20:1,22:1,24:1,26:1,32:1,103:1
