Value	Count
Twitter for Android	1688954
Twitter for iPhone	1403424
Twitter Web App	623736
Twitter for iPad	77639
twittbot.net	48011
Twitter for Mac	28565
TweetDeck	26722
Cheap Bots, Done Quick!	9643
WordPress.com	6658
Botbird tweets	5337
Twitter	4733
Microsoft Power Platform	4506
グランブルー ファンタジー	4005
dlvr.it	3278
IFTTT	3030
BelugaCampaignSEA	2961
Twittascope	2510
Twitcom - Comunidades 	2252
Shuttlerock - Bluebird	2094
Peing	2085
Instagram	2080
Hootsuite Inc.	1999
OWNLY Admin	1840
Echofon  Android	1827
fllwrs	1686
Echoes Act2	1546
Tweetbot for iΟS	1510
Twiit.com	1202
Twittt.com	1088
LTTStudio	1000
Twitter Media Studio	940
Buffer	933
feather for iOS  	852
PlayStation®Network	818
Twitter Web Client	811
TwitPane for Android	724
Radio.co now playing	695
Nintendo Switch Share	667
ATELU for Twitter	665
SocialDog for Twitter	648
Sprout Social	643
やさしい世界を目指すマシュマロちゃん	584
Echofon	576
TwitCasting	548
Poshmark	469
Echobox	465
今日のツイライフ	462
Arrow.	450
ツイタマ for Android	420
Twidere for Android	400
Twitterrific for iOS	396
twitcle plus	386
Revive Social App	383
Mirrativ	382
TweetDeck Web App	362
Camtsuku	355
Tween	354
livedoor Blog	349
TwitPanePlus	345
ツイタマ+ for Android	337
MixChannel - ミクチャ	325
Sprinklr	311
SocialFlow	309
Tweetlogix	282
LinkedIn	276
Cubi.so	274
on TheWorld	273
SocialNewsDesk	268
TweetCaster for Android	265
Zapier.com	257
Airtime Pro	247
Plume for Android	232
Tabtter Free	230
The Social Jukebox	229
SAM Broadcaster Song Info	228
Paper.li	225
Radio King LiveTweet	220
SocialBee.io v2	215
ツイ廃あらーと	214
nod3bot	214
Streamlabs Twitter	213
Hel2um on iOS	199
Tweetbot for Mac	189
Metricool	188
AbemaTV	186
HubSpot	180
zabuu_site	173
TestsForSearch	172
Twitter for Advertisers	171
SocialPilot.co	168
Blog2Social APP	166
Foursquare	165
Hotpepper	163
Janetter	162
Weathercloud	160
懸賞ファン	159
Tumblr	156
Hypefury	156
Typefully	144
Rakuten Group, Inc.	141
stafsmoketest	135
Janetter for Android	132
Tweet Hunter Pro	128
