Day	Hour	Count	Coverage%
2022-09-21	00	145370	100.0
2022-09-21	01	146729	100.0
2022-09-21	02	147524	100.0
2022-09-21	03	145276	100.0
2022-09-21	04	131576	100.0
2022-09-21	05	128266	100.0
2022-09-21	06	130012	100.0
2022-09-21	07	138680	100.0
2022-09-21	08	149816	100.0
2022-09-21	09	164775	100.0
2022-09-21	10	182110	100.0
2022-09-21	11	200708	100.0
2022-09-21	12	208803	100.0
2022-09-21	13	217936	100.0
2022-09-21	14	219804	100.0
2022-09-21	15	217719	100.0
2022-09-21	16	202007	100.0
2022-09-21	17	184468	100.0
2022-09-21	18	174252	100.0
2022-09-21	19	167507	100.0
2022-09-21	20	164702	100.0
2022-09-21	21	161210	100.0
2022-09-21	22	157740	99.25
2022-09-21	23	155997	100.0
