Language	Count
en	0:920087,1:156658,2:81394,3:43106,4:19317,5:9467,6:7848,7:3763,8:3140,9:1352,10:897,11:611,12:448,13:365,14:319,15:317,16:139,17:138,18:118,19:106,20:206,21:78,22:58,23:56,24:46,25:89,26:39,27:27,28:22,29:73,30:49,31:14,32:7,33:24,34:25,35:8,36:15,37:17,38:10,39:8,40:6,41:5,42:4,43:4,44:2,45:4,46:4,47:7,48:15,49:3,50:2,51:2,52:4,53:1,54:4,55:1,56:185,57:3,58:1,59:3,60:4,61:2,62:2,64:1,66:1,68:3,69:1,70:2,72:3,73:67,75:11,77:1,78:1,79:3,80:3,81:15,82:1,83:2,85:1,86:1,88:1,90:5,91:1,92:1,95:4,96:1,99:2,100:9,104:1,113:1,115:1
ja	0:441406,1:77985,2:45014,3:30425,4:20535,5:12779,6:7982,7:5502,8:3698,9:2761,10:2231,11:1268,12:661,13:495,14:395,15:309,16:347,17:164,18:149,19:108,20:86,21:48,22:74,23:105,24:174,25:46,26:44,27:25,28:29,29:16,30:33,31:25,32:17,33:9,34:8,35:13,36:8,37:18,38:7,39:7,40:11,41:7,42:1,43:1,44:2,45:9,46:4,47:3,48:5,49:3,50:3,51:1,52:2,53:2,55:2,56:2,57:6,58:3,59:3,61:1,62:1,63:1,67:2,69:1,72:1,73:1,74:1,76:4,79:1,85:1,92:1,96:1,103:1,109:1,120:1,122:1,123:1,125:2,128:4,129:1,134:1
es	0:224388,1:34080,2:15264,3:8647,4:4077,5:2090,6:1426,7:734,8:535,9:326,10:258,11:146,12:139,13:103,14:88,15:36,16:65,17:51,18:41,19:113,20:16,21:20,22:29,23:11,24:18,25:8,26:12,27:6,28:4,29:6,30:4,31:2,32:4,33:3,34:3,35:6,36:1,37:3,38:1,40:1,41:1,42:2,43:1,44:1,45:1,46:1,49:1,52:1,58:1,61:1,63:1,65:1,70:1,74:2,77:2,90:1,94:1,100:1
ar	0:107220,1:23286,2:13034,3:6239,4:12915,5:3197,6:12763,7:785,8:10953,9:1776,10:351,11:197,12:16759,13:854,14:151,15:63,16:71,17:47,18:53,19:57,20:36,21:37,22:33,23:23,24:33,25:15,26:19,27:14,28:8665,29:190,30:31,31:8,32:12,33:11,34:14,35:6,36:12,37:4,38:5,39:2,40:1,41:8,42:9,43:1,44:4,45:1,46:5,47:6,48:7,49:2,50:6,51:1,52:3,53:4,55:2,56:2,57:4,59:2,60:2,61:4,62:1,63:2,64:4,65:2,66:1,67:1,68:4,69:2,70:4,72:2,73:1,78:3,79:4,81:1,82:2,90:1,92:1,95:3,101:1,102:1,103:2,105:1,114:1,116:1,117:1,122:2,123:1,125:1,126:1,128:1,129:1,130:5,136:1,137:1
und	0:50305,1:28592,2:34148,3:12583,4:15096,5:3952,6:11859,7:1015,8:11568,9:599,10:368,11:302,12:20399,13:144,14:89,15:54,16:55,17:49,18:39,19:26,20:53,21:26,22:29,23:23,24:53,25:17,26:11,27:20,28:16447,29:11,30:10,31:5,32:11,33:8,34:3,35:6,36:13,37:4,38:16,39:14,40:11,42:18,43:7,44:3,45:5,46:6,47:8,48:11,49:1,51:10,52:5,53:6,54:2,55:3,56:17,57:4,58:5,60:6,61:4,62:1,63:8,64:4,65:6,66:4,67:2,68:2,69:4,70:5,71:2,72:4,73:10,74:4,75:1,76:4,77:1,78:3,79:5,80:3,81:3,82:1,83:2,84:4,86:3,88:1,89:2,90:3,91:2,92:1,93:1,94:1,97:2,98:3,99:1,100:2,101:1,102:2,103:1,104:2,108:1,110:2,112:1,113:1,114:1,115:1,117:2,118:2,119:1,120:1,123:4,125:2,126:2,128:3,129:3,130:3,133:1,134:1,135:2,136:1,137:1,138:3,139:9,140:22
tr	0:185424,1:10368,2:4503,3:2328,4:1168,5:488,6:464,7:166,8:124,9:72,10:58,11:56,12:37,13:33,14:19,15:11,16:13,17:12,18:2,19:5,20:6,21:3,22:1,23:2,24:4,25:3,26:3,28:1,30:1,32:2,33:1,34:1,38:2,39:2,43:1,60:1,64:1,73:1,81:1
pt	0:142115,1:16191,2:7126,3:3630,4:1808,5:868,6:707,7:316,8:154,9:134,10:92,11:74,12:54,13:29,14:66,15:95,16:38,17:12,18:14,19:48,20:11,21:10,22:14,23:3,24:2,25:3,26:7,27:5,28:3,29:3,31:22,32:3,34:5,35:11,36:9,37:1,39:2,41:1,44:1,45:4,46:1,47:2,48:1,49:1,51:2,52:3,56:1,66:1,74:1,112:1,116:1,119:1,122:1
th	0:110712,1:18897,2:12371,3:6925,4:3554,5:2129,6:1132,7:833,8:491,9:237,10:166,11:137,12:106,13:83,14:42,15:39,16:35,17:19,18:54,19:9,20:9,21:7,22:4,23:10,24:5,25:6,26:5,27:1,28:4,29:2,31:19,35:2,36:1,41:9,42:1,43:1,44:1,51:1,52:1,57:2,79:1,82:1
ko	0:91203,1:11303,2:7831,3:3847,4:1869,5:1426,6:625,7:417,8:207,9:90,10:75,11:32,12:30,13:14,14:26,15:7,16:4,17:66,18:69,19:12,21:4,22:10,23:2,24:2,25:4,26:1,27:2,28:2,30:4,31:1,32:2,33:1,36:3,39:1,49:1,67:1,68:1,70:1,83:1,100:1,105:1,106:1
fa	0:90811,1:7108,2:3451,3:1165,4:506,5:317,6:189,7:102,8:26,9:37,10:19,11:14,12:15,13:11,14:2,15:7,16:3,17:4,18:4,19:1,21:4,22:8,24:2,25:1,26:1,28:2,31:1,39:9,45:1,48:1
zxx	0:94292,1:8,2:5,3:6,5:1,6:2,11:1,30:1
in	0:60455,1:14204,2:5897,3:3194,4:1350,5:809,6:459,7:283,8:133,9:89,10:63,11:43,12:30,13:17,14:16,15:11,16:4,17:6,18:9,19:4,20:4,21:3,22:1,23:3,24:6,25:1,26:1,27:1,30:2,33:1,35:1,43:1,80:1,93:7,109:1
qme	0:68817,1:4,2:10,3:4,4:1,5:2,12:1
fr	0:45509,1:7063,2:3034,3:1582,4:799,5:312,6:202,7:104,8:82,9:34,10:26,11:24,12:18,13:11,14:18,15:3,16:8,17:2,18:2,19:2,20:3,21:1,23:5,24:4,25:1,26:2,27:1,28:3,29:1,32:1,33:1,34:1,35:1,40:1,43:1,64:1
