Day	Hour	Count	Coverage%
2022-09-22	00	153256	100.0
2022-09-22	01	158977	100.0
2022-09-22	02	158869	100.0
2022-09-22	03	163000	100.0
2022-09-22	04	147541	100.0
2022-09-22	05	141739	100.0
2022-09-22	06	147178	100.0
2022-09-22	07	153326	100.0
2022-09-22	08	161983	100.0
2022-09-22	09	177410	100.0
2022-09-22	10	189171	100.0
2022-09-22	11	204342	100.0
2022-09-22	12	213509	100.0
2022-09-22	13	219085	100.0
2022-09-22	14	223817	100.0
2022-09-22	15	222763	100.0
2022-09-22	16	203079	100.0
2022-09-22	17	188989	100.0
2022-09-22	18	175972	100.0
2022-09-22	19	168457	100.0
2022-09-22	20	164777	100.0
2022-09-22	21	162912	100.0
2022-09-22	22	162932	100.0
2022-09-22	23	162707	100.0
