Emoji	Count
♦️	544210
🔹	338212
📗	257509
➖	235260
🐔	228024
😭	130254
😂	109419
✨	84793
🔥	74970
🤣	71465
❤️	55736
✅	45871
🍃	43016
🎁	35950
🔵	35776
🎲	34198
📎	33928
👚	32718
😍	32697
💚	32265
🙏	29888
🥺	29231
🐹	27841
🥰	26718
🎉	23960
🥹	23329
‼️	22862
💦	22612
🤍	22123
💙	21925
👇	21197
🌟	20656
💕	20557
😊	18253
🇸🇦	17002
👍	16123
💜	15761
👏	15627
😈	14432
❤	14312
☺️	14135
🚨	13668
😅	13149
👀	12877
🚀	12707
♥️	12636
💖	12585
🖤	12334
😘	11248
💗	11192
🤔	11186
📍	11112
💛	10978
🥳	10972
❗	10939
😆	10933
🤡	10786
😁	10543
💥	10450
👉	10425
🥲	10257
📌	10053
🥵	9529
🤭	9470
🤩	9390
🤤	9336
🌹	9084
💰	8978
⭐	8789
😎	8739
😳	8426
😋	8370
❤️‍🔥	8358
🫶🏻	8244
🏆	7975
💪	7966
😉	7925
💔	7710
💯	7655
🎶	7335
🫶	7284
🌸	7179
🫠	7083
📸	7076
🔴	7015
💀	6946
🎊	6938
🍑	6918
💓	6834
🍀	6822
🧡	6809
💫	6802
⚡	6783
✌️	6693
👑	6614
🟩	6524
📢	6516
🎯	6455
❣️	6362
😌	6358
🤗	6305
🎥	6213
⬇️	6212
⚠️	6132
🚩	6110
🙌	6099
💞	6096
😩	6077
😇	5978
1⃣	5973
🙄	5962
⏰	5869
😔	5800
💆🏻‍♂️	5785
💋	5750
🍂	5698
🔗	5600
😢	5541
🍁	5506
☀️	5486
🇧🇷	5474
🎂	5454
🍆	5429
😏	5403
➡️	5256
🐶	5208
🔔	5135
▶	5105
1️⃣	5091
🙏🏻	5051
🌈	4977
💎	4828
💨	4801
😱	4711
👌	4703
2️⃣	4581
😡	4507
2⃣	4492
💡	4425
❌	4365
📣	4262
☕	4259
🐰	4253
💐	4207
📱	4192
😄	4154
‼	3965
⬜	3960
☀	3958
😀	3945
😃	3915
🤝	3907
🙈	3869
👏🏻	3814
♥	3760
💸	3744
♻️	3744
🎬	3730
👇🏻	3648
🎀	3640
😜	3605
🌻	3598
🙂	3522
💘	3499
🥇	3481
🫣	3359
🤪	3349
📺	3337
🦋	3319
👅	3266
🐱	3175
⁉️	3113
🌷	3065
🇺🇸	3014
👈	2967
🎵	2899
▶️	2854
🤯	2837
💢	2831
▪️	2828
🌺	2816
📲	2787
✔️	2758
🌿	2746
🫡	2696
🤮	2682
❕	2656
🟨	2651
🌙	2645
🔁	2641
👋	2632
🏎	2601
⚽	2587
🔞	2570
🙃	2533
🙇‍♂️	2510
⚪	2497
💬	2450
🥴	2445
😝	2442
🍓	2437
👊	2433
⚫	2425
🗓️	2417
🔻	2415
✈️	2396
💌	2357
💭	2327
🤲	2326
🎤	2305
🌱	2293
🧸	2287
😫	2286
🌼	2284
🤬	2272
🐾	2265
👍🏻	2262
🎈	2252
😹	2203
🦊	2187
😻	2172
😤	2168
✊	2157
❓	2153
⬛	2149
💵	2113
🐯	2096
🙇‍♀️	2095
🔃	2082
😚	2066
😮‍💨	2048
🎧	2013
🐻	2005
🔸	2003
😒	1996
🌞	1984
🌊	1981
😞	1972
⭕	1962
🎃	1956
😬	1952
🔄	1941
🟥	1933
🕊	1932
🐈	1926
🍒	1923
🤫	1921
💃	1897
🇻🇪	1890
🍔	1889
💧	1875
🇹🇷	1866
😵‍💫	1864
3️⃣	1858
🗣️	1847
🔺	1805
❤️‍🩹	1804
🤧	1800
🫶🏼	1788
☁️	1788
🧐	1785
🗣	1779
🥑	1777
🫂	1766
㊗️	1758
🤨	1751
🍇	1744
💝	1742
☺	1733
☑️	1729
3⃣	1723
📈	1708
✔	1695
✌🏻	1695
🍠	1685
🤑	1659
😛	1659
👉🏻	1657
😴	1652
🐷	1640
💩	1629
🔽	1626
🥂	1620
🙌🏻	1619
🧵	1616
🔳	1608
✍️	1600
🗓	1592
⚔️	1583
🫧	1574
🆘	1551
🦚	1538
🔮	1536
👻	1534
🥶	1507
🦁	1497
🕊️	1488
⏳	1482
🍋	1468
✌	1466
❄️	1463
🌕	1444
☔	1442
📷	1437
🟦	1433
☝️	1427
🙏🏼	1420
🙏🏽	1402
🍻	1393
🇯🇵	1389
🥀	1386
📽	1384
🇬🇧	1379
🟢	1378
🍫	1373
🎨	1368
🥱	1353
🙇	1345
☹️	1343
🐥	1328
🍌	1327
🇺🇦	1327
💤	1311
🍭	1311
🤏🏻	1310
📝	1310
0️⃣	1310
⤵️	1299
☑	1299
✋	1292
📽️	1291
💟	1285
😣	1276
🇷🇺	1276
📹	1270
🅰️	1267
🕺	1248
🛑	1244
🌴	1243
😑	1237
😲	1234
🍎	1232
🔷	1229
📚	1222
👆	1220
😪	1219
👏🏼	1219
❣	1217
💍	1216
😓	1202
🟧	1197
😥	1195
🤎	1192
🍺	1184
🤢	1179
🤦‍♀️	1169
😐	1151
🌎	1147
🤞	1143
🐧	1137
🔶	1121
🎮	1117
💪🏻	1112
🙏🏾	1100
🧿	1093
🅿️	1088
0⃣	1084
♨️	1081
🍊	1079
🌚	1079
🇮🇳	1078
💣	1070
🇪🇹	1069
🔊	1063
👇🏼	1053
🌳	1052
☠️	1051
➕	1043
🤦🏻‍♀️	1039
🐟	1037
🇫🇷	1035
✖️	1029
🇮🇷	1026
💉	1014
🆕	1014
😠	1013
📞	1009
▫️	1007
🕯	1001
🐐	1000
🤓	998
🐺	998
😖	995
🤦‍♂️	992
🫢	991
📩	990
🔰	988
😰	975
🟡	972
🐈‍⬛	972
📅	970
👹	962
🌰	949
👎	944
🇪🇷	943
🌾	937
🫶🏽	932
🪄	920
🦅	918
🌀	918
🐣	917
🎟️	906
👤	905
🉐	901
🙆‍♀️	899
🤙	897
🌍	896
🤲🏻	894
🍰	892
🤘	889
🆙	889
👽	888
🙊	886
🤟	883
😮	881
🚗	872
🎙	870
🛒	868
🐍	868
🍵	866
⚠	866
🍜	863
☘️	858
😵	857
🦄	852
😷	852
🍚	846
🐸	843
🍄	840
🇹🇭	840
🍯	838
🐿	836
👾	835
🍾	832
👌🏻	826
🤦	825
👿	822
🌐	822
⛔	818
🎸	817
😨	812
🇲🇽	810
🤌	808
📊	808
🇵🇰	802
🏁	796
🐝	792
😗	790
👶	789
🍍	789
🚫	787
🍼	786
🥦	779
🌏	779
👁	774
🙋‍♀️	764
👺	764
🏅	753
🤖	751
🐕	751
🖕	750
🕯️	747
📻	740
🪳	737
🇦🇷	732
😿	730
⚾	729
😙	717
🥁	707
📰	707
©	707
🎫	706
🟠	704
🐇	699
⬇	699
😽	698
〰️	696
👊🏻	692
✉	685
👁️	683
🏷️	683
🫰	680
🤷‍♂️	673
🐮	672
♠️	671
🍈	669
🤏	668
🍨	663
➡	663
🥟	661
👋🏻	661
🪐	654
🔒	654
🐼	654
💪🏾	652
🦑	650
🔲	649
👍🏼	646
🍬	646
😸	645
🙇🏻‍♀️	641
🛐	640
👄	640
✊🏻	640
😕	636
🙋	634
🌃	632
🦍	629
📖	628
💿	623
💅	622
🍿	621
⬆️	618
🤠	616
😼	616
✂️	616
🌝	615
🔫	614
®	613
🇰🇷	611
👏🏾	610
5️⃣	608
🎙️	607
🆚	601
😶	599
👇🏽	599
💪🏼	597
🍗	597
🎼	596
🐬	595
🏰	595
💪🏽	593
🆗	589
🏷	581
🍪	581
🍷	578
🙋‍♂️	574
🇪🇸	570
☎️	570
🏃	568
🟣	567
💠	567
🆔	567
🦌	561
🤦🏻‍♂️	561
7️⃣	560
💮	558
🐉	558
⏩	555
🍣	550
⏬	550
🌲	549
🧠	544
🔝	544
🩸	541
💻	538
🐩	538
🍶	538
👏🏽	537
⚜️	536
💈	533
🦇	529
😯	528
⛄	528
🐳	525
🧨	524
🐒	524
🏠	523
🔪	521
🏀	521
🍩	521
🇮🇹	521
🧬	519
🏈	519
🍉	519
😺	517
🎞	516
🇺🇲	516
🙌🏼	513
🫶🏾	512
🇨🇱	511
🌠	509
⁉	507
💊	506
🐴	506
🍖	506
🫦	505
🤌🏻	505
🧀	500
🍅	500
🏝	498
◾	498
🐙	497
5⃣	497
🍽	496
🦉	493
🔍	491
🛡	490
🐢	487
🔎	485
🍕	482
🦖	479
😟	478
👈🏻	477
🐦	476
❇️	472
🫰🏻	471
🧁	467
🤐	465
4️⃣	464
🖇️	461
🍏	460
4⃣	459
🏃‍♀️	457
🤷‍♀️	452
🇨🇦	452
🎆	450
©️	449
🗳	446
⤴	446
🫀	445
🍙	444
👟	443
☂️	443
⌛	442
🤝🏻	441
🏃‍♂️	438
🦈	437
📮	436
🚬	435
👇🏾	433
🔱	432
🐑	431
🏳️‍🌈	428
🥛	427
🎇	427
🗿	426
💄	426
🇩🇪	426
👶🏻	425
🙌🏾	424
🍞	422
🦀	421
🐨	421
📕	419
🌫	419
🇵🇷	418
🦆	416
🔜	416
🍹	416
🤷🏻‍♀️	413
👨	413
🏹	412
♦	410
🙉	408
🐿️	407
🙁	406
🌅	405
🍦	404
🎖	403
🙌🏽	401
🙀	400
🤷🏻‍♂️	398
🧧	397
🤷	397
🐠	396
🤚	395
🇨🇺	395
📆	393
👉🏼	393
🤏🏼	390
☃️	390
🤕	389
🐎	389
🎩	389
❔	388
🥈	387
🎟	387
👼	383
👙	383
🔆	382
🎅	382
🍮	382
🐀	381
🇪🇺	380
🇨🇴	379
🐤	378
▪	374
🗽	372
📘	370
✌🏼	370
🥞	369
🤟🏻	369
🙆‍♂️	369
🕺🏻	369
👠	369
⛅	368
🗝	367
🍴	366
🍱	366
🌶	365
⬅️	365
🎰	364
🏡	362
⤴️	362
🦦	359
🥊	359
🇬🇭	359
🫵	358
🥕	357
🗳️	357
👥	355
🇵🇭	355
🐊	354
🥔	351
🎹	351
🧪	350
🍥	348
🍟	348
👴	347
🏮	345
🌄	344
🔙	343
♀	343
📦	342
➰	342
🌧	339
📉	336
☄️	336
💳	335
🌛	334
♂	334
🐽	332
🦂	331
🧼	330
🌌	330
🏴‍☠️	328
❄	327
🥚	326
6️⃣	326
🌵	323
🎡	322
🥤	321
🎑	321
🖇	320
🍐	318
🌤	318
✖	317
⚖️	317
🐭	316
🐂	316
🎾	316
🥸	315
👒	315
⛩	315
🛫	314
🔟	314
🎋	314
🤘🏻	313
🍡	313
☁	313
😾	312
🏇	312
🦩	310
🤳	309
⌚	309
9️⃣	308
🕒	307
🫵🏻	306
🥉	306
🤞🏻	306
🌧️	306
🎺	304
🛸	303
🏪	303
🇨🇳	303
🥐	302
🆓	302
👣	301
✉️	300
☝	298
🎪	296
🙆	295
🔑	295
🖐	294
🥒	293
💅🏻	292
🎞️	292
⚓	292
☝🏻	292
🪙	291
👷	289
🤦🏽‍♂️	287
🤒	287
✈	287
🥃	285
💃🏻	282
🌪	282
✏️	281
🤦🏽‍♀️	280
🫤	278
😦	278
👍🏽	278
🚶	277
💲	277
🥧	276
⤵	276
🥷	275
🧤	274
📥	274
🤦🏾‍♂️	273
🔐	272
🏖️	272
🌜	271
♻	271
🤥	268
🇳🇬	267
🎄	266
™	266
🙆🏻‍♀️	265
🎌	265
🦞	264
👓	264
❎	264
👯‍♀️	263
🎭	262
📜	261
👼🏻	261
🤙🏻	258
🫥	257
✋🏻	257
🚰	256
😧	256
⚔	255
◼	255
🖐️	253
🌮	253
♣️	253
◽	253
🪴	252
⛳	252
✍	251
🦔	250
🤷🏽‍♂️	250
🤜	250
⏱	250
🦾	249
🥜	249
🙋🏻‍♀️	249
🖼️	249
🛍	248
🐜	248
🚘	247
🤌🏾	246
🧚‍♀️	245
🗡️	245
🐓	245
✊🏾	244
🏖	239
🛁	238
👌🏼	238
🌽	238
✍🏻	238
🪶	237
🟪	237
👕	237
👇🏿	237
🇵🇱	237
⛩️	237
🤛	236
🙏🏿	236
👐	236
👏🏿	236
🐘	236
〰	235
🐄	234
🌥	234
✝️	233
💁‍♀️	231
👎🏻	231
🦢	230
📀	230
🏟	230
🇳🇱	229
🃏	229
♀️	229
☘	228
8️⃣	228
📡	227
👸	227
🐋	226
🍳	226
🪩	224
📋	224
🏴󠁧󠁢󠁥󠁮󠁧󠁿	224
⛓	223
🥩	222
🐲	222
🦷	221
🤦🏼‍♀️	220
🐗	220
🇸🇻	220
🛎	219
🐌	219
🗞	218
🐖	218
✊🏽	218
😶‍🌫️	217
👩	216
🖐🏻	215
🍸	215
💴	214
🏦	213
🤌🏼	212
👊🏼	212
🉑	212
㊗	212
6⃣	212
🚚	210
🙇🏻‍♂️	210
👗	209
🇮🇩	209
🇦🇹	208
🕋	207
🏫	207
🇨🇭	207
🅱️	207
🤷🏾‍♂️	206
🐵	205
㊙️	205
✴️	205
🍽️	204
🦐	202
🤙🏼	202
🥣	201
🕉	201
🪖	200
🧩	200
🐏	200
⏱️	200
🚲	199
👍🏾	199
🇪🇦	199
🈳	198
🦎	197
🇰🇼	197
🧊	196
🛡️	196
🐆	196
🏴󠁧󠁢󠁳󠁣󠁴󠁿	195
🇦🇪	195
⏪	195
🚮	194
🎗	194
🇺🇾	194
™️	194
🚑	193
🚂	193
📄	193
🇵🇹	193
🇦🇺	193
🙋🏻	192
👉🏽	192
✌🏾	192
🦭	191
🚴‍♂️	191
🚙	191
🗯️	191
🧺	190
🚦	190
🇪🇨	190
🐚	189
🌑	189
🪷	188
🕷	188
🏎️	185
🛌	183
🚌	183
🙋🏻‍♂️	183
🟫	182
🇷🇸	182
⚰️	182
🚹	181
🤷🏽‍♀️	180
🖼	180
🏟️	180
🎓	180
🍲	180
🫒	178
🔌	178
🇵🇪	178
✌🏽	178
🚿	177
🚪	177
🗺️	177
✒️	177
🥢	176
🕰	176
🔛	176
♂️	176
🦮	175
🍛	175
🇧🇪	175
🌋	174
🇶🇦	174
🧢	173
👂	173
🪞	172
🏴	172
🌶️	172
🤞🏽	171
🧹	170
🐞	170
🏃🏻‍♀️	170
🍧	170
🤲🏼	169
🤦🏻	169
🔖	167
🔓	167
📨	167
👆🏻	167
🏢	167
🇲🇾	167
🧙‍♀️	166
🚺	166
🖥️	166
🍝	166
🔅	165
🏓	165
🫐	164
🩺	164
🤞🏾	164
🗡	164
🌤️	164
🏝️	163
✊🏼	163
🏐	162
🍢	162
💶	161
👌🏾	161
🐻‍❄️	161
🏍️	161
🔋	160
👧	160
🏩	160
🎻	160
🎣	160
⚜	160
🤞🏼	159
🚧	159
🖥	159
🕐	159
💁‍♂️	158
👋🏼	158
✳️	158
🎷	157
🅾	157
☠	157
🖕🏻	156
🐅	156
🏯	156
🗞️	155
🎐	155
↪	155
🛍️	154
🕸	154
🈵	153
◼️	153
👌🏽	152
🏍	152
🌪️	151
🧎‍♀️	149
🚃	148
🧚🏻‍♀️	147
💁🏻‍♀️	147
🦓	146
🧎🏻‍♀️	145
🥬	145
🇲🇦	144
🤦🏾‍♀️	143
🖲️	143
🔘	142
👦🏻	141
🎍	141
🇿🇦	141
✴	141
♾️	141
👩🏻	140
☢️	140
🦠	139
🦜	139
🥪	139
🚢	139
🕸️	139
ℹ️	139
🧚‍♂️	138
🥖	138
🍤	138
🇨🇵	138
🦏	137
🖌	136
📙	136
🏨	136
🫴	135
🇪🇭	135
🇩🇰	135
⛈️	135
📧	134
🇮🇶	134
⛓️	133
🤌🏽	132
🤷🏼‍♀️	131
👊🏽	131
🎦	131
🅰	131
🫖	130
🥏	130
🇳🇮	130
✊🏿	130
◻️	130
🚶‍♀️	129
🈹	129
🇮🇱	129
#️⃣	129
🚴	128
📶	128
🅿	128
🩰	127
🤿	127
🙅‍♀️	127
📿	127
🇸🇪	127
🫰🏼	126
🖕🏽	126
🌇	126
🌂	126
🤴	125
