Language	Count
en	0:943654,1:162452,2:84090,3:44843,4:21703,5:10293,6:9141,7:4066,8:3032,9:1486,10:1204,11:703,12:495,13:384,14:297,15:548,16:126,17:138,18:94,19:123,20:176,21:60,22:62,23:19,24:62,25:79,26:31,27:24,28:38,29:22,30:34,31:8,32:9,33:15,34:30,35:16,36:12,37:8,38:6,39:12,40:7,41:4,42:4,43:2,44:6,45:4,46:5,47:6,48:44,49:7,50:3,51:1,52:1,53:2,54:9,55:1,56:71,57:3,58:1,59:3,60:5,61:1,64:1,65:1,66:3,67:1,68:11,69:1,71:2,72:1,73:21,75:2,78:1,81:10,84:2,85:1,86:1,91:1,92:1,93:16,95:2,97:1,99:1,100:2,104:1,107:1,108:1,114:1,123:1,127:1
ja	0:447640,1:78545,2:46178,3:31254,4:19781,5:13011,6:9419,7:5670,8:4000,9:2589,10:1848,11:1391,12:695,13:429,14:358,15:408,16:320,17:188,18:133,19:106,20:82,21:68,22:61,23:96,24:90,25:53,26:36,27:21,28:24,29:18,30:29,31:18,32:10,33:29,34:10,35:5,36:20,37:3,38:3,39:19,40:11,41:4,42:1,43:5,44:1,45:3,46:1,47:1,48:2,49:2,50:2,51:1,52:1,54:2,55:2,56:6,57:1,59:4,60:1,61:2,62:1,64:1,65:2,66:1,67:1,74:1,76:3,77:1,78:2,79:1,80:5,81:1,85:1,88:2,95:1,98:1,100:1,101:1,102:1,105:1,115:1,118:1,124:1,126:1,128:5,132:1,133:1,136:1
es	0:230955,1:36123,2:16151,3:8813,4:4303,5:2219,6:1553,7:826,8:597,9:330,10:337,11:173,12:135,13:176,14:72,15:54,16:49,17:43,18:27,19:28,20:24,21:17,22:29,23:16,24:13,25:14,26:5,27:13,28:3,29:2,30:5,31:5,32:4,33:4,34:3,35:10,36:1,37:1,38:3,39:2,40:1,41:3,42:4,43:1,44:6,45:2,49:3,53:1,62:1,81:1,108:1,119:1,126:1,127:2,130:1
ar	0:110454,1:25008,2:13357,3:6794,4:21137,5:3665,6:19422,7:1202,8:11766,9:1792,10:510,11:189,12:16229,13:837,14:126,15:71,16:85,17:53,18:50,19:73,20:23,21:40,22:27,23:36,24:32,25:9,26:32,27:10,28:8717,29:207,30:31,31:10,32:8,33:6,34:15,35:1,36:11,37:6,38:4,39:6,40:3,41:10,42:4,43:4,44:5,45:4,46:2,47:4,48:11,50:10,51:1,52:4,54:1,55:4,56:2,57:1,58:5,59:2,60:3,61:4,62:1,63:2,64:1,65:5,66:2,69:1,70:1,72:2,73:1,74:2,76:1,80:1,82:1,83:1,89:1,91:1,94:1,95:1,96:1,98:2,102:1,103:1,111:1,112:2,117:1,118:1,130:1,132:1,135:1,137:1,139:1
und	0:53540,1:29440,2:29072,3:13036,4:24618,5:5986,6:4745,7:1005,8:15067,9:791,10:440,11:353,12:19327,13:178,14:134,15:67,16:77,17:41,18:50,19:21,20:51,21:29,22:37,23:21,24:43,25:25,26:24,27:21,28:17309,29:11,30:20,31:5,32:14,33:10,34:11,35:3,36:20,37:3,38:7,39:14,40:10,41:5,42:9,43:2,44:4,45:5,46:8,47:3,48:9,49:1,50:3,51:6,52:2,53:5,54:4,55:3,56:3,57:6,58:3,60:5,61:4,62:1,63:5,64:2,65:7,67:2,68:4,69:3,70:2,71:3,72:2,73:3,75:1,76:1,77:2,78:3,79:5,80:3,81:1,82:1,84:3,85:1,86:1,87:2,88:3,89:1,90:4,91:1,94:3,96:4,97:3,100:1,101:1,102:1,103:1,104:1,107:1,108:3,109:1,110:1,111:1,112:2,114:1,116:1,118:1,119:2,121:2,122:1,123:2,125:5,126:1,128:1,129:2,130:2,131:1,132:1,134:1,135:1,137:3,138:3,139:4,140:24
tr	0:179794,1:10481,2:4207,3:2031,4:944,5:493,6:331,7:182,8:93,9:65,10:43,11:41,12:35,13:35,14:12,15:10,16:10,17:8,18:4,19:8,20:2,21:4,22:4,24:1,25:2,27:2,28:1,30:4,32:1,33:1,34:1,39:1,40:1,44:1,47:1,56:1,127:1
pt	0:154378,1:17776,2:7886,3:4056,4:2133,5:1216,6:682,7:470,8:210,9:157,10:119,11:86,12:102,13:44,14:45,15:52,16:19,17:27,18:26,19:28,20:14,21:31,22:9,23:11,24:95,25:2,26:4,27:3,28:3,29:2,30:5,31:2,32:1,33:3,34:2,35:3,36:10,39:1,40:5,42:3,45:2,46:2,47:1,54:1,58:1,63:1,64:2,90:1,103:2
th	0:123473,1:21272,2:13293,3:7267,4:4014,5:2066,6:1233,7:840,8:542,9:229,10:219,11:147,12:96,13:89,14:64,15:46,16:38,17:13,18:47,19:8,20:14,21:5,22:2,23:5,24:2,25:10,26:2,27:8,28:1,29:3,30:4,31:1,33:1,35:1,38:1,39:2,40:1,41:2,48:2,52:1,64:1,65:1,71:7,100:2
fa	0:130437,1:7384,2:3156,3:1353,4:463,5:304,6:184,7:67,8:52,9:44,10:16,11:17,12:18,13:7,14:8,15:7,16:3,17:3,20:1,21:30,22:6,26:1,27:1,28:2,32:5,33:3,39:2,42:1,43:1,48:1
ko	0:97349,1:11981,2:7894,3:4046,4:2151,5:1225,6:803,7:310,8:226,9:95,10:118,11:49,12:55,13:73,14:11,15:6,16:5,17:7,18:20,19:5,20:13,21:3,23:1,24:1,25:4,27:1,28:1,30:1,33:1,37:2,40:1,42:1,44:2,45:1,56:1,60:1,61:1,63:1,68:1,79:1,96:2,107:1,122:1
zxx	0:98079,1:8,2:4,3:8,4:2,6:1,11:1
in	0:65245,1:14842,2:6357,3:3577,4:1664,5:789,6:437,7:268,8:159,9:88,10:56,11:41,12:31,13:38,14:18,15:13,16:10,17:4,18:7,19:4,20:5,21:2,22:6,24:1,25:2,26:2,27:1,30:1,31:1,32:1,33:1,35:1,36:2,38:2,39:1,42:1,47:1,50:1,53:1,60:1
qme	0:72601,1:5,2:9,3:3,4:3,5:1,6:1,9:1
