Day	Hour	Count	Coverage%
2022-10-10	00	147433	100.0
2022-10-10	01	154923	100.0
2022-10-10	02	157642	100.0
2022-10-10	03	159201	100.0
2022-10-10	04	150809	100.0
2022-10-10	05	146249	100.0
2022-10-10	06	146359	100.0
2022-10-10	07	148119	100.0
2022-10-10	08	157030	100.0
2022-10-10	09	165493	100.0
2022-10-10	10	179249	100.0
2022-10-10	11	200368	100.0
2022-10-10	12	217627	100.0
2022-10-10	13	232720	100.0
2022-10-10	14	230682	100.0
2022-10-10	15	212222	94.0
2022-10-10	16	201047	100.0
2022-10-10	17	183237	100.0
2022-10-10	18	170654	100.0
2022-10-10	19	161615	100.0
2022-10-10	20	154846	100.0
2022-10-10	21	150886	100.0
2022-10-10	22	151202	100.0
2022-10-10	23	146506	100.0
