Day	Hour	Count	Coverage%
2022-09-26	00	148794	100.0
2022-09-26	01	153268	100.0
2022-09-26	02	157143	100.0
2022-09-26	03	164584	100.0
2022-09-26	04	148430	100.0
2022-09-26	05	142582	100.0
2022-09-26	06	143262	100.0
2022-09-26	07	148190	100.0
2022-09-26	08	160149	100.0
2022-09-26	09	177713	100.0
2022-09-26	10	197846	100.0
2022-09-26	11	216155	100.0
2022-09-26	12	228640	100.0
2022-09-26	13	173189	72.639
2022-09-26	14	238179	100.0
2022-09-26	15	236679	99.889
2022-09-26	16	210627	100.0
2022-09-26	17	187355	100.0
2022-09-26	18	175105	100.0
2022-09-26	19	166208	100.0
2022-09-26	20	163769	100.0
2022-09-26	21	167178	100.0
2022-09-26	22	168032	100.0
2022-09-26	23	163915	100.0
