Day	Hour	Count	Coverage%
2022-09-29	00	161443	100.0
2022-09-29	01	165106	100.0
2022-09-29	02	165312	100.0
2022-09-29	03	172751	100.0
2022-09-29	04	150679	100.0
2022-09-29	05	150098	100.0
2022-09-29	06	151186	100.0
2022-09-29	07	153419	100.0
2022-09-29	08	165743	100.0
2022-09-29	09	184368	100.0
2022-09-29	10	206913	100.0
2022-09-29	11	229334	100.0
2022-09-29	12	244033	100.0
2022-09-29	13	249502	99.778
2022-09-29	14	245066	100.0
2022-09-29	15	243506	99.75
2022-09-29	16	217280	100.0
2022-09-29	17	197500	99.333
2022-09-29	18	184213	99.75
2022-09-29	19	180594	100.0
2022-09-29	20	177341	99.806
2022-09-29	21	173447	99.556
2022-09-29	22	174180	100.0
2022-09-29	23	170414	100.0
