Language	Count
en	0:941732,1:167534,2:83569,3:40995,4:25268,5:11275,6:10686,7:4116,8:2662,9:1422,10:1079,11:595,12:727,13:312,14:292,15:287,16:222,17:112,18:89,19:54,20:188,21:51,22:62,23:28,24:52,25:84,26:28,27:25,28:27,29:14,30:50,31:10,32:12,33:11,34:22,35:8,36:13,37:11,38:6,39:5,40:11,41:5,42:4,44:5,45:4,46:2,48:3,49:40,50:2,51:1,52:2,53:2,54:3,55:2,56:5,57:2,58:1,60:3,61:3,62:1,63:2,64:3,67:3,68:1,70:1,72:1,73:2,75:2,78:3,81:2,82:1,83:1,95:1,96:1,98:1,99:3,101:2,103:1,108:1,112:1,116:1,125:1,129:1,132:1
ja	0:476917,1:85562,2:50104,3:32598,4:21256,5:13176,6:10137,7:6278,8:3715,9:2839,10:2228,11:1391,12:753,13:489,14:386,15:436,16:249,17:197,18:229,19:138,20:277,21:64,22:62,23:87,24:43,25:57,26:79,27:33,28:16,29:33,30:26,31:5,32:10,33:18,34:7,35:19,36:7,37:11,38:6,39:13,40:9,42:1,43:3,44:1,45:5,46:2,47:3,48:4,49:1,50:5,51:1,52:11,53:1,54:2,55:3,56:2,57:4,58:4,59:2,62:1,63:1,64:2,65:2,67:5,68:1,70:2,71:1,72:1,74:1,76:2,78:1,80:4,82:2,84:1,85:1,87:1,90:1,91:3,92:1,93:1,96:1,98:1,101:1,124:1,137:1
es	0:223007,1:34046,2:15203,3:8418,4:3944,5:2136,6:1273,7:878,8:562,9:563,10:235,11:182,12:152,13:138,14:88,15:127,16:41,17:42,18:35,19:40,20:19,21:17,22:16,23:26,24:22,25:10,26:8,27:10,28:8,29:2,30:9,31:2,32:1,33:2,34:2,35:4,36:3,37:2,38:2,39:2,40:1,41:3,42:1,43:1,47:1,48:4,49:1,54:2,55:1,58:1,60:1,65:1,70:1,73:19,83:1,85:1,88:1,92:1,99:1,110:1,134:1
ar	0:108231,1:22779,2:12086,3:5599,4:23203,5:4858,6:31750,7:1275,8:21002,9:19575,10:654,11:169,12:6524,13:443,14:87,15:44,16:27332,17:823,18:94,19:22,20:20,21:26,22:14,23:15,24:6,25:4,26:9,27:9,28:253,29:13,30:4,31:6,32:7,33:6,34:4,35:7,36:8,37:9,38:5,39:3,40:3,41:14,42:3,44:2,45:4,46:2,48:5,50:3,51:1,52:2,53:1,54:1,55:3,56:1,58:3,59:1,61:2,62:2,64:2,65:1,66:2,67:2,70:1,71:2,72:1,76:1,78:1,80:1,81:2,83:1,91:1,95:1,96:1,97:1,98:6,101:2,104:1,105:1,109:1,112:1,117:1,130:1
und	0:53432,1:30297,2:18913,3:14106,4:21151,5:6011,6:66387,7:1073,8:17745,9:7889,10:397,11:305,12:6111,13:157,14:94,15:55,16:19642,17:90,18:310,19:33,20:65,21:28,22:47,23:26,24:53,25:16,26:32,27:18,28:546,29:14,30:14,31:8,32:8,33:8,34:6,35:6,36:25,37:4,39:9,40:5,41:1,42:14,43:6,44:2,45:7,46:1,47:4,48:7,49:6,50:4,51:8,52:2,53:6,54:3,56:4,57:1,60:5,61:1,62:2,63:8,64:5,65:2,67:1,69:4,70:2,71:1,72:5,73:3,74:1,77:3,78:6,79:3,80:4,81:1,82:2,83:2,84:5,85:1,86:1,87:1,88:2,91:1,92:1,93:2,95:3,96:1,97:1,98:1,99:3,100:2,103:1,104:2,105:2,107:1,108:1,113:1,114:1,115:1,116:3,117:2,121:1,122:1,124:5,126:2,127:1,128:1,129:1,130:2,131:1,132:2,136:2,137:2,138:2,139:7,140:17
tr	0:200319,1:12617,2:9453,3:2422,4:1434,5:521,6:524,7:197,8:209,9:174,10:66,11:47,12:35,13:20,14:15,15:16,16:15,17:4,18:4,19:3,20:7,21:3,22:4,23:1,24:5,25:4,27:1,30:1,31:3,38:2,41:1,42:1,45:1,57:1
th	0:145213,1:25180,2:15153,3:8303,4:3914,5:2101,6:1533,7:857,8:553,9:322,10:329,11:155,12:111,13:93,14:66,15:35,16:20,17:17,18:37,19:18,20:16,21:5,22:3,23:8,24:4,25:3,26:1,27:4,29:2,31:1,32:3,34:1,35:1,36:1,37:26,39:2,41:1,43:1,45:1,57:1,62:4,65:1,98:8
pt	0:165125,1:18334,2:8083,3:4279,4:1995,5:1278,6:996,7:517,8:233,9:169,10:123,11:75,12:82,13:91,14:87,15:13,16:26,17:19,18:12,19:12,20:9,21:20,22:34,23:2,24:11,25:9,26:5,27:8,28:5,29:2,30:2,31:2,32:3,33:1,34:1,35:3,36:3,37:1,38:1,39:2,40:1,41:1,46:1,49:1,52:4,53:2,54:1,56:1,61:1,62:1,63:1,74:1,101:1,107:4,118:1
fa	0:169658,1:10294,2:3621,3:2544,4:503,5:170,6:546,7:37,8:48,9:109,10:37,11:42,12:9,13:3,14:8,15:6,16:11,17:1,18:4,19:3,20:2,22:1,23:1,27:2,28:1,32:2,37:11,42:1,64:1
ko	0:101669,1:14933,2:7731,3:4397,4:2539,5:1059,6:1102,7:293,8:541,9:253,10:48,11:30,12:15,13:24,14:10,15:6,16:6,17:7,18:17,19:12,20:7,21:51,22:3,23:4,24:1,25:2,26:4,27:1,28:1,30:1,31:2,32:2,37:2,41:1,42:20,44:1,68:1,76:1,79:1,100:1,118:1
zxx	0:103550,1:10,2:7,3:3,4:4,5:1,8:1
