Day	Hour	Count	Coverage%
2022-10-20	00	153531	100.0
2022-10-20	01	160694	100.0
2022-10-20	02	169498	100.0
2022-10-20	03	184852	100.0
2022-10-20	04	148419	100.0
2022-10-20	05	138670	100.0
2022-10-20	06	136376	100.0
2022-10-20	07	139310	100.0
2022-10-20	08	152570	100.0
2022-10-20	09	173591	100.0
2022-10-20	10	187009	100.0
2022-10-20	11	204396	100.0
2022-10-20	12	228516	100.0
2022-10-20	13	240750	100.0
2022-10-20	14	235345	100.0
2022-10-20	15	223060	99.667
2022-10-20	16	201104	100.0
2022-10-20	17	182817	100.0
2022-10-20	18	169391	100.0
2022-10-20	19	161795	100.0
2022-10-20	20	157677	100.0
2022-10-20	21	157588	100.0
2022-10-20	22	159715	100.0
2022-10-20	23	160001	100.0
