Emoji	Count
😭	126930
😂	119852
✨	97413
🤣	82247
🔥	79107
✅	68357
❤️	57317
🎁	34935
😍	33268
🙏	30938
🥺	29602
🥰	26794
💕	26663
🥹	26436
🎉	24492
💜	23788
💦	22722
👇	22452
‼️	22262
🌟	21248
😊	20710
💙	19698
🤍	18222
🚨	16318
👍	16184
👏	15309
👀	14962
📍	14321
⚡	14080
🏆	13661
❤	13484
🖤	13451
☺️	13150
😈	13093
😅	12924
♻	12814
❗	12811
💖	12557
💗	12421
🤔	12387
⭐	12290
💚	12028
😘	11654
😆	11458
♥️	11424
📌	10886
😁	10537
🥲	10473
🥳	10466
👉	10409
💥	10344
🤭	9859
🔔	9782
💛	9770
🔴	9751
🚀	9684
💰	9510
😳	9473
🌹	9458
🤤	9451
🎃	9347
🫶🏻	8900
💔	8869
🤩	8726
🥵	8646
😎	8241
😋	8091
💀	7956
😉	7813
💪	7725
🇧🇷	7622
⬇️	7574
💯	7270
🎶	7171
🫶	7155
🌸	7133
📢	6895
❣️	6881
1️⃣	6856
📸	6846
💓	6759
🤡	6758
🍀	6737
👑	6572
🎊	6543
🤗	6537
☠️	6536
2️⃣	6529
🫠	6470
☀️	6464
🗣	6462
😔	6339
❤️‍🔥	6308
🙌🏻	6306
💫	6300
⚠️	6279
👻	6261
🔗	6256
💞	6231
😌	6203
🎯	6112
🌈	5962
🙄	5911
😩	5843
💆🏻‍♂️	5839
🙌	5807
📲	5795
🟩	5782
🍆	5774
😇	5763
💋	5704
🔹	5690
🇹🇭	5671
🍑	5665
😢	5592
🧡	5530
😏	5513
😱	5509
🙏🏻	5456
1⃣	5299
😡	5249
🚧	5088
⏰	5028
📣	5000
✔	4910
✌️	4812
👌	4808
🎥	4805
⚽	4742
💌	4732
💎	4724
🎂	4724
☕	4671
♻️	4653
➡️	4620
🎀	4558
🐶	4526
❌	4495
🍁	4494
‼	4438
🐰	4431
🤮	4233
💐	4212
🙃	4145
😄	4062
⬜	4046
😃	4025
👇🏻	3964
🎵	3938
🤪	3906
⚫	3898
😜	3882
🫣	3876
👏🏻	3851
🙈	3813
💸	3785
🐷	3777
😀	3685
👅	3678
🍂	3665
🦋	3651
😒	3630
♥	3580
3️⃣	3514
🤝	3505
▶️	3431
📺	3410
🔸	3409
2⃣	3390
🙂	3380
🍎	3363
🌺	3352
🤯	3344
🐱	3303
🌷	3280
🫡	3240
🌿	3235
💘	3224
🐹	3194
🇺🇸	3165
🥂	3160
👨‍🚀	3106
❕	3069
✔️	3043
🟨	3039
▶	3039
🚩	3034
🌙	2991
👍🏻	2966
🍒	2937
🔵	2915
🔞	2872
🔽	2868
▪️	2863
🍇	2846
🌻	2818
⁉️	2816
📱	2784
🔻	2732
🤬	2726
❓	2671
👋	2626
☀	2603
⬛	2601
🌱	2586
💨	2538
😹	2509
⚪	2486
💬	2482
🥴	2468
😻	2468
🟡	2463
🌊	2423
🌞	2408
😫	2403
➖	2372
👊	2366
🎬	2341
🤲	2338
🍯	2330
😤	2326
😝	2325
🔁	2312
🌼	2300
⏳	2299
🏮	2292
☑️	2282
🟥	2273
💢	2259
💭	2257
🐾	2253
🍋	2242
🦊	2207
✊	2202
🙇‍♂️	2198
