Language	Count
en	0:951432,1:170346,2:86288,3:42635,4:20635,5:10267,6:6392,7:3978,8:2632,9:1347,10:1089,11:603,12:480,13:406,14:264,15:261,16:205,17:147,18:120,19:87,20:204,21:69,22:36,23:44,24:63,25:101,26:46,27:35,28:27,29:31,30:52,31:29,32:14,33:16,34:22,35:13,36:17,37:11,38:5,39:7,40:7,41:1,42:6,43:3,44:8,45:4,46:4,47:2,48:2,49:7,50:3,51:1,53:3,54:3,56:4,58:1,59:7,60:2,61:2,62:4,63:1,64:1,65:2,66:5,67:2,68:11,70:15,72:1,74:2,75:1,78:1,79:2,80:1,81:3,84:2,85:1,86:3,87:1,89:1,92:2,98:1,99:2,100:1,103:1,106:1,107:2,108:1,112:1,125:1,133:1,135:1
ja	0:446796,1:83397,2:45590,3:31257,4:19853,5:14903,6:9479,7:5721,8:4086,9:2589,10:2162,11:1070,12:1035,13:442,14:437,15:232,16:229,17:145,18:448,19:109,20:83,21:52,22:94,23:86,24:35,25:48,26:51,27:40,28:39,29:26,30:28,31:11,32:16,33:81,34:5,35:12,36:11,37:10,38:6,39:2,40:12,41:5,42:4,43:4,44:3,45:3,46:1,47:5,48:1,49:4,50:6,51:3,52:5,53:2,54:1,55:1,56:2,57:1,62:1,65:2,67:1,68:1,71:1,73:1,74:1,79:4,84:1,87:1,93:1,99:1,105:1,107:1,134:1
es	0:245687,1:36364,2:16002,3:9407,4:4606,5:2258,6:1430,7:852,8:663,9:325,10:308,11:177,12:162,13:66,14:83,15:67,16:49,17:29,18:32,19:25,20:33,21:24,22:14,23:9,24:14,25:76,26:6,27:5,28:3,29:6,30:12,31:5,32:28,33:2,34:1,35:1,36:5,37:2,40:2,41:3,42:1,43:1,44:2,45:2,46:2,47:1,51:1,53:1,54:1,58:1,71:1,72:1,73:1,85:1,100:1,115:1,124:1,125:1
pt	0:228698,1:22619,2:10565,3:6000,4:3008,5:1290,6:1042,7:619,8:403,9:198,10:201,11:115,12:92,13:79,14:40,15:46,16:49,17:16,18:33,19:10,20:15,21:12,22:10,23:11,24:26,25:9,26:7,27:9,28:9,29:6,30:4,31:8,32:2,33:5,35:4,36:1,38:4,39:2,40:1,41:2,42:3,43:1,45:1,46:1,47:1,49:2,51:1,52:1,54:1,56:3,58:3,62:3,64:3,65:1,71:1,75:1,112:1,115:1,121:3
tr	0:224642,1:10562,2:5327,3:2208,4:1285,5:708,6:642,7:182,8:172,9:95,10:78,11:27,12:27,13:20,14:22,15:11,16:7,17:6,18:9,19:4,20:6,21:6,22:4,24:3,25:6,26:1,27:4,28:3,30:1,31:1,32:2,36:1,38:2,47:1,50:1
th	0:165606,1:25308,2:16700,3:8733,4:4932,5:2154,6:1469,7:847,8:680,9:357,10:245,11:123,12:145,13:56,14:45,15:41,16:67,17:37,18:14,19:16,20:13,21:10,22:15,23:5,24:8,25:11,26:9,27:17,28:29,29:2,30:3,31:3,33:5,34:6,36:23,38:4,40:1,41:2,42:3,48:1,52:1,64:1,103:1,135:1
ar	0:102520,1:20998,2:11280,3:5226,4:5114,5:4179,6:6976,7:2463,8:2947,9:2371,10:254,11:174,12:207,13:93,14:1595,15:109,16:1553,17:35,18:1299,19:35,20:40,21:12,22:553,23:526,24:543,25:33,26:24,27:7,28:10,29:7,30:2,31:5,32:6,33:4,34:7,35:3,36:4,37:2,38:5,39:1,40:4,41:2,42:2,44:4,45:1,46:1,47:4,48:4,49:1,50:1,51:2,52:1,56:1,57:1,60:3,61:2,63:1,64:1,65:2,67:1,69:2,70:1,71:1,72:2,78:1,81:2,82:1,84:2,88:1,94:1,95:1,96:1,105:1,110:1,113:2,117:1,125:1,129:1,132:2
und	0:56194,1:30481,2:20073,3:13883,4:8006,5:3914,6:2008,7:1050,8:834,9:480,10:479,11:310,12:485,13:205,14:712,15:77,16:60,17:38,18:29,19:36,20:69,21:23,22:504,23:417,24:513,25:18,26:27,27:22,28:30,29:9,30:11,31:9,32:8,33:14,34:5,35:21,36:20,37:8,38:4,39:6,40:10,41:1,42:8,43:3,44:4,45:6,46:2,47:4,48:7,49:2,50:3,51:4,52:22,53:1,54:6,55:4,56:5,57:2,58:2,59:1,60:3,62:5,63:10,64:4,65:7,66:1,67:3,68:1,69:3,70:1,72:5,73:1,74:1,75:2,76:1,78:3,79:1,80:2,81:2,82:1,83:1,84:6,85:3,86:3,87:2,88:1,89:2,90:1,95:1,96:1,98:2,100:4,101:1,104:1,105:1,106:1,111:1,112:2,113:1,114:1,118:2,122:1,123:2,125:7,126:2,127:1,128:4,129:3,130:2,131:1,132:2,133:1,134:1,136:5,137:6,138:3,139:3,140:15
ko	0:93553,1:12126,2:7016,3:4235,4:4244,5:1148,6:508,7:518,8:182,9:75,10:356,11:46,12:68,13:19,14:9,15:10,16:5,17:4,18:4,19:1,20:6,21:3,22:2,23:2,24:1,25:2,26:2,27:1,28:2,29:2,31:2,32:2,34:2,35:1,37:1,38:1,39:1,40:1,64:1,67:1,69:1,104:1
zxx	0:106350,1:13,2:4,3:5,4:2,5:1,9:1,12:1
in	0:67476,1:14675,2:5878,3:3170,4:1424,5:846,6:445,7:205,8:143,9:80,10:59,11:19,12:31,13:17,14:16,15:6,16:11,17:6,18:7,19:5,20:6,21:2,22:1,24:3,25:4,26:2,28:1,30:1,32:1,33:1,34:1,35:2,36:1,40:2,41:1,48:2,58:1,131:1
qme	0:74452,1:15,2:65,3:1,4:7,5:1,8:1,17:1
fa	0:64289,1:4430,2:1664,3:568,4:259,5:96,6:65,7:88,8:33,9:37,10:18,11:8,12:4,13:9,14:2,15:1,16:1,17:4,18:38,19:1,22:1,23:1,24:8,26:1,27:2,29:43,54:1
fr	0:49100,1:7611,2:3473,3:1795,4:719,5:355,6:198,7:125,8:62,9:41,10:28,11:19,12:23,13:8,14:3,15:2,16:5,17:8,18:4,19:1,20:1,21:2,24:6,25:1,26:3,30:1,31:1,35:4,38:1,40:1,41:1,42:1,48:1,66:1
hi	0:30645,1:3757,2:2208,3:1120,4:624,5:264,6:204,7:103,8:98,9:63,10:60,11:21,12:33,13:15,14:13,15:11,16:17,17:6,18:9,19:4,20:4,21:7,22:1,23:7,26:2,27:2,31:7,32:3,33:1,36:1,41:1,42:2,52:1,59:1,61:1
tl	0:22941,1:4994,2:2315,3:1341,4:557,5:213,6:153,7:96,8:36,9:27,10:30,11:18,12:8,13:6,14:6,15:1,16:3,17:1,18:4,19:1,21:1,22:1,24:1,25:1,28:1,29:1,30:2,31:1,34:2,39:1,40:1,50:1,73:1,87:1,88:1,120:1
zh	0:23715,1:4417,2:1929,3:1111,4:593,5:357,6:223,7:93,8:99,9:51,10:20,11:18,12:12,13:7,14:6,15:1,16:2,17:4,18:2,19:1,20:6,21:2,22:2,23:2,24:1,25:2,26:2,27:2,29:2,30:13,31:2,32:5,34:1,35:1,36:1,41:1,42:1,50:1,54:1,100:1,101:1
de	0:17480,1:3864,2:885,3:513,4:190,5:77,6:49,7:41,8:30,9:18,10:9,11:10,12:9,13:2,14:6,15:3,17:2,19:1,21:2,22:2,30:1,35:2
it	0:17492,1:2307,2:905,3:559,4:253,5:196,6:103,7:61,8:42,9:26,10:19,11:16,12:10,13:11,14:8,15:3,16:1,17:3,19:3,20:4,21:3,22:2,23:1,24:1,25:2,27:1,28:3,31:1,34:1,35:2,39:1,41:1,50:1,57:1,79:1
ur	0:18234,1:1703,2:935,3:421,4:238,5:84,6:66,7:35,8:33,9:17,10:17,11:3,12:8,13:5,14:6,15:4,16:2,17:4,18:2,19:1,20:1,23:3,24:1,25:1,35:1,36:1,38:2,77:1
qam	0:17944
ru	0:10830,1:1219,2:369,3:331,4:85,5:44,6:34,7:14,8:13,9:5,10:4,11:3,12:9,13:3,15:1,16:1,17:1,18:1,20:1,24:1,25:1
pl	0:10005,1:1378,2:575,3:375,4:152,5:84,6:48,7:20,8:21,9:6,10:4,11:7,12:3,13:3,14:3,15:1,16:5,18:3,22:1,24:1,25:1,26:2,28:1,31:1,32:1,38:1,89:1
nl	0:8180,1:1075,2:382,3:213,4:108,5:37,6:42,7:31,8:8,9:5,10:5,11:4,12:2,14:2,17:1,21:2,28:2,30:1,35:1,37:1,64:1
bn	0:2365,1:6337,2:1220,3:56,4:16,5:5,6:7,7:3,8:1,24:1
art	0:27,1:3270,2:1713,3:1810,4:958,5:525,6:346,7:186,8:127,9:94,10:84,11:55,12:48,13:33,14:30,15:21,16:5,17:10,18:7,19:3,20:9,21:3,22:7,23:3,24:4,25:1,26:5,27:2,28:6,29:5,30:3,32:2,33:1,34:1,35:1,36:1,39:1,40:2,41:1,42:2,44:2,49:2,51:1,52:3,56:1,57:1,63:6,64:1,70:1,78:2,84:1,96:1,99:1,100:2,110:2,114:1,115:1,117:5,125:1,126:1,130:3,139:1,140:6
et	0:4680,1:1004,2:648,3:304,4:177,5:66,6:47,7:32,8:25,9:16,10:8,11:6,12:5,14:2,15:3,16:2,17:1,19:2,24:1,27:1,30:1,33:4,36:1,42:1,44:3
ca	0:4857,1:739,2:358,3:173,4:548,5:44,6:38,7:14,8:11,9:5,10:17,12:1,15:2,17:1,21:2,34:1,37:1,88:1
qht	0:6664,1:1,2:31,4:2
ht	0:4825,1:686,2:373,3:238,4:128,5:51,6:23,7:11,8:16,9:12,10:2,11:8,12:1,13:2,14:2,15:2,16:1,18:2,19:1,20:1,23:2,24:2,25:1,30:1
qst	0:5823,1:501,2:45,3:1
uk	0:3990,1:649,2:160,3:141,4:39,5:7,6:11,7:4,8:6,9:2,10:3,11:1,12:2,14:1,22:1
vi	0:3190,1:494,2:281,3:177,4:70,5:37,6:36,7:17,8:10,9:6,10:2,12:2,14:6,15:1,16:3,17:2,19:1,21:1,22:1,23:5,24:1,25:2,28:1,29:1,33:1,34:1,39:1,45:2,120:1
el	0:3579,1:296,2:140,3:109,4:65,5:25,6:25,7:4,8:7,9:13,10:1,11:1,14:1,17:1,20:1,24:1
ta	0:3024,1:432,2:320,3:220,4:93,5:40,6:35,7:13,8:3,9:5,10:9,11:1,13:1,14:1,15:2,20:2,25:2,29:1
sv	0:3030,1:493,2:240,3:74,4:73,5:25,6:4,7:4,8:6,9:3,10:4,11:2,12:2,13:1,14:3,40:1
iw	0:3040,1:147,2:37,3:31,4:12,5:6,6:1,7:4,8:4,10:2,11:1,14:1,16:1,24:1,55:1
fi	0:2582,1:344,2:170,3:79,4:33,5:15,6:12,7:8,8:6,9:7,10:3,15:1,20:1,21:1,25:2,26:1,27:1,28:2,30:1,35:1,42:1
te	0:2191,1:290,2:203,3:136,4:49,5:43,6:15,7:14,8:14,9:5,10:5,13:2,18:1,19:1,22:1
cs	0:2275,1:342,2:152,3:101,4:36,5:10,6:16,7:4,8:7,9:3,10:1,11:1,15:1,26:1,30:1,33:1
da	0:1921,1:436,2:112,3:69,4:28,5:17,6:14,7:8,8:6,9:2,10:2,11:1,12:1,13:1,16:1,17:1,24:2,29:1,42:1,43:1
gu	0:2002,1:245,2:143,3:18,4:8,5:7,6:5,7:2,8:2,12:2,13:1
eu	0:1664,1:280,2:156,3:47,4:22,5:16,6:15,7:9,8:2,10:2,11:1,12:1,13:2,16:1,22:1
cy	0:1491,1:286,2:125,3:53,4:37,5:13,6:8,7:2,8:2,11:1,13:1,32:1
no	0:1427,1:255,2:108,3:88,4:27,5:8,6:7,7:12,8:1,13:1,15:1,20:1,31:1,34:1,35:1,84:1
ro	0:1563,1:175,2:77,3:46,4:22,5:14,6:9,7:6,8:3,9:1,10:1,11:1,12:2,13:1,14:4,15:2,16:1,22:1,42:1,48:1
hu	0:1228,1:182,2:99,3:76,4:32,5:18,6:148,7:6,8:2,9:3,10:1,12:3,16:11,18:1
lt	0:1092,1:190,2:96,3:46,4:12,5:8,7:4,8:4,10:3,14:1,19:1,21:1,27:1,28:1,32:1,137:1
mr	0:1054,1:126,2:84,3:45,4:21,5:20,6:4,7:5,8:7,9:7,10:3,11:2,12:1,17:1
sl	0:1040,1:119,2:66,3:34,4:8,5:6,6:4,7:2,8:2,9:2,11:1,22:1,24:1
lv	0:865,1:118,2:41,3:20,4:4,5:10,6:4,7:5,8:3,10:1,17:1,39:1
ne	0:712,1:106,2:78,3:48,4:23,5:10,6:5,7:5,8:4,9:2,14:1,16:1,29:1
am	0:587,1:78,2:50,3:48,4:16,5:9,6:8,7:1,8:3,9:4,10:1,12:1
is	0:628,1:68,2:34,3:26,4:9,5:8,6:2,7:1,8:2,16:1,18:1,24:1
kn	0:471,1:54,2:83,3:19,4:9,5:13,6:4,7:10,8:1,9:1,11:1,13:1
my	0:366,1:112,2:82,3:43,4:17,5:8,6:6,8:1,9:1,11:2,12:1,15:1,16:1
sr	0:487,1:50,2:23,3:15,4:4,5:2,7:1,10:1,12:1,18:1,20:1,24:1
ps	0:397,1:44,2:27,3:6,4:3,5:4,6:1,8:1
ml	0:252,1:85,2:35,3:13,4:4,5:5,6:2,18:1
bg	0:224,1:20,2:12,3:4,4:7,6:1
pa	0:194,1:14,2:12,3:3,4:2,5:2,9:1
km	0:126,1:18,2:25,3:26,4:8,5:4,6:1
or	0:118,1:18,2:7,3:11,4:1,7:1,8:1
ckb	0:109,1:19,2:15,3:1,4:2,5:1,6:2,12:1
sd	0:85,1:7,2:8,3:2,5:1,6:4,7:1,37:1
lo	0:80,1:10,2:6,3:4,4:3,5:1,7:1
ka	0:91,1:10,2:1
dv	0:81,1:8,2:2,4:1
si	0:50,1:21,2:7,3:2,12:1
hy	0:24,1:7,2:1,3:3
qct	0:9
ug	3:1,14:1
bo	0:1
