Language	Count
en	0:910806,1:164729,2:81831,3:40120,4:23798,5:10487,6:9123,7:4362,8:3044,9:1692,10:1048,11:678,12:752,13:395,14:333,15:256,16:192,17:191,18:167,19:100,20:181,21:101,22:50,23:45,24:47,25:91,26:38,27:26,28:33,29:15,30:34,31:12,32:15,33:4,34:12,35:7,36:8,37:7,38:9,39:13,40:4,41:6,42:7,43:1,44:2,45:2,46:3,47:3,48:2,50:2,51:10,52:1,53:3,54:3,55:6,56:5,57:2,60:4,61:2,63:1,64:1,66:2,67:1,68:1,72:1,73:2,74:1,75:2,76:1,80:1,81:6,82:1,89:28,96:1,98:1,99:4,101:2,103:2,104:3,110:1,116:1,121:2,124:1,125:1,126:1,130:1,133:1
ja	0:487056,1:90055,2:50301,3:33429,4:21564,5:13578,6:9682,7:6307,8:4209,9:3190,10:2141,11:1377,12:808,13:493,14:496,15:301,16:265,17:187,18:442,19:149,20:115,21:292,22:68,23:66,24:52,25:61,26:84,27:25,28:21,29:12,30:19,31:15,32:8,33:18,34:10,35:14,36:7,37:11,38:21,39:4,40:9,41:4,42:4,43:1,44:6,45:2,46:1,47:1,48:2,50:4,51:2,53:1,54:1,55:3,56:6,57:1,59:3,61:1,62:2,63:1,64:1,65:11,67:3,68:2,70:2,72:2,75:1,77:2,80:2,81:1,83:1,92:1,95:1,96:1,102:3,103:1,109:3,115:1,130:1,131:2,138:1
und	0:72447,1:30672,2:19981,3:13680,4:14975,5:5483,6:65111,7:1140,8:21135,9:8151,10:35573,11:357,12:5086,13:155,14:100,15:56,16:19789,17:88,18:187,19:276,20:609,21:645,22:602,23:299,24:126,25:18,26:40,27:27,28:24,29:2,30:19,31:6,32:10,33:6,34:11,35:3,36:20,37:4,38:2,39:13,40:7,41:9,42:10,43:6,44:10,45:2,46:3,47:5,48:15,49:2,51:3,52:2,53:2,54:3,55:5,56:7,57:1,58:1,59:3,60:3,61:1,62:2,63:11,64:5,65:5,66:2,67:6,68:2,70:4,71:1,72:4,73:3,74:1,75:2,76:1,77:4,78:2,79:6,81:3,83:1,84:2,86:1,88:3,91:1,94:1,95:1,96:4,98:1,99:1,100:2,102:1,103:1,104:4,106:1,110:2,111:1,112:1,113:1,114:3,116:2,117:5,120:2,123:7,125:1,126:4,129:4,130:2,132:2,133:1,135:2,136:1,137:8,138:2,139:7,140:17
es	0:216806,1:34141,2:14965,3:8992,4:4363,5:2317,6:1343,7:789,8:596,9:375,10:217,11:197,12:128,13:121,14:86,15:56,16:63,17:25,18:30,19:25,20:14,21:14,22:18,23:28,24:22,25:4,26:12,27:51,28:3,29:2,30:4,31:2,32:2,33:15,34:4,35:1,36:2,37:4,38:4,39:5,40:1,42:3,43:1,44:1,47:1,51:2,60:1,61:1,65:1,69:1,73:35,74:1,83:1,89:1,96:1,99:1,100:1,107:1,118:1,122:1
pt	0:239437,1:21774,2:8929,3:5418,4:2574,5:1418,6:1164,7:432,8:350,9:218,10:185,11:109,12:134,13:100,14:41,15:157,16:30,17:67,18:32,19:12,20:13,21:15,22:16,23:5,24:15,25:7,26:8,27:1,28:6,29:2,30:4,31:4,32:1,33:28,34:2,35:7,36:8,37:3,38:12,39:43,40:7,41:1,43:1,44:2,45:2,46:1,49:1,50:2,54:1,60:1,61:1,62:3,63:1,65:1,71:1,73:1,80:1,82:3,88:1,95:1,98:1,102:1,104:1,105:1,107:9,136:1
ar	0:108588,1:23157,2:10699,3:5354,4:16445,5:4042,6:21064,7:1432,8:20603,9:19651,10:666,11:168,12:4869,13:372,14:80,15:76,16:22631,17:780,18:168,19:98,20:160,21:153,22:174,23:90,24:51,25:12,26:14,27:11,28:8,29:6,30:5,31:4,32:8,33:4,34:8,35:9,36:6,37:6,38:3,39:5,41:4,42:1,43:8,44:2,45:2,46:5,47:2,48:2,49:3,50:4,51:2,52:1,53:1,54:2,55:2,56:1,58:1,60:2,61:5,62:1,64:5,65:6,66:1,67:2,69:1,70:3,72:2,74:1,75:1,77:1,78:7,79:1,81:1,83:1,84:1,89:1,94:1,96:1,98:1,99:2,101:2,102:1,112:2,115:1,117:1,123:1,125:2,134:1,136:1,137:1
tr	0:195701,1:11675,2:6310,3:2235,4:1101,5:534,6:435,7:177,8:139,9:157,10:60,11:40,12:26,13:21,14:31,15:21,16:14,17:7,18:7,19:5,20:5,21:4,22:5,23:3,24:7,25:5,26:2,28:1,29:3,30:3,31:2,32:1,34:1,36:1,38:3,41:2,44:1,45:1,48:1,62:1,91:1
th	0:150629,1:22425,2:14360,3:7784,4:3878,5:2038,6:1419,7:902,8:528,9:308,10:221,11:241,12:135,13:75,14:94,15:69,16:44,17:25,18:23,19:13,20:8,21:7,22:24,23:37,24:24,25:4,27:4,28:2,29:1,30:1,31:1,32:3,33:1,37:2,40:1,67:1,82:1,98:2
fa	0:171298,1:9157,2:4336,3:1603,4:414,5:188,6:251,7:52,8:42,9:121,10:15,11:53,12:8,13:7,14:3,15:2,16:8,17:34,18:8,19:4,20:69,21:1,22:1,26:1,27:1,28:1,37:1,38:1,40:1,44:1,132:1
ko	0:99187,1:14405,2:8364,3:4035,4:2591,5:1090,6:1191,7:779,8:729,9:131,10:93,11:35,12:23,13:9,14:21,15:9,16:5,17:4,18:32,19:8,20:5,21:34,22:2,23:4,24:1,25:4,27:1,31:1,34:1,37:1,42:5,43:1,44:1,48:1,67:1,77:1,91:1,117:1
zxx	0:102468,1:4,2:2,3:5,4:5,5:1,6:2,7:1
in	0:69177,1:15832,2:7649,3:3471,4:1731,5:761,6:518,7:243,8:166,9:101,10:54,11:29,12:21,13:20,14:13,15:8,16:12,17:8,18:11,19:5,20:12,21:2,22:5,23:7,24:2,25:2,26:3,27:2,29:1,30:1,32:1,36:1,38:1,42:1,43:1,48:1,51:1,59:1,63:1,67:1,69:1,111:1,121:1
qme	0:75578,1:5,2:2,3:1,4:1,9:1
