Day	Hour	Count	Coverage%
2022-09-25	00	147856	100.0
2022-09-25	01	149618	100.0
2022-09-25	02	151660	100.0
2022-09-25	03	156231	100.0
2022-09-25	04	150323	100.0
2022-09-25	05	150307	100.0
2022-09-25	06	154038	100.0
2022-09-25	07	161727	100.0
2022-09-25	08	169118	100.0
2022-09-25	09	183857	100.0
2022-09-25	10	198438	100.0
2022-09-25	11	220379	100.0
2022-09-25	12	233305	100.0
2022-09-25	13	245971	100.0
2022-09-25	14	247277	100.0
2022-09-25	15	244547	100.0
2022-09-25	16	212286	100.0
2022-09-25	17	194720	100.0
2022-09-25	18	184245	100.0
2022-09-25	19	176323	100.0
2022-09-25	20	168051	100.0
2022-09-25	21	164189	100.0
2022-09-25	22	165493	100.0
2022-09-25	23	158683	100.0
