Emoji	Count
🔹	269282
♦️	179433
😭	136736
😂	122303
✨	89143
🤣	81860
🔥	71081
❤️	56115
✅	40989
🎁	33940
😍	32912
🥺	30319
🙏	29543
▶️	26902
🥰	26343
◀️	23831
💦	23714
‼️	23187
🥹	23149
🎉	23136
💕	21723
👇	21304
💙	20686
🌟	18604
😊	18242
🤍	17995
🖤	16384
👍	16156
👏	16046
💛	15589
💜	14848
🚨	14731
❤	14712
😅	14357
🇧🇷	14318
💚	14237
👀	14174
♥️	13295
☺️	13288
😈	12782
🤔	11798
👉	11748
😘	11537
💖	11521
❗	11518
😆	11319
💗	11261
🥲	11011
😁	10462
📌	10315
🥳	9777
🌹	9615
💥	9389
🤭	9338
🤤	9222
😳	9202
📍	9184
🥵	9042
🔴	8966
💰	8835
🏆	8781
⚡	8754
🚀	8683
⭐	8682
🤩	8681
🫶🏻	8421
😋	7834
😎	7809
💀	7766
🟩	7719
🌸	7621
😉	7563
🎶	7288
💯	7181
💪	7143
💔	7079
🤡	6933
💎	6858
🤗	6823
💓	6729
🙌	6709
😌	6688
🍀	6660
😔	6603
🎥	6508
❣️	6501
📢	6485
🫶	6459
😩	6359
💫	6218
🎊	6109
☀️	6101
❤️‍🔥	6097
🧡	6062
🔔	6025
🫠	6015
😇	5972
💞	5944
🙄	5830
😢	5785
🍑	5759
👑	5688
📸	5635
💋	5628
⬇️	5620
🍆	5589
1⃣	5467
😏	5445
🔗	5424
1️⃣	5412
⏰	5365
⚠️	5307
🌈	5242
😱	5178
🙏🏻	5118
‼	4985
➡️	4926
🎯	4828
😡	4767
👌	4724
🐰	4693
2️⃣	4321
💆🏻‍♂️	4245
☕	4175
😄	4120
🎀	4094
😜	4047
🤝	4028
😃	3979
💐	3974
✌️	3961
🔵	3926
😀	3914
🐱	3842
📣	3828
🙈	3785
⬜	3773
♻️	3762
🐶	3756
2⃣	3722
💸	3674
❌	3613
♥	3613
🌻	3588
🙂	3571
👏🏻	3560
🌺	3558
🦋	3542
⚜️	3488
🫣	3485
🎂	3482
📺	3477
🌙	3477
👅	3398
⚽	3388
🤪	3378
🟨	3311
🎵	3288
🔽	3259
⬛	3250
❓	3203
💘	3190
▪️	3176
🌷	3168
👇🏻	3114
⁉️	3077
🌿	3057
🍁	3026
🔁	2998
🇺🇸	2989
▶	2928
✔️	2909
🚩	2898
🤯	2865
🤮	2819
🕊	2812
⚫	2811
📱	2799
🫡	2777
⚪	2754
💌	2726
🙃	2719
🔞	2689
💢	2668
❕	2651
🎈	2628
🌼	2627
👋	2582
🐷	2561
🐥	2554
🔻	2553
🙇‍♀️	2542
💭	2488
💨	2478
🥴	2458
🌱	2429
😹	2428
🎬	2360
👍🏻	2350
😝	2348
😤	2344
👊	2276
🇵🇰	2267
🤲	2257
👈	2222
3⃣	2201
🟥	2194
😮‍💨	2170
🙇‍♂️	2160
🌞	2158
☑️	2156
🤬	2153
😵‍💫	2149
🔺	2142
🧸	2134
🔸	2125
🐯	2121
🤫	2115
😬	2115
🌊	2114
🍂	2081
😫	2077
🍇	2073
📲	2061
😻	2041
😚	2041
🌕	2040
😒	2038
🐻	2021
😞	2019
🥇	2014
🫶🏼	1975
🍒	1974
🟢	1972
✈️	1969
😴	1952
🗣	1944
💬	1919
🦄	1917
🍃	1914
🥂	1899
👉🏻	1887
🟦	1863
🐾	1855
🇹🇷	1850
🍎	1840
⭕	1838
🦊	1837
🤨	1832
🧐	1829
㊗️	1782
🔎	1781
3️⃣	1776
🎃	1766
💵	1762
☺	1760
👻	1749
❣	1744
🤧	1733
⚔️	1726
💧	1724
0⃣	1710
☁️	1688
🎤	1682
😛	1661
✍️	1661
🇻🇪	1660
☹️	1644
💃	1643
🤑	1636
🫧	1633
🇸🇦	1631
💝	1612
🍌	1608
☀	1600
🟧	1598
🧵	1596
🤎	1588
✊	1585
💩	1566
❤️‍🩹	1560
🙌🏻	1558
🍓	1554
📝	1539
📷	1519
🙏🏼	1507
🔳	1505
✔	1501
📈	1499
🍔	1495
🌪	1495
⏳	1494
✌	1492
🫂	1489
🎧	1481
🗣️	1479
⤵️	1472
🔄	1468
✋	1459
😵	1445
🕯	1444
💡	1434
🔍	1400
🧿	1396
🐈	1390
🐹	1377
💿	1367
🌚	1356
📽	1352
🙇	1346
🥶	1345
🅿️	1345
👏🏼	1341
😣	1337
🦅	1329
👁	1329
🍊	1323
🐣	1317
😥	1313
😐	1313
🥱	1309
😓	1303
🍻	1294
🌴	1293
🤦‍♀️	1289
☑	1286
😑	1263
💉	1261
🦁	1260
☠️	1258
💤	1257
🎟️	1254
▫️	1243
😪	1237
🪄	1235
🤢	1231
📚	1221
📽️	1218
😲	1216
🥀	1213
🗓	1210
🤓	1209
🙏🏽	1207
🎮	1204
🤏🏻	1190
👤	1190
💪🏻	1189
🉐	1182
🫢	1180
☔	1178
👆	1175
📹	1172
🇬🇧	1155
🐍	1148
🇮🇳	1143
🌾	1142
🐺	1140
🇯🇵	1137
😠	1131
☝️	1128
🇺🇦	1122
➕	1122
🟡	1119
🌝	1116
📩	1113
🤦‍♂️	1104
🤟	1097
🌳	1094
🌍	1094
🛒	1085
🐸	1083
0️⃣	1079
😖	1071
🇪🇹	1064
🔊	1063
📻	1043
🇫🇷	1041
🔮	1039
🤞	1038
🎙	1028
🍜	1028
😽	1021
🤲🏻	1015
👇🏼	1012
🫖	1008
🍺	1006
🆘	1002
☘️	1002
🙊	994
🐟	991
🎨	985
🍼	983
🙏🏾	977
✌🏻	966
❄️	965
🐧	961
🐐	960
🍞	953
👌🏻	946
💟	944
🌎	942
🍿	935
➖	931
🔰	930
🐨	930
🩸	921
〰️	921
🍋	919
😰	906
😮	905
💣	899
🍠	897
🍰	892
🐝	890
💼	888
🦇	886
🖕	886
💍	885
👹	877
🌀	873
🔝	869
📅	861
😨	858
🌐	857
🦀	848
😷	844
✖️	844
🙋‍♀️	843
🍯	840
🆚	837
🤌	836
🤦	835
🇪🇷	835
🍫	832
😕	820
😿	819
🍨	819
🏷️	818
👥	812
🤘	811
🇷🇺	803
🤙	801
🐼	801
🫶🏽	798
🍴	793
🙆‍♀️	790
😼	789
🕺	789
🎸	789
👎	785
🤦🏻‍♀️	783
