Language	Count
en	0:914399,1:164594,2:82867,3:39367,4:19326,5:10180,6:17256,7:4394,8:2760,9:1310,10:1467,11:657,12:630,13:448,14:232,15:257,16:170,17:166,18:109,19:101,20:179,21:93,22:56,23:38,24:29,25:123,26:39,27:22,28:19,29:16,30:56,31:19,32:72,33:7,34:7,35:17,36:10,37:9,38:5,39:7,40:5,41:5,42:1,43:4,44:6,45:4,46:3,47:29,48:4,50:2,52:1,53:5,54:6,55:1,56:4,58:3,59:1,60:22,61:1,62:4,63:1,64:1,65:1,68:1,69:2,71:1,72:2,73:1,76:1,77:3,79:2,80:3,81:1,84:1,86:2,92:3,94:1,96:1,99:2,100:1,105:1,108:1,109:1,110:1,118:1,125:2
ja	0:466663,1:83855,2:47396,3:32073,4:21863,5:13432,6:8370,7:6042,8:3576,9:3275,10:1903,11:1326,12:699,13:771,14:398,15:238,16:248,17:226,18:287,19:136,20:140,21:73,22:90,23:46,24:49,25:53,26:48,27:18,28:16,29:17,30:23,31:9,32:58,33:3,34:25,35:15,36:7,37:3,38:3,39:5,40:24,41:2,42:7,43:3,44:3,45:23,47:3,48:3,49:6,50:7,51:2,52:10,53:3,54:1,55:5,56:2,57:5,58:1,59:1,60:1,61:1,62:1,66:1,67:7,81:1,82:1,83:1,85:1,89:1,90:1,92:1,105:1,116:1,127:1,136:1
es	0:221114,1:32225,2:14657,3:8555,4:4163,5:2049,6:1284,7:784,8:569,9:344,10:302,11:155,12:120,13:80,14:81,15:39,16:65,17:24,18:27,19:17,20:26,21:55,22:12,23:12,24:24,25:10,26:11,27:6,28:5,29:1,30:4,31:4,32:3,33:3,34:3,35:2,36:6,39:3,40:2,41:2,42:3,45:1,46:1,48:2,49:3,50:1,51:1,52:1,54:1,57:1,66:1,67:1,69:5,77:1,89:1,91:1,96:1,101:1,111:1,126:1,128:2
tr	0:208259,1:12865,2:5387,3:2260,4:1324,5:549,6:358,7:185,8:151,9:90,10:79,11:57,12:30,13:19,14:18,15:15,16:15,17:8,18:12,19:4,20:7,21:5,22:4,23:2,24:8,25:9,26:4,27:5,28:5,29:1,30:2,31:2,35:1,41:1,42:3,43:1,51:1,52:1,58:1,98:1,101:1
ar	0:103907,1:22604,2:25586,3:6579,4:43459,5:4458,6:5860,7:647,8:814,9:1744,10:449,11:179,12:3777,13:177,14:87,15:61,16:66,17:32,18:46,19:23,20:33,21:28,22:39,23:26,24:28,25:15,26:26,27:10,28:13,29:11,30:6,31:6,32:6,33:2,34:5,35:5,36:16,37:9,38:6,39:9,40:5,41:7,42:10,43:2,45:4,46:4,47:2,48:5,49:6,50:2,52:4,53:1,54:3,55:4,56:20,57:2,58:1,59:5,60:4,61:6,63:1,64:8,65:2,66:1,67:2,69:1,70:3,71:3,72:4,78:2,80:3,81:4,83:1,84:3,91:3,100:1,101:1,103:1,104:1,106:1,110:1,111:1,112:1,116:1,120:2,122:2,129:1,130:1,134:2,136:2
pt	0:156816,1:18426,2:7725,3:4016,4:2289,5:1206,6:833,7:403,8:347,9:229,10:162,11:133,12:95,13:228,14:54,15:35,16:66,17:24,18:29,19:11,20:25,21:19,22:12,23:16,24:13,25:10,26:10,27:11,28:5,29:4,30:4,31:1,32:4,33:7,34:2,35:1,36:6,37:2,39:5,40:5,41:1,42:4,43:1,45:2,46:1,48:3,58:1,72:1,74:1,78:2,81:1,83:1,101:1,109:1,114:2,119:1,131:1
th	0:126525,1:21654,2:13076,3:6952,4:3565,5:1599,6:1107,7:693,8:528,9:198,10:216,11:145,12:103,13:80,14:61,15:51,16:17,17:5,18:75,19:4,20:9,21:4,22:6,23:8,25:2,26:4,27:3,29:1,32:6,33:16,36:2,38:1,40:3,47:1,64:3,65:1,112:1
und	0:50693,1:29243,2:21646,3:13335,4:8533,5:4255,6:4058,7:1034,8:8598,9:1304,10:712,11:353,12:1718,13:206,14:109,15:66,16:60,17:45,18:61,19:32,20:52,21:43,22:34,23:29,24:58,25:29,26:30,27:18,28:25,29:12,30:18,31:12,32:12,33:14,34:12,35:7,36:27,37:3,38:2,39:18,40:7,41:3,42:15,43:9,44:3,45:9,46:4,47:5,48:9,49:7,50:3,51:5,52:5,53:5,54:9,55:7,56:3,57:3,58:3,59:1,60:4,61:1,62:3,63:15,64:4,65:7,66:1,67:2,68:2,69:2,70:10,71:2,72:8,73:3,74:3,76:2,77:2,78:5,79:3,80:5,83:1,84:6,85:2,86:1,88:3,90:1,91:3,93:1,94:1,96:2,97:2,98:3,102:2,103:1,105:1,106:1,107:2,108:5,109:1,110:2,111:1,112:3,113:1,114:4,116:3,117:2,118:1,119:3,120:2,122:3,125:2,129:1,130:6,131:2,132:3,133:1,135:3,136:5,137:6,138:2,139:9,140:26
ko	0:95987,1:12024,2:8871,3:4684,4:2301,5:1039,6:708,7:314,8:333,9:99,10:118,11:61,12:34,13:13,14:11,15:16,16:14,17:7,18:2,19:12,20:2,21:4,22:1,23:1,24:5,25:3,26:3,27:14,28:1,31:3,34:2,39:1,40:2,45:1,49:1,53:1,56:1,57:1,67:1,68:1,69:1,72:1,86:1,106:1
zxx	0:101040,1:14,2:8,4:43,5:2,7:2,12:1,14:1
in	0:68382,1:15706,2:6700,3:3363,4:1632,5:791,6:537,7:250,8:171,9:100,10:79,11:45,12:36,13:13,14:18,15:8,16:10,17:11,18:6,19:2,20:8,21:5,22:1,24:2,25:3,27:1,28:2,30:2,33:1,45:1,101:1,117:1,133:1
qme	0:66048,1:7,2:2,3:1,4:3,5:4,6:1,9:1
fr	0:45776,1:7330,2:3197,3:1856,4:853,5:456,6:593,7:126,8:59,9:51,10:29,11:22,12:7,13:10,14:5,15:6,16:4,17:5,18:2,19:2,20:5,21:1,23:2,25:3,26:2,27:1,28:1,29:2,30:1,33:1,34:1,35:2,38:1,43:1,81:1
hi	0:32609,1:4146,2:2316,3:1056,4:657,5:317,6:205,7:100,8:83,9:44,10:38,11:25,12:37,13:18,14:23,15:13,16:9,17:8,18:6,19:5,20:4,21:4,22:7,23:2,24:1,25:1,26:5,28:2,31:1,36:1,38:1,39:1,47:1,49:1,55:1,61:1,64:1,65:1,78:1
ur	0:27895,1:2585,2:1324,3:526,4:1207,5:148,6:100,7:46,8:31,9:21,10:19,11:6,12:3322,13:72,14:7,15:1,16:3,17:2,18:2,19:2,20:2,21:1,22:1,23:1,24:1,25:2,27:1,48:1,97:1
tl	0:20731,1:5177,2:2247,3:1368,4:570,5:275,6:278,7:82,8:44,9:31,10:20,11:11,12:15,13:2,14:9,15:3,16:5,17:3,19:2,20:1,21:1,22:1,25:1,27:2,30:2,31:1,32:1,33:1,35:1,60:1,73:1
zh	0:19281,1:3808,2:1582,3:1052,4:490,5:234,6:254,7:87,8:58,9:57,10:40,11:13,12:8,13:14,14:2,15:1,16:3,18:7,19:3,20:3,21:2,23:1,24:1,26:1,27:4,28:3,29:4,30:8,31:6,32:4,33:5,34:5,35:4,36:3,37:6,38:4,39:2,40:3,42:1,46:1
de	0:18338,1:2594,2:895,3:481,4:208,5:118,6:257,7:35,8:28,9:33,10:7,11:6,12:3,13:4,14:5,15:9,16:10,17:1,18:2,21:1,24:1,31:1
it	0:17699,1:2155,2:910,3:570,4:268,5:136,6:104,7:61,8:44,9:26,10:11,11:16,12:13,13:10,14:3,15:8,16:3,17:2,18:3,19:5,20:3,21:3,22:1,25:3,26:1,27:1,30:2,33:2,38:1,40:1,43:2,45:1,48:1
qam	0:17059
fa	0:11556,1:2584,2:1326,3:562,4:245,5:112,6:84,7:44,8:28,9:19,10:13,11:12,12:4,13:5,14:2,15:1,16:1,17:1,19:2,20:1,21:2,23:1,24:1,26:1,27:1,29:1,31:1,41:1
pl	0:9786,1:1351,2:509,3:322,4:130,5:61,6:56,7:18,8:22,9:9,10:15,11:6,12:4,13:1,14:6,15:2,18:1,19:1,21:1,23:5,25:1,27:1,29:1,31:1,32:1,33:1
ru	0:10064,1:1193,2:382,3:309,4:92,5:55,6:27,7:17,8:12,9:9,10:1,11:4,12:2,13:2,15:4,16:1,17:1,18:1,20:1,21:1,24:2
nl	0:8423,1:1248,2:442,3:237,4:100,5:69,6:58,7:21,8:12,9:6,10:3,11:6,12:1,16:2,18:1,21:1,23:1,57:1
ca	0:4436,1:663,2:1499,3:134,4:115,5:42,6:3147,7:12,8:64,9:4,10:4,11:4,12:3,13:8,14:1,18:2,26:1,31:1,36:1,40:1
art	0:42,1:3353,2:1691,3:1971,4:977,5:592,6:395,7:219,8:191,9:99,10:75,11:72,12:46,13:50,14:29,15:17,16:8,17:10,18:8,19:6,20:7,21:6,22:5,23:1,24:23,25:3,26:15,27:3,28:6,29:3,30:2,31:4,32:2,34:1,35:2,36:3,37:1,38:1,39:7,42:3,43:1,44:2,45:1,48:6,50:1,52:8,53:1,55:1,56:1,59:2,60:1,63:5,64:1,67:1,71:1,72:1,75:1,80:1,85:1,93:1,104:1,105:1,110:1,112:1,121:1,125:1,129:1,130:1,138:1,140:7
bn	0:1907,1:5927,2:991,3:140,4:29,5:17,6:5,8:1,9:2,13:1
et	0:4472,1:1006,2:616,3:310,4:177,5:89,6:395,7:35,8:10,9:6,10:7,11:2,12:16,13:3,14:11,15:2,16:3,17:1,18:1,20:2,24:3,28:2,29:1,32:5,35:1,67:1,77:1
qht	0:6778,1:1,2:2
qst	0:5282,1:517,2:34,3:5
ht	0:4011,1:705,2:349,3:216,4:114,5:60,6:53,7:17,8:10,9:6,10:3,11:1,12:4,13:2,14:4,16:1,18:2,28:1,42:1,61:1,88:1
sv	0:3741,1:538,2:164,3:82,4:28,5:14,6:8,7:7,8:6,9:1,11:5,12:1,15:1
ta	0:3430,1:415,2:294,3:218,4:90,5:46,6:39,7:11,8:12,9:9,10:2,11:3,13:1,14:1,18:1,21:1
uk	0:3388,1:541,2:180,3:96,4:48,5:12,6:6,7:7,8:1,9:1,11:2,14:1,20:1,22:1
vi	0:2931,1:516,2:292,3:121,4:89,5:28,6:79,7:10,8:8,9:3,10:2,11:2,12:1,14:6,15:3,16:1,17:1,18:3,20:2,21:1,22:3,23:2,24:5,25:1,26:5,27:1,28:2,34:1,35:1,46:1
el	0:3422,1:278,2:133,3:91,4:39,5:34,6:23,7:9,8:7,9:2,10:4,11:3,12:1,18:1,19:1
iw	0:2592,1:174,2:62,3:36,4:10,5:6,6:7,7:2,8:4,12:1,14:1
cs	0:2005,1:389,2:117,3:83,4:42,5:20,6:198,7:7,8:6,9:7,10:1,11:4,12:6,14:1,19:1,20:1,23:1,24:1,36:1,124:1
fi	0:2248,1:329,2:131,3:70,4:28,5:19,6:14,7:6,8:1,9:7,10:1,15:1,19:1,25:2,26:1,49:1,50:1
da	0:1672,1:244,2:89,3:80,4:24,5:5,6:38,8:3,9:5,10:1,12:2,13:2,14:1,17:1
gu	0:1636,1:277,2:100,3:17,4:4,5:2,6:4,7:1,9:2,10:1,12:1
eu	0:1428,1:239,2:154,3:76,4:26,5:16,6:15,7:3,8:2,9:12,10:1,12:3,19:4,20:2,23:1,29:1
ro	0:1465,1:203,2:86,3:42,4:23,5:11,6:17,7:6,8:5,9:2,10:1,11:1,12:1,13:2,14:1,16:1,18:1,23:1,28:1
no	0:1367,1:200,2:97,3:50,4:9,5:11,6:8,7:18,8:6,20:1
pa	0:1605,1:109,2:26,3:12,4:8,7:2,8:1
cy	0:1294,1:232,2:114,3:64,4:20,5:14,6:12,8:1,9:1,12:1,13:1,15:1,33:1,74:1
te	0:1175,1:94,2:109,3:66,4:31,5:7,6:8,7:3,8:4,9:2,16:1
hu	0:1011,1:183,2:105,3:71,4:18,5:10,6:17,7:10,8:2,9:1,10:2,12:1,16:4
mr	0:1033,1:126,2:65,3:79,4:22,5:9,6:7,7:5,8:3,9:3,10:2,11:1,12:1,18:1,22:1,26:1
lt	0:817,1:165,2:65,3:40,4:15,5:5,6:39,7:4,8:2,9:1,10:1,13:1,14:1,16:1,24:1,32:1
lv	0:807,1:141,2:59,3:29,4:11,5:2,6:4,7:1,11:1,15:1
am	0:847,1:97,2:36,3:35,4:10,5:14,6:2,7:5,8:4,9:2,11:2,13:1
ne	0:637,1:104,2:90,3:59,4:25,5:13,7:3,8:6,9:1,10:1,23:2,135:1
sl	0:708,1:123,2:47,3:26,4:14,5:6,6:3,7:3,9:1,10:2,11:2,25:1
is	0:481,1:124,2:21,3:24,4:10,5:1,6:2,7:1,9:2,10:1,13:1
my	0:405,1:91,2:50,3:50,4:9,5:7,6:3,7:2,8:4
ps	0:493,1:65,2:34,3:21,4:5,5:1,6:1,7:1
kn	0:480,1:34,2:48,3:18,4:8,5:13,6:8,7:2,9:1,11:2,12:1
sr	0:493,1:43,2:16,3:20,4:4,5:1,6:2,7:1,8:1,9:3
ml	0:264,1:74,2:48,3:9,4:38,5:4,6:6,7:2,8:1,13:1,14:1
bg	0:283,1:26,2:23,3:7,4:3,6:2,8:1
or	0:289,1:19,2:9,3:16,4:2,7:1,10:2,13:1
ckb	0:104,1:22,2:13,3:2,6:1
dv	0:124,1:8,2:2,3:1
km	0:79,1:10,2:13,3:16,4:10,5:1,6:2
lo	0:80,1:6,2:7,3:3,4:1,6:1
si	0:48,1:16,2:9,3:5,4:1,9:1
ka	0:63,1:8,2:3,3:1
sd	0:51,1:9,2:6,3:2,4:1
hy	0:26,1:6,2:4,3:1
qct	0:2
