Day	Hour	Count	Coverage%
2022-09-07	00	143504	99.861
2022-09-07	01	149382	100.0
2022-09-07	02	155957	100.0
2022-09-07	03	160892	100.0
2022-09-07	04	140924	100.0
2022-09-07	05	132549	100.0
2022-09-07	06	131085	100.0
2022-09-07	07	137984	100.0
2022-09-07	08	141343	100.0
2022-09-07	09	162896	100.0
2022-09-07	10	173743	100.0
2022-09-07	11	191086	100.0
2022-09-07	12	206510	100.0
2022-09-07	13	216260	100.0
2022-09-07	14	216535	100.0
2022-09-07	15	216547	100.0
2022-09-07	16	196319	100.0
2022-09-07	17	185614	100.0
2022-09-07	18	175451	100.0
2022-09-07	19	169899	100.0
2022-09-07	20	157009	100.0
2022-09-07	21	155911	100.0
2022-09-07	22	156391	100.0
2022-09-07	23	153721	100.0
