Language	Count
en	0:927127,1:196052,2:88765,3:44738,4:23599,5:11935,6:7698,7:4718,8:2931,9:1893,10:1432,11:761,12:740,13:383,14:518,15:251,16:154,17:123,18:163,19:79,20:162,21:145,22:39,23:40,24:41,25:104,26:44,27:24,28:32,29:24,30:51,31:16,32:22,33:7,34:6,35:6,36:15,37:9,38:2,39:10,40:7,41:10,42:6,43:14,44:3,45:3,47:1,48:3,50:3,51:1,52:2,53:2,54:1,55:5,56:3,57:4,60:2,62:3,63:4,64:1,65:1,66:1,68:1,69:1,70:1,73:1,74:1,75:1,77:1,80:1,81:1,82:1,84:6,87:1,90:1,96:2,100:1,103:1,106:1,114:1,116:1,119:1,129:1,135:1,136:1
ja	0:495560,1:88657,2:51444,3:33930,4:21268,5:13554,6:9932,7:5973,8:5307,9:3319,10:2496,11:1324,12:897,13:558,14:435,15:272,16:192,17:210,18:563,19:112,20:94,21:72,22:101,23:82,24:46,25:43,26:33,27:44,28:30,29:20,30:24,31:63,32:12,33:14,34:7,35:24,36:7,37:21,38:4,39:4,40:7,41:2,42:3,43:2,44:2,45:10,46:10,47:1,48:2,49:6,50:4,52:2,54:2,55:4,56:4,57:2,58:3,60:4,61:2,62:1,63:2,64:1,65:1,67:2,70:1,72:1,73:1,75:1,76:1,77:1,78:2,79:1,80:2,85:1,86:1,87:1,97:1,99:2,110:1,114:1,125:1
es	0:198457,1:30786,2:14131,3:8340,4:3675,5:2166,6:1289,7:811,8:518,9:325,10:229,11:193,12:138,13:103,14:58,15:51,16:32,17:31,18:33,19:13,20:54,21:17,22:11,23:59,24:16,25:11,26:9,27:11,28:10,29:6,30:19,31:1,32:3,33:3,34:2,35:1,36:5,37:2,38:2,39:1,41:1,42:3,43:1,44:1,45:2,46:1,47:1,50:14,51:1,57:1,63:1,65:2,66:1,76:1,77:1,78:2,87:1,91:2,98:1,108:1,113:1
th	0:170983,1:28344,2:18223,3:9100,4:5018,5:2734,6:1768,7:1102,8:691,9:475,10:229,11:205,12:161,13:82,14:73,15:72,16:43,17:36,18:54,19:20,20:20,21:19,22:3,23:19,24:20,25:1,26:9,27:16,28:7,29:1,30:11,31:5,32:1,33:2,35:24,36:8,37:2,39:1,41:1,43:5,48:1,54:1,55:2,59:1,79:1
tr	0:204207,1:10471,2:7863,3:2147,4:1238,5:489,6:418,7:152,8:115,9:77,10:46,11:37,12:37,13:54,14:22,15:30,16:14,17:8,18:3,19:7,20:11,21:3,22:10,23:1,24:3,25:3,26:4,27:1,28:1,29:1,30:2,31:1,38:1,39:1,42:1,45:1,46:1,88:1
ar	0:116024,1:22385,2:12124,3:5905,4:7766,5:2507,6:10572,7:1454,8:4486,9:1511,10:786,11:151,12:657,13:127,14:199,15:7868,16:1380,17:72,18:1434,19:501,20:870,21:447,22:3297,23:3269,24:7582,25:255,26:28,27:16,28:5,29:6,30:4,31:7,32:10,33:4,34:9,35:3,36:9,37:4,38:4,39:8,40:4,41:10,42:10,43:3,44:6,45:4,46:4,47:1,48:3,49:3,50:5,51:5,52:5,54:3,56:3,57:3,58:1,59:4,60:2,62:2,63:1,64:3,65:4,68:1,69:1,70:2,71:1,72:3,77:1,78:2,83:1,88:2,91:1,93:2,95:2,96:1,97:1,99:1,102:3,113:1,122:1,124:1,126:2,130:1,136:2
pt	0:155779,1:18598,2:7381,3:3741,4:1991,5:908,6:585,7:325,8:201,9:119,10:113,11:67,12:56,13:42,14:55,15:43,16:20,17:9,18:15,19:8,20:9,21:13,22:7,23:2,24:4,25:8,26:4,28:6,29:2,30:4,31:2,33:1,35:4,36:11,37:1,38:5,41:1,42:2,44:1,47:1,48:1,49:1,50:1,51:1,52:27,54:2,56:1,58:1,63:1,72:2,75:1,85:1,95:1,102:1,107:1,118:1,131:1
und	0:59083,1:31745,2:19863,3:14600,4:8517,5:5353,6:5353,7:1095,8:4372,9:525,10:861,11:359,12:724,13:127,14:116,15:1271,16:941,17:56,18:3907,19:519,20:849,21:493,22:8337,23:2830,24:4041,25:16,26:24,27:17,28:17,29:5,30:13,31:12,32:11,33:3,34:6,35:5,36:35,37:7,38:6,39:16,40:3,41:6,42:5,43:1,44:3,45:7,46:2,47:3,48:3,49:2,50:1,51:4,52:4,53:4,55:4,56:4,57:3,58:1,59:4,60:6,62:1,63:8,64:3,65:7,66:2,67:1,68:3,69:1,70:4,71:1,72:4,73:1,75:1,76:1,77:2,78:4,79:11,80:1,81:2,82:2,83:3,84:6,88:4,89:1,90:3,91:2,93:1,96:3,98:1,99:2,101:1,102:1,103:1,104:6,105:1,106:2,107:1,110:1,112:2,113:2,114:1,116:2,117:2,118:18,119:1,120:1,121:1,123:1,124:3,125:1,126:4,127:1,129:1,130:6,131:1,132:1,133:1,134:1,135:1,136:2,137:1,138:3,139:5,140:25
ko	0:118889,1:18873,2:11177,3:5200,4:3736,5:2094,6:1182,7:463,8:471,9:3053,10:95,11:53,12:120,13:398,14:23,15:32,16:15,17:15,18:10,19:6,20:6,21:7,22:20,24:8,25:1,26:6,27:1,28:1,29:5,31:2,34:1,35:2,37:3,39:3,41:1,42:1,51:1,56:1,67:2,86:1,122:1,133:1
fa	0:107428,1:7100,2:3007,3:837,4:432,5:141,6:91,7:140,8:34,9:40,10:95,11:8,12:11,13:11,14:8,15:5,16:3,17:4,18:4,19:1,21:1,22:5,23:28,24:17,25:1,26:2,27:1,28:1,29:1,40:2
in	0:76923,1:17891,2:7582,3:4600,4:2020,5:915,6:607,7:332,8:212,9:135,10:88,11:61,12:39,13:24,14:19,15:18,16:13,17:9,18:10,19:1,20:3,21:4,22:2,23:5,24:7,25:1,26:4,27:2,28:1,30:1,31:1,32:2,33:1,34:2,35:1,39:1,41:2,43:3,44:2,48:1,66:3,71:1,82:1,99:10,107:6,109:2,118:3,120:1
zxx	0:105462,1:36,2:15,3:5,4:4,5:3,6:1,8:1,13:1
qme	0:72232,1:6,2:33,3:15,4:4
fr	0:46683,1:7431,2:2929,3:2026,4:763,5:330,6:224,7:121,8:69,9:45,10:25,11:8,12:19,13:15,14:18,15:1,16:3,17:8,18:3,19:4,20:2,21:4,22:1,24:4,25:3,28:1,29:1,30:3,32:1,36:3,37:1,42:1
hi	0:37884,1:4938,2:2539,3:1215,4:654,5:275,6:242,7:98,8:88,9:49,10:49,11:20,12:32,13:18,14:14,15:6,16:18,17:5,18:12,19:6,20:11,21:5,22:2,23:3,24:3,25:2,26:1,27:1,28:8,32:4,34:3,36:1,38:1,45:1,48:1,57:1
tl	0:27884,1:6551,2:3352,3:2074,4:822,5:372,6:246,7:89,8:109,9:57,10:35,11:29,12:9,13:5,14:18,15:11,16:10,17:4,18:3,19:3,20:5,21:6,22:2,23:2,24:2,25:2,26:4,27:5,30:1,31:1,32:1,36:1,81:1
zh	0:21413,1:4140,2:1976,3:1167,4:582,5:304,6:189,7:111,8:91,9:54,10:32,11:21,12:11,13:5,14:3,15:2,16:2,17:1,18:4,19:3,20:2,21:1,27:1,29:1,32:1,34:1,37:1,90:1
ur	0:20600,1:1944,2:1120,3:413,4:248,5:118,6:1195,7:81,8:25,9:13,10:14,11:5,12:6,13:5,14:3,15:2,16:1,17:3,18:4,20:3,37:1,44:1,45:1,46:1
de	0:17019,1:2485,2:868,3:540,4:215,5:104,6:94,7:70,8:31,9:17,10:9,11:13,12:5,13:1,14:3,16:4,18:1,20:1,22:1,23:1,30:1,32:1,34:15,40:1,57:12
it	0:16876,1:2154,2:874,3:569,4:264,5:126,6:115,7:47,8:51,9:40,10:22,11:15,12:4,13:13,14:6,15:8,16:4,17:2,18:4,19:1,20:1,22:3,23:2,24:2,25:1,26:1,31:2,32:1,33:1,36:1,125:1
qam	0:16868
