Language	Count
en	0:908794,1:162561,2:82790,3:39945,4:20536,5:9697,6:13174,7:3779,8:3455,9:1424,10:1171,11:487,12:460,13:299,14:300,15:258,16:167,17:152,18:84,19:82,20:203,21:154,22:53,23:32,24:74,25:75,26:37,27:15,28:41,29:25,30:52,31:21,32:18,33:12,34:11,35:12,36:9,37:8,38:5,39:5,40:6,41:2,42:4,43:2,44:4,45:5,46:1,47:6,48:5,49:2,50:4,51:4,52:1,53:3,54:2,55:9,56:2,57:1,58:2,59:2,60:4,62:1,63:1,65:1,66:2,68:1,69:1,70:1,72:5,73:1,77:1,78:1,80:7,81:2,82:1,83:1,84:2,85:1,88:1,89:1,90:1,92:1,95:1,96:1,98:2,100:5,103:1,107:1,112:1,114:1,128:1,131:1,135:1,137:1
ja	0:449317,1:79738,2:48433,3:33077,4:22607,5:13820,6:10812,7:5662,8:3622,9:3108,10:1693,11:2496,12:799,13:404,14:463,15:327,16:194,17:176,18:172,19:92,20:451,21:59,22:55,23:42,24:45,25:30,26:28,27:34,28:23,29:20,30:23,31:3,32:11,33:10,34:13,35:7,36:20,37:12,38:9,39:4,40:35,41:5,42:3,43:2,44:1,45:10,46:1,47:1,48:2,49:3,50:90,51:3,52:2,53:2,54:1,55:4,56:4,57:2,59:1,60:3,61:1,62:2,63:2,66:1,67:5,69:2,70:1,71:1,74:1,79:13,80:1,83:1,84:2,92:1,113:1,116:1,136:1
es	0:219152,1:34150,2:15055,3:8539,4:4461,5:2227,6:1409,7:820,8:558,9:379,10:262,11:198,12:172,13:96,14:65,15:57,16:59,17:29,18:30,19:16,20:19,21:74,22:21,23:5,24:13,25:23,26:9,27:15,28:7,29:3,30:3,31:5,32:8,33:14,34:1,36:3,37:2,38:4,39:1,40:1,41:1,42:2,43:1,47:4,50:1,51:1,54:1,71:1,72:1,78:1,84:1,115:1,131:1
und	0:50858,1:29261,2:53071,3:13336,4:6147,5:3865,6:37955,7:992,8:8186,9:1222,10:390,11:313,12:25421,13:140,14:90,15:59,16:310,17:42,18:39,19:29,20:53,21:34,22:23,23:19,24:70,25:13,26:30,27:17,28:9818,29:10,30:24,31:6,32:6,33:10,34:7,35:9,36:20,37:6,38:8,39:17,40:12,41:6,42:16,43:4,44:6,45:7,46:3,47:6,48:6,49:7,50:6,51:7,52:4,53:2,54:5,56:7,57:2,58:2,59:4,60:7,62:3,63:10,64:10,65:13,66:3,67:2,68:3,69:1,71:4,72:4,74:4,75:2,76:6,77:6,78:4,79:7,80:2,81:5,83:1,84:7,85:3,88:7,89:1,90:1,91:8,93:1,96:3,97:1,98:3,99:1,100:1,101:1,102:1,103:3,104:2,105:2,106:1,107:3,108:1,110:4,111:2,113:2,114:2,115:2,116:1,117:3,120:3,121:4,122:1,124:1,125:3,126:2,128:2,129:1,130:3,132:1,133:1,134:1,135:3,136:3,137:5,138:3,139:9,140:23
tr	0:193044,1:10105,2:4894,3:2200,4:1253,5:522,6:413,7:179,8:131,9:75,10:66,11:32,12:38,13:40,14:15,15:15,16:20,17:22,18:3,19:3,20:4,21:1,22:3,23:5,24:4,25:7,26:1,28:1,29:2,30:2,31:1,32:1,33:1,36:1,39:1,45:1,48:2,51:1,62:1,94:1
ar	0:101716,1:22484,2:13338,3:5705,4:3307,5:3232,6:5668,7:867,8:7950,9:1534,10:322,11:161,12:19991,13:882,14:87,15:81,16:1956,17:80,18:46,19:37,20:25,21:29,22:25,23:18,24:18,25:8,26:19,27:9,28:5018,29:101,30:18,31:9,32:3,33:8,34:4,35:7,36:5,37:3,38:5,39:8,40:2,41:6,42:6,43:2,44:2,45:3,46:4,47:3,48:8,49:3,50:1,51:2,52:9,53:1,54:2,56:1,57:1,58:4,59:2,60:1,61:1,64:5,65:6,66:1,67:3,68:2,69:2,72:6,73:2,75:2,76:2,77:3,78:3,79:2,82:1,84:7,86:2,88:1,90:2,91:2,93:2,94:2,97:1,100:1,101:1,102:2,105:3,106:1,113:1,115:1,118:1,125:2,130:2
pt	0:147354,1:16826,2:7452,3:3858,4:1920,5:1021,6:734,7:292,8:202,9:158,10:89,11:67,12:64,13:60,14:68,15:16,16:29,17:20,18:21,19:7,20:9,21:9,22:6,23:7,24:33,25:5,26:3,27:3,28:28,29:1,30:6,31:5,32:1,33:3,34:3,35:2,37:1,38:1,40:1,41:1,43:1,44:12,45:1,46:1,47:1,51:1,53:3,57:1,65:1,84:1,89:1,130:1
th	0:123060,1:18750,2:12179,3:6468,4:3448,5:1807,6:1208,7:690,8:427,9:279,10:189,11:151,12:97,13:56,14:78,15:60,16:26,17:26,18:38,19:8,20:6,21:13,22:6,23:3,24:1,25:9,26:4,27:6,30:1,31:1,33:1,36:1,38:1,40:3,46:1,70:3,84:1
ko	0:93480,1:13042,2:6371,3:3133,4:1542,5:864,6:742,7:299,8:480,9:75,10:103,11:33,12:23,13:23,14:9,15:9,16:15,17:7,18:2,19:2,20:4,21:3,22:2,23:2,24:1,25:3,26:2,28:2,29:2,31:3,32:1,35:2,36:1,37:1,41:7,42:3,45:1,46:1,55:1,56:2,57:1,59:1,66:1,98:1,121:1
zxx	0:95201,1:5,2:8,3:2,4:1,5:1,6:2,7:1,8:1,10:1,11:1
