Day	Hour	Count	Coverage%
2022-10-09	00	148486	100.0
2022-10-09	01	152578	100.0
2022-10-09	02	156326	100.0
2022-10-09	03	161563	100.0
2022-10-09	04	155547	100.0
2022-10-09	05	150506	100.0
2022-10-09	06	152497	100.0
2022-10-09	07	156283	100.0
2022-10-09	08	167994	100.0
2022-10-09	09	168312	100.0
2022-10-09	10	183169	100.0
2022-10-09	11	200605	100.0
2022-10-09	12	216536	100.0
2022-10-09	13	229126	100.0
2022-10-09	14	216291	96.194
2022-10-09	15	164594	72.083
2022-10-09	16	150271	72.639
2022-10-09	17	192306	100.0
2022-10-09	18	181547	100.0
2022-10-09	19	166629	100.0
2022-10-09	20	156918	100.0
2022-10-09	21	148773	100.0
2022-10-09	22	62876	43.444
2022-10-09	23	145696	100.0
