Day	Hour	Count	Coverage%
2022-09-14	00	147128	100.0
2022-09-14	01	152658	100.0
2022-09-14	02	152759	100.0
2022-09-14	03	158569	100.0
2022-09-14	04	142414	100.0
2022-09-14	05	136390	100.0
2022-09-14	06	136401	100.0
2022-09-14	07	139218	100.0
2022-09-14	08	147359	100.0
2022-09-14	09	161976	100.0
2022-09-14	10	180839	100.0
2022-09-14	11	197352	100.0
2022-09-14	12	211050	100.0
2022-09-14	13	215090	100.0
2022-09-14	14	213000	100.0
2022-09-14	15	212543	100.0
2022-09-14	16	196269	100.0
2022-09-14	17	180536	100.0
2022-09-14	18	169182	100.0
2022-09-14	19	161274	100.0
2022-09-14	20	160946	100.0
2022-09-14	21	160576	100.0
2022-09-14	22	157562	100.0
2022-09-14	23	154634	100.0
