Emoji	Count
😕	735
♠️	735
🇦🇷	731
😙	730
🤖	723
👏🏽	721
🤦🏻‍♀️	716
🎙️	714
🐝	713
⬇	713
🦑	712
🌐	709
🙋‍♂️	705
👎	701
😗	700
🫰	692
⚾	688
🎫	687
💍	685
👇🏽	685
😿	680
🌝	680
🪐	672
🥊	670
🦍	667
🗳	667
📖	666
📊	664
👄	663
😼	661
😸	661
😷	649
😶	643
㊗	642
🌲	641
👾	640
🔎	636
🇳🇬	634
😽	627
👏🏾	627
©	625
🦦	622
🏀	621
🖕	619
💅	619
🇨🇱	618
👿	617
🤠	609
🙇🏻‍♀️	605
🌠	603
🔒	601
🩸	599
🔫	599
🛐	598
🧄	595
5⃣	594
🎼	591
🔶	588
🏷️	587
🎰	583
🍩	583
🇵🇰	583
📰	582
5️⃣	582
🙆‍♂️	581
🌏	581
🔪	578
🆔	577
🤦🏻‍♂️	575
🍭	574
🐦	573
🐳	572
🔜	570
🚫	568
🇪🇺	568
🍅	567
🎣	564
🙁	563
🇪🇷	562
🍚	560
🕯️	559
🌵	557
🍞	555
🇪🇸	555
☎️	555
👽	552
⌛	548
🇮🇹	547
🇹🇭	545
😯	544
🐒	544
💮	543
🤏	542
🇩🇪	542
⁉	539
🥕	538
🍽	538
✉️	538
♨️	534
👍🏼	530
🏰	530
🏃	530
🥛	528
🏠	528
🐴	525
🧠	523
🏹	523
🦌	518
🥚	516
😺	510
⤵	510
⬆️	509
🎟	506
🐇	504
🆕	503
🧧	501
🥈	501
🤷‍♀️	499
🍸	499
🇰🇷	497
🎇	495
🌃	495
✊🏻	495
☔	495
🤷	494
🍈	494
🥞	493
🏡	492
🐤	488
🐎	488
🆙	485
🤐	482
🌅	479
🐚	478
🫶🏾	477
🙉	477
🍬	475
👈🏻	473
👁️	473
🌛	472
🔲	471
🦖	469
🦇	469
🏷	469
🦈	468
🙋	467
💪🏼	467
🫦	464
☁	464
👼	462
🚬	461
🫰🏻	460
🎋	460
🐑	458
🔱	457
⤴	457
▪	455
🐩	453
🍮	453
🍉	453
🟣	451
🤚	448
👇🏾	448
😾	447
🔆	447
🍣	443
🏃‍♀️	442
🍐	442
👊🏻	441
🍖	440
😟	439
🔍	439
🏝	437
🐋	435
✉	434
💳	432
💪🏽	431
🌶	431
🙌🏾	429
🐀	428
4️⃣	428
☝	427
🐢	425
🤷🏻‍♀️	424
👋🏻	424
🕐	423
🏖	422
🆗	421
🤌🏻	420
🙌🏼	419
💄	417
⤴️	417
🌌	415
❔	411
™	411
⏱	410
🐘	408
🫐	406
🏳️‍🌈	406
🤷🏻‍♂️	403
🍟	403
🗿	401
📀	400
🏁	400
🍡	400
🌤	400
👠	398
👟	397
📦	396
🥃	394
🐮	394
♀	394
🏈	393
⛔	392
🇨🇳	391
📕	390
〰	390
⛄	390
⏬	387
🎞	386
⌚	385
🍏	384
🍦	382
6️⃣	381
🥑	380
🏮	380
🕒	379
🤕	376
🗝	375
👙	375
💊	372
🎩	372
🇸🇪	371
📮	370
🍴	369
🗳️	368
✴	368
🌄	367
♂	367
📉	364
📆	364
💪🏾	363
🍕	363
🖇	361
🧀	360
⛅	360
🇨🇦	358
🐠	357
🏴‍☠️	356
🎆	356
🖐	355
👉🏼	354
🍛	352
🇨🇴	352
🏃‍♂️	351
🏟	348
🚧	347
🙀	347
🍪	346
🙌🏽	345
🐻‍❄️	345
👶🏻	344
🤘🏻	343
🐊	343
🍳	343
☄️	343
⚖️	342
🏖️	341
🛌	339
🍹	338
🧁	332
🏐	332
🏎	331
🫤	330
💴	330
⬅️	329
🥩	328
🟪	328
🪙	324
🤦🏾‍♂️	324
🥉	320
7️⃣	320
🐿️	319
◼	319
💹	318
🐭	318
🕛	317
💃🏻	316
🥁	314
🇺🇲	314
♦	312
🫀	311
🫵	310
🤟🏻	310
💲	310
✋🏻	310
👶	307
🥸	306
🙆	306
🇦🇲	306
◽	304
🤚🏻	301
🔑	301
🥷	300
🪖	299
🚘	299
🙋🏻‍♂️	299
🦒	298
🙏🏿	297
🎪	297
🎖	297
🌋	297
➰	297
🥤	295
🗯️	295
❇️	293
👕	292
🇵🇱	292
🎡	291
🌽	291
⚓	291
🎄	290
🅰️	290
🤥	289
🍥	289
🌧	287
🤦🏽‍♂️	286
🥒	285
🅱️	285
💈	284
🏇	284
✳️	284
🐲	282
⛩	282
🌪	281
4⃣	281
🦾	280
🇦🇺	280
◾	280
🎭	279
❄	278
😦	277
🤳	276
🤙🏻	276
🔐	275
🪷	274
🐞	274
🦀	273
©️	273
🚶	272
🚌	272
🙋🏻‍♀️	272
🧨	271
🖇️	271
👌🏼	271
🥢	270
📥	270
🥟	268
✖	268
✍	268
🅰	267
✈	267
🥝	265
🥜	264
🤦🏽‍♀️	264
📜	263
👗	263
🐓	263
🐽	262
🤞🏻	261
🍍	261
🧪	260
🇨🇺	259
🧼	257
🤜	257
🗞	257
🖼	257
🏳️‍⚧️	255
🍝	255
☝🏻	254
👼🏻	253
🥔	252
🤞🏽	252
🕥	251
🖐️	249
🦭	248
✍🏻	247
