Day	Hour	Count	Coverage%
2022-10-07	00	161864	100.0
2022-10-07	01	173339	100.0
2022-10-07	02	179268	100.0
2022-10-07	03	193796	100.0
2022-10-07	04	177922	100.0
2022-10-07	05	158402	100.0
2022-10-07	06	166071	100.0
2022-10-07	07	168070	100.0
2022-10-07	08	179090	100.0
2022-10-07	09	193484	100.0
2022-10-07	10	201570	100.0
2022-10-07	11	224277	100.0
2022-10-07	12	239403	100.0
2022-10-07	13	252007	100.0
2022-10-07	14	242586	100.0
2022-10-07	15	235490	100.0
2022-10-07	16	214301	100.0
2022-10-07	17	196972	100.0
2022-10-07	18	181340	100.0
2022-10-07	19	174770	100.0
2022-10-07	20	169835	100.0
2022-10-07	21	166722	100.0
2022-10-07	22	163388	100.0
2022-10-07	23	163173	100.0
