Language	Count
en	0:875879,1:158463,2:80574,3:41105,4:21011,5:11394,6:14737,7:3532,8:2433,9:1653,10:931,11:608,12:475,13:398,14:407,15:397,16:155,17:192,18:107,19:99,20:189,21:71,22:33,23:42,24:89,25:85,26:19,27:20,28:39,29:25,30:59,31:12,32:16,33:14,34:5,35:10,36:9,37:15,38:8,39:1,40:9,41:1,42:8,43:3,44:7,45:8,47:5,48:18,49:3,50:4,52:3,53:1,54:1,55:2,56:1,57:3,58:2,59:1,60:7,67:1,68:2,72:2,77:1,78:1,79:2,80:1,81:4,87:1,99:1,100:2,102:1,107:1,108:3,110:1,117:1,119:1,124:1,129:1,130:1,135:1
ja	0:491590,1:86758,2:49271,3:33700,4:23143,5:14056,6:10964,7:6261,8:4106,9:2809,10:1830,11:1704,12:764,13:495,14:503,15:263,16:383,17:282,18:143,19:105,20:112,21:79,22:64,23:50,24:140,25:31,26:109,27:28,28:18,29:11,30:17,31:4,32:25,33:12,34:8,35:9,36:6,37:12,38:3,39:9,40:12,41:2,42:2,43:3,44:1,45:1,46:2,47:1,48:5,49:3,50:3,52:4,53:2,54:1,55:1,56:1,57:1,59:1,60:2,62:1,65:12,66:1,67:3,70:1,73:1,79:4,81:1,86:1,97:2,100:1,107:1,113:1,114:2,115:1,122:1,128:3,134:1,135:1
und	0:52800,1:30561,2:63730,3:13100,4:6950,5:4293,6:39759,7:952,8:3592,9:1390,10:405,11:264,12:27232,13:107,14:92,15:56,16:57,17:40,18:34,19:29,20:53,21:26,22:54,23:24,24:53,25:14,26:13,27:25,28:6104,29:8,30:30,31:7,32:18,33:15,34:21,35:11,36:25,37:9,38:5,39:13,40:9,41:5,42:7,43:4,44:3,45:11,46:5,47:3,48:4,49:11,50:3,51:39,52:8,53:4,54:1,55:3,56:8,57:2,58:2,59:3,60:2,61:1,63:6,64:4,65:8,67:1,68:1,69:1,70:5,71:1,72:2,73:2,74:2,75:4,77:1,78:3,79:2,80:1,81:1,82:1,84:2,85:2,86:1,88:2,89:1,90:4,91:2,93:1,94:1,97:1,98:6,99:3,100:2,101:7,102:3,104:4,105:1,109:1,110:3,112:5,113:2,114:1,115:1,116:1,117:3,120:1,122:1,123:2,124:1,125:1,126:1,128:2,129:1,130:4,132:4,133:1,134:1,136:1,137:3,138:3,139:7,140:11
es	0:187972,1:29295,2:13341,3:7762,4:3835,5:2009,6:1214,7:735,8:478,9:287,10:220,11:169,12:138,13:113,14:62,15:49,16:44,17:36,18:53,19:23,20:43,21:35,22:27,23:19,24:10,25:7,26:3,27:7,28:3,29:5,30:3,31:5,32:6,33:6,34:8,35:2,36:4,37:2,38:2,39:2,40:2,44:2,45:1,46:1,47:1,48:1,49:5,50:2,51:2,54:2,55:1,61:1,64:1,65:1,68:1,72:3,97:1,122:1
tr	0:188472,1:10609,2:4920,3:2755,4:1093,5:571,6:357,7:154,8:100,9:72,10:48,11:36,12:50,13:37,14:21,15:11,16:30,17:8,18:10,19:3,20:5,21:2,22:3,23:1,24:5,25:5,26:1,28:1,29:2,30:4,31:1,33:3,35:1,37:1,38:1,39:1,49:1,61:1
th	0:141064,1:25006,2:16128,3:8819,4:4388,5:2577,6:1627,7:1025,8:555,9:439,10:300,11:155,12:103,13:75,14:61,15:167,16:28,17:79,18:54,19:8,20:8,21:17,22:22,23:7,24:4,25:3,26:1,27:42,28:4,30:3,31:1,32:2,36:1,41:2,47:1,50:1,52:1,56:1,58:7,83:1,91:1
ar	0:100503,1:24930,2:11943,3:5525,4:4568,5:2912,6:5735,7:855,8:3499,9:967,10:287,11:167,12:21441,13:881,14:93,15:63,16:79,17:50,18:49,19:34,20:29,21:20,22:14,23:15,24:25,25:11,26:22,27:15,28:3163,29:84,30:25,31:5,32:10,33:7,34:6,35:1,36:13,37:2,38:7,39:4,40:2,41:12,42:10,43:8,44:3,45:5,46:4,47:3,48:6,49:2,50:1,51:1,52:5,54:4,55:2,56:2,57:1,58:3,59:2,60:2,61:2,64:6,65:4,67:1,68:3,70:3,71:2,72:1,73:1,75:1,78:6,80:1,81:2,82:1,83:1,84:4,87:1,91:1,94:1,95:1,96:1,98:1,99:2,100:1,101:1,104:2,108:2,110:1,114:2,122:1,126:2,127:1,128:1,129:2,131:2,134:1
pt	0:126507,1:15319,2:7189,3:3538,4:1778,5:949,6:627,7:332,8:216,9:99,10:102,11:62,12:66,13:38,14:28,15:97,16:34,17:18,18:19,19:17,20:39,21:11,22:8,23:50,24:17,25:5,26:8,28:13,29:3,30:7,31:2,32:1,33:4,34:5,35:1,36:8,39:3,41:3,45:1,46:1,47:1,48:2,49:1,55:1,60:1,61:1,64:1,69:2,70:1,72:1,81:2,128:1
ko	0:117229,1:16267,2:9310,3:4836,4:2484,5:1619,6:1188,7:368,8:376,9:106,10:143,11:40,12:46,13:28,14:12,15:4,16:8,17:6,18:14,19:6,20:2,21:8,22:6,23:3,24:2,25:2,26:7,27:1,28:10,29:1,30:2,31:2,32:1,33:1,34:2,39:1,41:1,42:1,47:1,48:2,60:1,68:1,76:2,96:1,132:1
zxx	0:97601,1:8,2:5,3:10,4:5,5:3,6:1
in	0:64109,1:14565,2:6413,3:3351,4:1641,5:775,6:553,7:283,8:153,9:76,10:77,11:53,12:41,13:23,14:12,15:6,16:11,17:12,18:4,19:12,20:6,21:5,22:3,23:1,24:2,25:3,27:1,28:2,31:2,33:1,37:2,39:1,41:1,44:2,48:1,52:1,54:1,71:1,96:1,122:1
qme	0:67540,1:4,2:7,3:2,6:1,14:1
fr	0:43557,1:6690,2:2953,3:1668,4:686,5:321,6:442,7:129,8:68,9:54,10:20,11:16,12:12,13:15,14:9,15:13,16:3,17:3,18:6,19:1,20:4,21:2,24:2,25:1,26:1,30:1,31:1,35:2,38:1,39:1
hi	0:39404,1:4245,2:2304,3:1128,4:626,5:269,6:242,7:101,8:82,9:56,10:39,11:30,12:34,13:14,14:17,15:11,16:9,17:4,18:6,19:4,20:18,21:4,22:7,23:1,24:1,26:4,27:1,30:2,32:4,33:2,34:2,35:1,36:3,65:1
tl	0:23230,1:6003,2:2849,3:1657,4:735,5:322,6:300,7:115,8:47,9:31,10:16,11:31,12:17,13:9,14:10,15:8,16:4,17:3,18:4,19:1,20:4,22:3,25:1,26:1,28:5,30:1,33:1,34:2,37:1,38:1,45:1,54:3
ur	0:22060,1:2008,2:1057,3:537,4:248,5:97,6:111,7:29,8:26,9:13,10:10,11:8,12:7799,13:213,14:20,15:4,16:3,17:2,18:2,20:2,21:1,27:1,28:593,29:12,30:5,31:1,34:1,44:1,86:1
fa	0:23894,1:2602,2:1041,3:300,4:187,5:69,6:41,7:42,8:15,9:15,10:11,11:14,12:2,13:5,14:1,15:3,17:4,18:2,21:2,27:3,48:1,124:1
zh	0:19852,1:3939,2:1697,3:1016,4:476,5:379,6:282,7:91,8:56,9:35,10:24,11:20,12:11,13:8,14:8,15:3,16:1,17:2,18:1,19:2,20:1,24:2,38:1,57:1,59:1,101:1
it	0:16246,1:2075,2:849,3:543,4:234,5:116,6:88,7:45,8:34,9:31,10:12,11:9,12:17,13:13,14:9,15:10,16:1,17:2,18:1,19:5,20:1,21:3,22:4,23:1,28:1,29:2,35:1,38:1,41:1,125:1
de	0:15165,1:2535,2:932,3:566,4:201,5:108,6:184,7:35,8:15,9:33,10:18,11:10,12:10,13:3,14:5,15:3,16:4,17:1,18:2,19:1,21:1,22:1,24:1,25:1,27:1,43:1
ca	0:4263,1:641,2:11373,3:124,4:116,5:34,6:2325,7:6,8:9,9:4,10:3,11:2,12:3,13:5,15:1,16:1,17:1,20:4,22:1,32:2,35:1,36:1
qam	0:16421,1:1,2:1
pl	0:10229,1:1393,2:493,3:370,4:141,5:56,6:45,7:25,8:14,9:9,10:5,11:5,13:1,14:4,16:1,17:1,20:2,27:1,29:1,115:1
