Language	Counts
ja	✨:10092,🎁:4165,😭:3066,😊:2779,‼️:2668,💕:2217,☺️:1961,🎉:1876,😂:1721,💦:1625,🥺:1574,🤣:1504,🥰:1503,😆:1415,👍:1318,🔥:1223,🙏:1206,❤️:1199,❗:1179,🥹:1106,☀️:972,😅:842,❣️:842,🎶:800,🎯:781,💙:755,🌟:733,😍:720,🥲:712,♻️:696,💗:693,🍀:683,😌:675,💓:665,💖:650,🤍:647,🙌:639,‼:637,🌸:631,📺:613,1⃣:610,🤔:605,😇:589,✅:580,🎊:563,🙇‍♀️:562,❤:558,☀:558,👏:543,⏰:538,💛:535,💪:530,😳:519,💜:515,😃:514,🌈:501,🫶:491,😁:485,😢:471,❕:459,🤗:457,🐰:444,✌️:435,👀:425,🙇‍♂️:423,🤭:421,⁉️:417,🥳:416,💫:397,⭐:392,🫶🏻:384,🎸:383,🎵:371,😋:367,🎀:366,💞:356,1️⃣:354,💚:351,😉:351,2⃣:349,😄:331,⚠️:330,🐶:328,❤️‍🔥:322,🤤:312,😎:309,📣:307,🐱:304,🙇:297,👇:293,💨:292,㊗️:285,💐:278,💌:276,🍓:275,💭:273,📢:272,🔻:271,😱:268,▶:266,📸:265,🅿️:261,👉:259,2️⃣:259,♥:257,☺:256,🍁:256,👑:251,⚡:249,🌙:248,🎂:235,🧡:232,🫠:228,♥️:228,😘:220,🎤:217,🌹:215,☕:215,3⃣:212,⬇️:211,🤩:210,❓:208,🙄:203,🌻:200,💎:199,🌞:198,💡:197,💥:197,👤:190,🐾:188,🍺:188,🙆‍♀️:186,💤:183,🌱:182,🐹:181,☑:178,🔁:175,👊:174,⚾:172,🐯:171,🧸:169,🔽:168,🌼:167,🔄:164,✊:162,❣:159,👋:157,👍🏻:156,😀:156,✖️:156,🕊:156,🎈:154,💢:153,✔:149,🍎:148,⚔️:147,🫣:144,🖤:142,🙏🏻:140,🍑:140,🚗:138,💘:137,🫧:137,📱:136,❌:135,☁️:134,😚:133,💰:132,🙌🏻:132,🍫:132,🐈:131,🫡:130,⭕:129,😣:129,🤲:127,🌷:126,🙂:123,🔗:122,▶️:121,💧:121,🌀:120,😡:120,✍️:120,☝️:119,✌:118,⚠:117,🍠:117,🔔:114,🍜:113,✋:113,😓:111,🦊:110,🙋‍♀️:109,☔:109,👌:108,🆙:108,🙇🏻‍♀️:107,🇯🇵:107,🏆:106,📝:104,🦁:104,🎧:102,🌺:101,📷:100,🌾:100,🐥:100,🍻:100,🌰:99,🆗:99,🍄:98,💝:98,🤝:98,3️⃣:98,🌿:97,🎮:97,🔴:97,😖:97,🐻:96,✈️:95,🎥:95,🤦‍♀️:95,🍊:95,🍃:94,🥂:93,🐣:93,😤:92,😴:92,🚩:92,0️⃣:91,0⃣:90,✔️:90,💋:88,🍵:88,🥇:86,🐷:86,✊🏻:86,🚨:86,🎃:85,😏:84,⁉:83,📩:83,🍒:83,🐼:83,🐴:82,❄️:81,😵‍💫:81,📻:81,⚽:80,🙋‍♂️:79,🦋:79,💃:79,🥦:79,🔎:79,🐟:79,🐈‍⬛:79,😈:78,👹:77,🎆:77,🧼:77,😸:77,🍋:76,😩:76,🐒:76,🍰:75,🫰🏻:75,🙃:75,🤎:74,🍚:74,🪄:74,➡️:74,💯:73,🍂:73,🎬:73,😨:72,👏🏻:72,👻:72,😮‍💨:71,🐸:71,🦈:71,💀:71,🎨:71,😥:70,⚔:70,⛩:70,🌃:70,🍯:70,🫰:70,🚀:70,🍔:69,✉️:68,🉐:68,🍇:68,😪:67,🍨:67,🍴:67,💍:67,🆚:66,🎫:66,😻:66,☘️:66,⤵:66,☁:66,🎩:65,⤴:65,😵:65,✖:64,🙈:64,⤴️:64,🫢:64,🤪:63,➡:63,❔:63,🙆‍♂️:62,🍣:62,😑:62,🐺:62,🕺:61,👽:61,🌊:61,😰:60,🏃‍♀️:60,🏯:60,🤫:59,🐬:59,📍:59,😔:59,🔶:59,🦄:58,💩:58,🥱:58,🫖:58,🌌:57,😫:57,🙋:57,💟:57,♀:57,🏠:57,🍖:57,🌠:56,🍩:56,😿:56,➕:56,⏩:55,🐿:55,▫️:54,🍐:54,🍉:54,🗝:54,😺:54,🥀:54,💿:53,🐇:53,📚:53,✌🏻:52,🐙:51,💸:51,📖:51,🔫:51,🏷:50,💬:50,💉:50,🤟:50,⤵️:50,🟡:50,🐧:50,💪🏻:49,🔵:49,👶:49,🐕:49,👾:49,👗:49,🥕:48,🥵:48,🍷:48,🍌:47,👼:47,🐢:47,🍈:47,🆕:47,7⃣:47,👟:47,🎋:46,💮:46,😞:46,🍮:46,⚜️:46,💄:46,🗓:46,🍞:46,🌴:45,🎲:44,🔸:44,🍙:44,🐉:44,🍦:44,🦐:43,🎼:43,⬇:43,🦑:43,😙:43,🐝:42,📮:42,🟢:42,✉:41,🍡:41,🍛:41,🍹:41,👈:41,😽:41,🍪:41,♨️:40,💁‍♀️:40,😹:40,🌏:40,🍬:40,🐳:40,💊:40,🙇🏻‍♂️:40,🏮:40,🐮:39,📕:39,🛒:39,♂:39,➰:39,😲:38,〰:38,⚒️:38,🐤:38,🎌:38,😗:38,🍅:37,🍼:37,🐑:37,📅:36,🌕:36,🏅:36,😠:36,🎙:36,📆:36,🥴:35,🍾:35,🚙:35,🦉:35,🥟:35,✈:35,👼🏻:35,🔰:35,🐨:35,🍶:35,🇺🇸:35,🖐:34,🟦:34,🦀:34,😝:34,🎴:34,📲:34,🟩:34,😼:34,🌛:34,🇫🇷:34,👒:34,🕒:33,🐠:33,💠:33,🎐:33,🚬:33,🧐:32,🎑:32,⛄:32,🍗:32,〰️:32,🎟:32,👙:31,🦌:31,🛁:31,🦸🏻‍♂️:31,🥩:31,🦂:31,🐏:31,🌅:31,🦖:31,☑️:30,🙆:30,📘:30,🎇:30,🏖:30,⌚:30,⏬:30,🌍:30,🍆:30,👩🏻‍🔧:30,🥗:29,🔷:29,🎹:29,🏍:29,👶🏻:29,🔪:29,🎪:29,💣:29,🗻:29,👊🏻:29,㊗:29,👓:29,🔺:28,🦍:28,🎖:28,♻:28,🌳:28,🤮:28,💻:28,🟨:28,🤓:28,⬆️:28,✏️:28,🥤:28,🌤:28,🦇:28,🏹:27,😷:27,🐓:27,✍:27,🐩:27,🎾:27,☝:27,🙇🏻:27,⚓:27,🧧:27,🟥:27,🍟:27,↪:27,🍥:27,🏇:27,🍱:27,💔:26,🥈:26,⬜:26,😮:26,🤘:26,🔖:26,👉🏻:26,🤯:26,🤞:26,🐻‍❄️:26,🧀:26,⚫:26,✍🏻:26,🖥:26,🌋:25,🌝:25,🚃:25,🙆🏻‍♀️:25,🐔:25,🔆:24,🌶:24,🍳:24,🍧:24,👕:24,📦:24,😶:24,🏀:24,🦒:24,🧁:24,😒:24,🍭:24,📡:24,👘:24,🥶:24,🐭:23,🤧:23,🅰️:23,⏳:23,5️⃣:23,🏃:23,🏃‍♂️:22,🥉:22,🧊:22,🥃:22,🔑:22,🏺:22,🆔:22,🙀:22,🏝:22,🤜:22,⚪:22,㊙️:22,🤚:21,🈳:21,👆:21,👞:21,❄:21,🔹:21,🤖:21,👐:21,5⃣:21,🎡:21,💴:21,🔞:21,🌲:21,🚘:21,🥞:21,🤦🏻‍♀️:21,🐘:21,🗓️:21,🤝🏻:21,🤛:21,🗣:21,🤨:21,🟣:21,🔅:20,🐍:20,🏖️:20,🖌:20,☄️:20,🍽:20,🇬🇧:20,🥐:20,🌄:20,🥁:20,7️⃣:20,🕛:20,👸:20,🧚‍♂️:19,🧪:19,🦔:19,🍝:19,🇰🇷:19,🕶:19,⛅:19,🦆:19,🅿:19,🏁:19,🟠:19,🏰:19,🥚:19,😬:19,🐲:19,🇺🇦:19,🌎:18,🥢:18,🗡️:18,🙋🏻‍♀️:18,🐜:18,🏪:18,⚙:18,🇨🇳:18,🥷:18,🍿:18,🚺:17,🐎:17,💅:17,🫶🏼:17,🆘:17,🌜:17,🤦:17,🤬:17,🥸:17,▪️:17,👅:16,🙆🏻:16,😜:16,🔍:16,🐦:16,🍍:16,🔚:16,🛌:16,🈁:16,📨:16,🚌:16,🛵:16,🤢:16,🔮:16,🎣:16,♦️:16,🐄:16,🗾:16,💁‍♂️:16,👴:16,🏥:16,🕊️:15,🈵:15,🗽:15,🛟:15,🚲:15,🪞:15,👈🏻:15,🗼:15,😾:15,☃️:15,🥖:15,👁:15,❤️‍🩹:15,🥓:15,☪:15,🦅:15,☹️:15,⏱:14,📈:14,🫥:14,🖖:14,😐:14,🚤:14,🚴:14,👨‍🌾:14,🔟:14,🧤:14,🧚‍♀️:14,🐚:14,⛰:14,◼:14,🔊:14,🫐:14,4️⃣:14,🈺:14,🍕:14,🤲🏻:14,✏:14,◀:14,🕘:14,👂:14,🥝:14,🫀:14,4⃣:14,🛀:14,🌵:14,🐊:14,👿:13,🦷:13,🌐:13,📧:13,🥜:13,🎏:13,6️⃣:13,🫂:13,✋🏻:13,↔:13,☂️:13,🌽:13,🚢:13,🗡:13,👨‍🍳:13,📌:13,🙇‍♀:13,✂:13,🔱:13,😶‍🌫️:13,🏝️:13,🎻:13,📛:13,🧽:13,🔃:13,👵:13,✒️:13,🪐:13,🏐:12,🚹:12,🏫:12,©:12,👥:12,🐽:12,🍤:12,♣:12,⬛:12,📹:12,🏟:12,🦎:12,🏡:12,♾:12,👧🏻:12,🏢:12,🦭:12,🕯:12,📞:12,🙅‍♀️:12,✴️:12,🥒:12,👧:12,🥪:12,➖:12,📀:12,🤥:11,🌆:11,🐐:11,🦕:11,🍢:11,🤦‍♂️:11,◾:11,🥊:11,☝🏻:11,👋🏻:11,🫑:11,🧜‍♀️:11,🇩🇪:11,🥼:11,🧚:11,🐖:11,🌧:11,🎠:11,🚪:11,🙇🏼‍♀️:11,🎦:11,🚚:11,🤏:11,🖼:11,🤡:11,🎍:11,🧠:10,👌🏻:10,🏔:10,💪🏾:10,🎺:10,🎷:10,◻:10,🍏:10,🎞:10,📉:10,🏄‍♂️:10,🐌:10,🌪:10,🌉:10,🇹🇭:10,🔦:10,🏴‍☠️:10,🙉:10,🤳:10,🌇:10,♾️:10,®:10,👇🏻:10,🤘🏻:10,🥭:10,🔋:10,♦:10,⏪:10,🇮🇹:10,🧃:10,🃏:9,▪:9,👨🏾‍🦲:9,🦵🏾:9,🤜🏾:9,🥔:9,👺:9,😛:9,👣:9,💵:9,🖋:9,🍸:9,⌛:9,🇷🇺:9,🚶‍♀️:9,👔:9,🫵:9,🛫:9,🚿:9,🍲:9,⛳:9,♠:9,⛩️:9,🩸:9,🦩:9,🛍:9,🚅:9,🥥:9,🪷:9,🧩:9,⛓:9,👠:9,⬆:9,🌚:9,💁:9,🖌️:8,🙊:8,⬅️:8,9⃣:8,☪️:8,🛩:8,🈹:8,⚖️:8,🎗:8,🦢:8,🏙:8,🫤:8,🍘:8,🏄‍♀️:8,👩:8,✴:8,🧢:8,🌓:8,♣️:8,🧟‍♂️:8,🧟:8,✂️:8,🧶:8,⚰️:8,🚄:8,🈯:8,🤙:8,👛:8,🙏🏼:8,🤟🏻:8,🛡:8,🧄:8,🐗:8,🏞:8,🏘️:8,❇️:8,🙅‍♂️:8,🐆:8,🙅:7,🐵:7,❎:7,🪥:7,🕺🏻:7,🚑:7,😯:7,⛑:7,🦜:7,😧:7,🔢:7,🧅:7,🈂️:7,🥛:7,⬅:7,6⃣:7,☠️:7,🪡:7,🏄:7,🚶‍♂️:7,🎓:7,💒:7,🤌:7,🚶:7,🧙:7,🆓:7,🛸:7,✝️:7,🕰:7,👩‍🏫:7,🇨🇦:6,🏊:6,🔯:6,👍🏼:6,🏩:6,🙇‍♂:6,🤷‍♀️:6,㊙:6,🖐🏻:6,🌨:6,◽:6,🖊:6,🦦:6,🐡:6,📗:6,🧴:6,🙎‍♂️:6,📙:6,🤷‍♂️:6,🚖:6,😟:6,🥄:6,🗯:6,🗒:6,🕷:6,🦫:6,🎰:6,🎄:6,🤦🏻:6,🏓:6,👩‍🎓:6,🦾:6,🗳:6,😕:6,🇳🇱:6,⛸:5,💈:5,🚕:5,📰:5,☠:5,🪩:5,☯️:5,🏳️:5,📯:5,🌫️:5,🧖‍♀️:5,🐋:5,🧒:5,🚮:5,🦙:5,🟧:5,♀️:5,🩰:5,🦟:5,🏨:5,👮:5,🇸🇦:5,👦🏻:5,👩🏻‍🎓:5,👁‍🗨:5,👮‍♂️:5,❇:5
en	😭:4366,😂:3530,🔥:2726,❤️:2570,🔹:2228,🤣:1773,⚫:1481,✅:1469,⚪:1352,🥺:1265,✨:1253,📌:1133,😍:1131,🔔:1029,💙:1005,👇:929,🎉:928,🥹:908,🥰:858,🎁:767,🚨:724,🙏:717,👀:706,🏆:687,🤔:681,💜:674,🤍:659,💀:602,🚀:574,😅:554,💚:533,💕:527,1️⃣:508,😊:496,😈:494,👉:485,🔴:477,💯:464,🥳:451,🖤:447,‼️:440,❤:440,♥️:437,👍:435,🤩:434,💦:430,😎:428,💥:412,😩:405,🫶:401,💛:401,💗:393,👏:380,📸:378,💰:369,💎:363,⚡:361,😁:356,😘:347,2️⃣:346,🔗:338,🤝:338,💖:337,😉:330,🤗:329,😳:326,👑:320,🥵:299,💔:298,🇺🇸:290,🌟:283,⭐:282,💪:280,🫶🏻:278,🙄:255,🥲:250,1⃣:240,⏰:239,🤭:238,😏:238,🦋:231,➡️:231,🤯:231,😌:230,🙌:227,☺️:226,🐰:222,🍆:221,😆:221,🇧🇷:220,🎥:218,🐶:211,🧡:210,💞:209,💫:208,☀️:199,🦄:194,😔:190,🧵:189,🎂:188,😱:185,😋:184,🎶:184,🥴:184,⚽:183,❤️‍🔥:182,🤡:182,👊:182,💵:181,📺:179,💋:177,🍑:176,🫠:176,🤘:176,🟩:174,2⃣:174,⬇️:172,🤤:172,📼:171,🌹:167,🐾:164,🇪🇹:162,📍:160,☕:157,💸:157,🌸:156,📢:155,🫡:151,❗:151,3️⃣:151,⏳:151,⚠️:150,😇:148,😀:146,🍀:145,🟨:145,💓:144,🌊:144,🤪:143,👌:142,😢:141,🌻:141,💬:141,😜:140,🙈:140,🙂:140,👇🏻:140,😤:132,🐱:130,💌:130,🐥:129,🕊:129,🙏🏻:129,▶️:129,🏴󠁧󠁢󠁥󠁮󠁧󠁿:128,🥇:127,🇺🇦:127,👋:125,🔜:122,🇪🇷:122,🍒:119,😬:118,😃:115,🫣:114,🗣:114,🍂:113,📣:106,😵‍💫:106,🍪:105,😒:104,😡:104,🌈:103,⚔️:102,🫂:102,📩:102,❣️:101,✌️:101,😄:100,3⃣:100,🙃:100,🙏🏽:99,🎯:97,💐:97,🎊:97,😫:96,🐐:96,🤧:95,🐝:94,🐯:94,🟦:94,😮‍💨:93,📈:92,♥:92,🇳🇱:92,☹️:92,✔️:91,🔁:89,🥂:89,🌞:89,🫶🏼:88,🆚:88,🦍:88,🌙:87,🤑:85,🌿:85,💘:85,🙏🏾:85,🐺:84,🟪:84,🔄:84,✊:84,🐈:84,💭:83,🇬🇧:83,🦁:82,🔊:82,🧐:82,🤫:82,🌍:81,♻️:81,©:80,😻:80,😹:79,👅:79,☑️:79,👍🏻:78,🤞:78,🌎:78,🫶🏽:78,🤨:77,👈:76,❌:75,🟢:74,😞:74,🌷:73,🔞:73,📲:72,🎟️:72,🤕:72,🔵:71,💝:71,🍎:69,✈️:69,☁️:68,🤙:68,🎈:68,💅:68,⤵️:68,🏈:68,🐻:67,🦊:67,🛸:67,📷:67,😝:66,🎀:66,🙏🏼:64,🧸:64,🎵:64,🌼:64,🤷‍♂️:63,😽:63,🍏:63,❇️:62,🎟:62,🗳️:62,🏎:61,🎨:60,🍿:60,👏🏻:60,📅:59,😲:59,🦅:59,🥱:59,🐋:59,🐳:59,🐬:59,🌺:58,😐:57,💩:56,🐍:56,🇮🇳:56,😴:56,🌱:55,🐦:55,🗳:55,🌴:55,👉🏻:55,🤛:55,📊:54,🍻:54,🎬:54,🤜:54,🤦‍♂️:53,🇵🇰:53,🎃:53,📻:53,🤮:53,🍃:52,🌐:52,🥶:52,😚:52,🥥:52,🍊:51,😑:51,😛:50,🎧:50,😪:50,♻:50,🍁:49,🍥:49,🍓:49,🔒:49,😵:48,👏🏼:48,🤬:48,⬜:48,🇨🇦:48,🍌:47,👹:46,🕺:46,🇺🇲:46,🥈:46,🪣:46,🪱:45,🤖:45,✋:45,🫶🏾:45,🐊:45,🚩:45,🔪:45,💪🏽:45,🤌:44,🧿:44,🍉:44,🚙:44,🙇‍♂️:44,💻:43,🦗:43,🌕:43,🛒:42,👤:42,📱:42,☠️:42,🩸:42,🔮:42,👥:41,✌🏻:41,🗣️:41,👇🏼:41,🌚:41,💧:41,😕:41,👏🏽:41,💨:40,🔃:40,🤓:40,💃:40,🎙:40,🫧:40,🥊:39,🔰:39,🗓:39,🐠:39,🐸:39,🤲:38,😙:38,🙌🏾:38,📝:38,❓:38,❣:38,🇯🇵:38,👻:38,🍔:38,⏩:38,✌:37,😮:37,🤳🏽:37,❄️:37,🤦‍♀️:37,🥁:37,🔸:37,🎸:37,🤢:37,4️⃣:36,🔻:36,▪️:36,🇩🇪:36,🆕:36,🐧:35,🔺:35,🐹:35,⌛:35,☯️:35,♦️:35,🪄:35,🏟️:35,💪🏻:35,👽:35,🧹:35,⭕:35,📚:34,🕯:34,🏷️:34,❤️‍🩹:34,🤷‍♀️:34,🤎:34,🫢:34,⁉️:34,🤦🏻‍♀️:34,😣:34,🤠:34,🎮:33,😓:33,🐉:33,🐲:33,🏁:33,😥:33,🌳:32,☘️:32,🤦🏾‍♂️:32,🇳🇬:32,🙌🏻:32,🐗:31,🐢:31,➕:31,🥀:31,💪🏾:31,😖:31,🇫🇷:31,✍️:31,🙌🏼:31,🐕:31,🤷🏻‍♀️:31,🍋:31,🆓:30,🌅:30,⏱:30,👆:30,🚫:30,👟:30,🇮🇹:30,🧢:30,™:30,👉🏼:30,🍾:30,💣:29,🪐:29,🇷🇺:29,🍇:29,🗓️:29,🙊:29,♠️:29,📹:29,🏡:28,🤟:28,✳️:28,🤞🏻:28,⬛:28,🦾:28,🙌🏽:28,🪅:28,🇨🇳:27,🏠:27,🟡:27,🌏:27,🛐:27,🖕:27,💤:27,🤷🏾‍♂️:27,▶:26,💹:26,0️⃣:26,🐷:26,🙁:26,🤷🏻‍♂️:26,💪🏼:26,🏳️‍🌈:26,🎤:26,🤷🏽‍♀️:26,🦇:26,➡:26,🌪:26,🥏:26,👍🏼:26,🇸🇲:25,💍:25,📆:25,👁️:25,🔑:25,🤷🏽‍♂️:25,🐇:24,🐿:24,🤷:24,🌝:24,🐨:24,🧁:24,🏴‍☠️:24,🛑:24,🗽:23,👕:23,🗿:23,⏱️:23,🎭:23,⚜️:23,🚗:23,💉:23,🍷:23,🤘🏻:23,🛎:23,🤞🏾:23,🤏:23,🫦:23,🥉:23,🕒:23,🧛:22,📦:22,👏🏾:22,😶:22,☝️:22,🔝:22,🍄:22,🍭:22,🏷:22,⚾:22,🍕:22,😨:21,🚮:21,🎰:21,🇪🇸:21,🌪️:21,🥙:21,🤦🏻‍♂️:21,🧺:21,💡:21,👎:21,💟:21,🧄:21,🏎️:21,👋🏻:21,😼:21,😠:21,🇹🇷:20,👊🏼:20,▫️:20,😗:20,✔:20,™️:20,🇰🇷:20,🐼:20,🍨:20,🌀:20,📋:20,🤏🏻:20,🌄:20,🐘:20,🏴󠁧󠁢󠁳󠁣󠁴󠁿:19,😷:19,🎞:19,🦦:19,🔱:19,🌃:19,🐎:19,💠:19,🥛:19,🦉:19,🔫:19,🧧:19,👄:19,❕:19,👁:19,📉:19,🫤:19,🍺:19,🥃:18,👊🏽:18,🏀:18,🐈‍⬛:18,🔙:18,🏝:18,🇹🇭:18,🕊️:18,👸:18,🫵:18,⬅️:18,✌🏽:18,📽:18,😸:18,🇪🇺:18,🎼:18,🧍🏻‍♀️:18,🍐:18,🤝🏾:18,🎙️:17,✊🏾:17,🏃:17,🤦:17,➖:17,4⃣:17,👇🏽:17,💢:17,😿:17,🤦🏿‍♂️:17,🏉:17,🤷🏼‍♂️:17,👍🏾:17,🤦🏽‍♂️:17,♨️:17,🪷:17,🍫:17,🟣:17,🚡:17,🍼:17,🐑:17,🙏🏿:17,✝️:17,↘️:17,💲:17,🏳️‍⚧️:17,🧍‍♀️:17,🆘:17,🦖:16,👌🏾:16,🖇️:16,🌌:16,🌠:16,👊🏻:16,☀:16,🥟:16,🅱️:16,🟥:16,🤞🏽:16,9️⃣:16,🦈:16,✌🏾:16,🤐:16,🍡:16,🚦:16,⬆️:15,©️:15,👿:15,📜:15,🪂:15,🐿️:15,🫰:15,6⃣:15,👾:15,🎄:15,💷:15,🇦🇺:15,👩:15,🙋🏻‍♀️:15,🥕:15,🙇:15,🃏:15,👍🏽:15,🪙:15,🍵:15,😾:15,⛓:15,🌾:15,🏖:15,⛔:15,🔦:15,🌲:14,🥗:14,🤳:14,7️⃣:14,😰:14,🤷🏾‍♀️:14,👇🏾:14,🖇:14,🌬:14,📽️:14,🍞:14,😺:14,🥔:14,🇦🇷:14,🪩:14,🥦:14,6️⃣:14,👺:14,🐒:14,5️⃣:14,🧠:14,🌽:14,🐟:14,⛅:14,®:14,🇵🇭:14,😟:14,🍯:14,🍰:14,💿:14,☺:14,💅🏻:14,🤌🏽:14,♾:14,🕸:14,🇮🇪:13,🇵🇹:13,✌🏼:13,☄️:13,☮️:13,🫰🏻:13,🤞🏼:13,😶‍🌫️:13,🇵🇸:13,🤲🏻:13,🇬🇭:13,✋🏻:13,💊:13,🐣:13,🧬:13,⚓:13,🚌:13,🕶️:13,⛩:13,🌤:13,🦆:13,🔐:13,🟠:13,🇬🇷:12,🙌🏿:12,🍩:12,🤷🏼‍♀️:12,🎇:12,✊🏿:12,❤‍🔥:12,🌭:12,🧎‍♀️:12,🙋‍♀️:12,🙋:12,🌥:12,🤥:12,🎲:12,🧷:12,🔘:12,😯:12,👌🏼:12,🥒:12,🐚:12,8️⃣:12,🍍:12,🅰️:12,💃🏻:12,🛫:12,🥐:12,🧊:12,👈🏻:12,🕺🏻:12,🩹:12,🔍:12,🇿🇦:12,🤦🏽‍♀️:12,🙆🏻‍♀️:12,🕷:12,🕹:12,💳:12,🐭:11,🐂:11,👂:11,🖥️:11,🤦🏼‍♀️:11,📕:11,🍖:11,🔟:11,🕯️:11,🌧️:11,🍛:11,♣️:11,☎️:11,🏟:11,🎩:11,👌🏻:11,🦡:11,🥣:11,🎅:11,👔:11,👌🏽:11,👩🏾‍🎓:11,🇯🇲:11,🥷:11,🇳🇴:11,😧:11,🔨:11,🐮:11,👣:11,🕑:11,📁:11,🧀:11,🤒:11,☪:11,🌵:11,⛽:11,🤘🏼:10,🐤:10,✏️:10,⚖️:10,📴:10,🆙:10,⌚:10,🇹🇼:10,🏭:10,🙉:10,🤦🏾‍♀️:10,👨‍👩‍👧:10,➰:10,🎗:10,✉️:10,✊🏻:10,🙆:10,ℹ️:10,🚶:10,🪡:10,📰:10,⛓️:10,🗞:10,🤲🏽:10,⛵:10,🧚🏻‍♀️:10,👉🏽:10,👁‍🗨:10,🍟:10,🇦🇪:10,🍽:10,🍸:10,#️⃣:10,🐀:9,🧘:9,🧎:9,9⃣:9,🥤:9,🦔:9,🇾🇪:9,🔽:9,🖖:9,♍:9,🐔:9,🎹:9,👠:9,💴:9,🙀:9,🔈:9,🐵:9,🚘:9,📖:9,🔖:9,🖼:9,🔩:9,👷:9,☔:9,✖️:9,👶:9,🌆:9,🍹:9,🇨🇿:9,🚶‍♀️:9,🖕🏻:9,🏖️:9,🏰:9,🦢:9,▪:9,☹:9,🥞:9,🥭:9,🦯:9,🍬:9,🇮🇩:9,🦥:9,🥜:9,⚰️:9,🛼:9,🎾:9,🗺️:9,🩺:8,⛳:8,⛱️:8,🥩:8,👇🏿:8,⚒️:8,🛌:8,◽:8,🛴:8,⚠:8,🔓:8,🍮:8,🐄:8,📎:8,🧨:8,🐴:8,🏪:8,🎫:8,👩🏻:8,🛍:8,🇰🇪:8,🤲🏾:8,🙋‍♂️:8,🗝️:8,🐙:8,🫀:8,👼🏻:8,🐜:8,🚁:8,🎆:8,🌤️:8,🇨🇱:8,🚬:8,🤌🏼:8,🤌🏾:8,🎻:8,🥸:8,🤟🏻:8,📿:8,🍚:8,🎪:8,🇲🇾:7,◾:7,🧍‍♂️:7,🚿:7,🧚‍♀️:7,🥚:7,🔛:7,®️:7,📳:7,💪🏿:7,🏹:7,🛡️:7,🦌:7,🏃‍♀️:7,📞:7,🔅:7,🛠️:7,🐕‍🦺:7,🧪:7,🐆:7,🦴:7,🤷🏿‍♂️:7,🥧:7,🍦:7,🚓:7,♠:7,🇲🇽:7,🙇‍♀️:7,🆒:7,🗑:7,🐅:7,🌧:7,🧚:7,🦎:7,✊🏽:7,🎗️:7,📡:7,🔧:7,🇵🇷:7,🌋:7,💄:7,📶:7,🗨:7,👊🏾:7,🍣:7,🏏:7,❎:7,🅿️:7,🏅:7,♾️:6,👪:6,👖:6,🏦:6,🧶:6,🌮:6,♐:6,👬:6,💼:6,🙇🏻‍♀️:6,🕺🏾:6,🐛:6,🦀:6,‼:6,🤌🏻:6,👧:6,👮:6,🍤:6,🕳:6,🥘:6,💏:6,🧭:6,🧋:6,👍🏿:6,🎍:6,🎖:6,🦩:6,🦠:6,🧘🏽‍♂️:6,🇵🇱:6,⛩️:6,🎒:6,✊🏼:6,🧳:6,🦧:6,🔎:6
