Language	Count
en	0:744564,1:131758,2:71264,3:31893,4:16346,5:7929,6:13481,7:3312,8:2959,9:1276,10:784,11:465,12:440,13:289,14:302,15:183,16:163,17:118,18:79,19:67,20:161,21:64,22:40,23:23,24:28,25:113,26:40,27:18,28:23,29:14,30:36,31:18,32:10,33:6,34:4,35:7,36:15,37:5,38:5,39:1,40:14,41:7,42:10,43:3,44:1,45:3,46:1,47:2,48:5,49:2,50:5,52:4,53:1,54:1,55:1,56:2,57:1,58:3,60:142,62:13,63:1,64:1,66:1,67:1,68:1,73:1,74:1,75:4,76:2,77:1,81:3,83:1,86:1,89:1,93:2,99:1,102:3,105:1,108:1,121:1,129:1,132:2,135:1
ja	0:354777,1:66214,2:36861,3:24269,4:16648,5:11052,6:6384,7:4289,8:2796,9:2137,10:1265,11:897,12:674,13:319,14:224,15:277,16:193,17:194,18:92,19:56,20:63,21:228,22:60,23:38,24:25,25:40,26:37,27:45,28:31,29:26,30:28,31:9,32:30,33:3,34:10,35:9,36:6,37:5,38:5,39:4,40:8,41:1,42:2,43:2,44:1,45:6,46:1,47:1,48:3,49:2,50:6,51:5,52:45,53:1,54:1,55:3,56:2,57:4,59:1,61:4,62:1,63:3,66:3,67:3,70:1,75:1,81:2,84:1,90:1,92:1,96:1,108:1,109:1,137:1
es	0:207275,1:30151,2:13468,3:7756,4:3823,5:1942,6:1317,7:681,8:541,9:284,10:228,11:146,12:117,13:89,14:54,15:38,16:39,17:35,18:23,19:12,20:11,21:15,22:12,23:6,24:6,25:16,26:8,27:7,28:4,29:1,30:5,31:1,32:3,33:2,34:3,35:2,36:5,37:1,38:4,39:8,40:3,41:2,42:21,43:1,44:1,45:1,46:1,48:1,49:1,52:1,53:1,54:1,56:1,58:1,59:1,63:1,67:1,69:3,73:2,93:1,99:2,100:2,103:1
tr	0:189440,1:9704,2:4259,3:1905,4:1137,5:433,6:428,7:149,8:167,9:66,10:42,11:42,12:56,13:39,14:19,15:7,16:7,17:10,18:7,19:11,20:5,21:6,22:2,23:5,24:12,25:6,26:1,29:2,30:9,38:1,54:1,55:2,60:1
pt	0:144563,1:15832,2:6319,3:3385,4:1613,5:814,6:583,7:325,8:181,9:138,10:114,11:49,12:51,13:46,14:25,15:28,16:23,17:9,18:11,19:7,20:8,21:13,22:28,23:5,24:20,25:4,26:5,27:22,29:5,30:5,31:2,32:5,33:6,35:4,36:3,39:1,40:2,41:1,45:1,49:1,52:1,53:3,60:1,68:1,72:1,74:1,89:1,97:16,99:1,114:1,131:1
und	0:42856,1:24294,2:33311,3:10579,4:20611,5:2649,6:6851,7:885,8:5066,9:485,10:783,11:314,12:200,13:123,14:89,15:53,16:46,17:38,18:22,19:23,20:50,21:25,22:17,23:17,24:41,25:16,26:15,27:14,28:13,29:3,30:16,31:12,32:9,33:6,34:7,35:17,36:23,37:7,38:1,39:10,40:6,41:1,42:3,43:4,44:3,45:3,46:3,47:2,48:6,49:2,50:4,51:1,52:2,53:5,54:2,55:4,56:1,57:3,58:3,59:2,60:3,61:1,62:3,63:6,64:5,65:3,66:1,67:2,68:1,69:1,70:5,71:1,72:6,73:4,74:2,75:1,76:3,78:4,79:1,80:1,81:1,83:2,84:2,85:1,88:1,90:1,91:2,93:3,95:2,96:2,97:1,98:3,99:3,100:2,101:1,102:1,106:2,108:1,112:1,114:1,116:1,117:3,118:2,120:2,121:4,125:1,126:1,128:1,130:3,132:1,134:2,135:3,136:3,138:3,139:11,140:22
ar	0:87353,1:19862,2:10605,3:4850,4:2654,5:2204,6:4241,7:509,8:480,9:1397,10:339,11:110,12:197,13:81,14:63,15:43,16:39,17:37,18:30,19:35,20:19,21:19,22:12,23:16,24:12,25:11,26:13,27:9,28:11,29:10,30:5,31:8,32:2,33:2,34:7,35:8,36:5,37:2,38:11,39:4,40:2,41:6,42:7,43:1,44:2,45:2,46:5,48:5,49:1,51:2,54:2,55:2,56:1,57:1,58:2,60:1,61:2,62:1,63:1,66:1,67:3,70:3,71:1,73:1,77:2,78:1,82:1,90:1,91:1,93:1,94:1,97:2,100:1,108:1,113:1,120:3,129:1,130:1
th	0:97121,1:15327,2:9030,3:4511,4:2410,5:1548,6:856,7:480,8:262,9:179,10:100,11:87,12:48,13:27,14:30,15:19,16:7,17:19,18:15,19:9,20:9,21:10,22:9,24:4,26:1,27:4,30:5,31:1,33:2,34:2,43:4,44:3,65:1,71:1
ko	0:77510,1:10035,2:5081,3:2864,4:1397,5:854,6:421,7:248,8:125,9:92,10:83,11:32,12:17,13:12,14:16,15:4,16:7,17:2,18:1,19:8,20:2,21:3,22:1,23:2,24:1,26:1,27:2,30:1,31:3,34:2,35:1,37:1,38:1,42:2,47:1,48:1,49:1,50:1,53:1,54:1,56:1,64:1,75:1,84:1,85:2,99:1
zxx	0:82369,1:9,2:9,3:4,4:1,5:3,6:1,7:2,9:1
