Day	Hour	Count	Coverage%
2022-10-15	00	149220	100.0
2022-10-15	01	155639	100.0
2022-10-15	02	156903	100.0
2022-10-15	03	161166	100.0
2022-10-15	04	153065	100.0
2022-10-15	05	147200	100.0
2022-10-15	06	153513	100.0
2022-10-15	07	160479	100.0
2022-10-15	08	176291	100.0
2022-10-15	09	208958	100.0
2022-10-15	10	227078	100.0
2022-10-15	11	257434	100.0
2022-10-15	12	245784	100.0
2022-10-15	13	260517	100.0
2022-10-15	14	248520	100.0
2022-10-15	15	240702	100.0
2022-10-15	16	216883	100.0
2022-10-15	17	200307	100.0
2022-10-15	18	179036	100.0
2022-10-15	19	168301	100.0
2022-10-15	20	157818	100.0
2022-10-15	21	150989	100.0
2022-10-15	22	148438	100.0
2022-10-15	23	150549	100.0
