Day	Hour	Count	Coverage%
2022-09-24	00	158715	100.0
2022-09-24	01	159128	100.0
2022-09-24	02	160507	100.0
2022-09-24	03	164595	100.0
2022-09-24	04	151933	100.0
2022-09-24	05	148711	100.0
2022-09-24	06	153517	100.0
2022-09-24	07	161187	100.0
2022-09-24	08	166684	100.0
2022-09-24	09	175993	100.0
2022-09-24	10	189621	100.0
2022-09-24	11	209026	100.0
2022-09-24	12	229557	100.0
2022-09-24	13	243217	100.0
2022-09-24	14	158359	65.25
2022-09-24	15	236339	100.0
2022-09-24	16	210260	100.0
2022-09-24	17	189915	100.0
2022-09-24	18	172836	100.0
2022-09-24	19	161352	100.0
2022-09-24	20	152069	100.0
2022-09-24	21	152803	100.0
2022-09-24	22	150929	100.0
2022-09-24	23	150837	100.0
