Language	Count
en	0:667011,1:120740,2:59489,3:30332,4:14950,5:7750,6:5045,7:3109,8:1647,9:1072,10:760,11:396,12:354,13:247,14:185,15:161,16:379,17:76,18:73,19:33,20:128,21:147,22:41,23:31,24:40,25:59,26:25,27:22,28:24,29:11,30:105,31:17,32:26,33:6,34:3,35:12,36:18,37:4,38:5,39:3,40:11,41:7,42:3,43:1,44:3,45:4,46:4,47:2,48:2,50:4,51:2,52:5,53:4,54:3,55:1,56:6,57:2,60:2,62:3,63:1,67:1,70:1,72:1,80:1,81:2,82:1,90:1,91:3,98:2,99:2,100:1,104:1,135:1
ja	0:319682,1:58668,2:34562,3:22532,4:13973,5:11275,6:6885,7:4541,8:2696,9:2189,10:1275,11:774,12:724,13:368,14:329,15:231,16:205,17:174,18:389,19:127,20:133,21:36,22:46,23:56,24:36,25:21,26:18,27:21,28:8,29:4,30:57,31:15,32:13,33:10,34:5,35:9,36:3,37:11,38:19,39:1,40:10,41:2,42:1,43:16,44:1,45:2,46:1,48:4,49:2,50:9,51:3,52:1,56:2,57:12,58:1,59:3,60:1,65:1,67:3,70:1,73:1,75:2,83:5,84:1,92:1,107:3
es	0:153865,1:23072,2:10607,3:6142,4:2918,5:1523,6:1035,7:611,8:404,9:249,10:211,11:118,12:89,13:66,14:60,15:40,16:38,17:17,18:25,19:24,20:24,21:39,22:15,23:2,24:17,25:7,26:14,27:3,28:10,29:1,30:5,31:4,32:3,33:1,35:2,38:2,39:2,40:1,41:1,42:1,43:2,44:4,45:1,46:1,52:4,54:1,60:1,84:1,94:1
tr	0:152849,1:9022,2:3883,3:1708,4:875,5:396,6:214,7:124,8:102,9:86,10:54,11:21,12:27,13:26,14:35,15:17,16:8,17:4,18:5,20:8,21:5,22:5,23:7,24:3,25:1,26:1,30:4,31:1,32:2,38:2,47:1
th	0:107420,1:18380,2:10678,3:5848,4:3489,5:1601,6:1249,7:613,8:431,9:302,10:177,11:93,12:112,13:70,14:43,15:49,16:34,17:21,18:19,19:9,20:8,21:12,22:3,23:13,24:6,25:2,26:5,27:17,28:4,30:1,32:1,34:3,35:3,38:6,40:1,51:1,60:1
pt	0:120995,1:14005,2:6004,3:2780,4:1488,5:754,6:446,7:223,8:140,9:98,10:71,11:45,12:55,13:22,14:37,15:18,16:18,17:11,18:13,19:12,20:6,21:10,22:4,23:7,24:6,25:2,27:3,28:5,29:1,30:5,32:2,33:1,36:1,38:1,40:3,45:1,46:1,48:1,49:1,50:3,51:1,54:2,60:20,64:4,66:1,67:1,76:1,99:1,133:2
ar	0:84366,1:17024,2:9469,3:4469,4:2336,5:2134,6:4414,7:1581,8:2905,9:1138,10:177,11:134,12:138,13:97,14:389,15:1999,16:1958,17:75,18:1781,19:66,20:33,21:17,22:383,23:29,24:944,25:35,26:15,27:13,28:7,29:11,30:6,31:5,32:2,33:5,34:5,36:6,37:2,38:3,39:5,40:2,41:1,42:5,43:1,44:2,45:2,46:8,47:4,48:6,49:2,51:2,52:4,53:2,54:2,55:4,56:2,57:1,60:4,61:1,62:1,63:1,64:1,65:1,67:1,68:1,70:2,71:1,72:6,73:1,74:2,75:1,77:2,78:3,83:1,84:3,85:6,86:1,91:5,95:1,96:1,97:1,99:1,100:2,104:1,111:1,118:1,123:1,125:1,130:1
und	0:40305,1:21929,2:14031,3:9669,4:4423,5:2889,6:1417,7:772,8:1464,9:331,10:1977,11:240,12:210,13:133,14:486,15:672,16:981,17:32,18:1356,19:32,20:26,21:13,22:417,23:20,24:28,25:14,26:18,27:6,28:9,29:7,30:17,31:8,32:9,33:14,34:5,35:3,36:7,37:3,38:4,39:8,40:5,41:5,42:4,43:2,44:1,45:8,46:4,47:1,48:10,49:2,50:1,51:1,52:1,53:3,54:2,55:1,56:1,57:2,58:1,59:4,60:1,61:1,62:1,63:3,64:1,65:5,66:3,67:3,68:2,70:2,72:5,73:5,75:1,76:1,77:1,78:2,79:2,80:3,81:3,82:2,83:1,84:2,85:8,87:1,88:3,90:1,91:1,93:1,94:3,96:1,99:1,100:2,104:2,106:2,107:1,108:1,110:2,112:1,114:3,116:1,117:2,118:1,120:1,122:1,123:3,124:12,125:1,126:1,127:1,128:1,130:4,132:2,136:1,137:4,138:4,139:6,140:19
ko	0:64784,1:9098,2:5453,3:3699,4:1553,5:1019,6:473,7:318,8:187,9:62,10:62,11:21,12:291,13:12,14:20,15:6,16:5,17:4,18:3,19:4,20:1,21:3,22:3,23:1,25:4,26:1,28:33,29:1,30:2,31:1,32:1,60:1,92:1,137:1
fa	0:68033,1:4245,2:1606,3:671,4:244,5:137,6:86,7:35,8:23,9:16,10:8,11:4,12:7,13:8,14:3,15:3,16:3,17:1,18:13,19:2,20:5,22:2,23:2,24:2,27:1,29:42,31:10,42:1,57:2
