Day	Hour	Count	Coverage%
2022-09-28	00	157582	100.0
2022-09-28	01	162307	100.0
2022-09-28	02	169823	100.0
2022-09-28	03	177785	100.0
2022-09-28	04	156793	100.0
2022-09-28	05	148141	100.0
2022-09-28	06	150764	100.0
2022-09-28	07	151614	100.0
2022-09-28	08	162361	99.778
2022-09-28	09	179987	100.0
2022-09-28	10	195062	100.0
2022-09-28	11	217105	100.0
2022-09-28	12	240317	99.889
2022-09-28	13	181155	72.639
2022-09-28	14	234172	97.0
2022-09-28	15	174051	75.444
2022-09-28	16	210437	99.861
2022-09-28	17	192635	100.0
2022-09-28	18	180775	100.0
2022-09-28	19	172304	100.0
2022-09-28	20	147282	88.444
2022-09-28	21	140862	83.972
2022-09-28	22	171963	100.0
2022-09-28	23	168095	99.472
