Emoji	Count
🔹	475303
🎻	420504
🐔	266066
😭	136439
😂	110991
✨	95944
♦️	84325
🔥	72712
🤣	69912
❤️	58212
✅	44781
🎁	40346
😍	32252
🥺	30446
🙏	29605
🥰	25984
🥹	25246
🎉	25182
‼️	23768
💦	22888
💙	21733
👇	21517
💕	21034
🌟	20965
😊	18297
🤍	18269
👏	17622
👍	15715
💚	15248
💜	15022
❤	13858
🚨	13773
👀	13261
💖	12831
💗	12552
☺️	12521
🖤	12508
😈	12286
😅	12260
♥️	12196
😘	12020
📌	11653
❗	11525
😆	11094
💛	10956
🤔	10900
👉	10243
🥳	10198
📍	10127
😁	10123
🎊	9624
🥲	9566
💥	9454
⭐	9289
🤤	9264
🤭	9016
💰	8979
😳	8952
🌹	8793
🥵	8473
🔵	8468
🌸	8466
📸	8313
🤩	8308
🫶🏻	8283
🔔	8265
🎶	8219
🟩	8039
📢	7898
🚀	7721
😎	7704
💫	7649
😋	7524
🏆	7483
💯	7366
🎾	7325
💪	7321
💔	7293
😉	7182
🎯	7173
🍀	6992
⚡	6951
🫶	6917
🍑	6656
🙌	6652
💀	6626
🇲🇽	6599
1⃣	6536
🫠	6378
❤️‍🔥	6298
💓	6261
😩	6235
😌	6233
😢	6128
📎	6105
😡	6098
🇧🇷	6095
⏰	6084
⬇️	6076
❣️	6033
😔	5998
✌️	5985
🤗	5975
🔴	5973
🎲	5968
👑	5960
👚	5911
🎥	5840
🔗	5793
🙄	5734
😇	5718
⚠️	5718
🌈	5609
💋	5588
☀️	5588
🐶	5539
😏	5533
1️⃣	5526
💞	5499
🐹	5465
📣	5461
🤡	5364
💆🏻‍♂️	5339
🍆	5258
💡	5062
🧡	5003
🐰	4968
🙏🏻	4966
🚩	4854
😱	4845
2⃣	4684
➡️	4503
⬜	4414
▶	4365
😄	4356
🎀	4305
💐	4278
‼	4261
💎	4251
💨	4193
😃	4117
👌	4098
🦋	3955
♻️	3946
📺	3932
🍁	3929
🤝	3888
🎵	3817
😜	3771
2️⃣	3752
🌻	3749
🎂	3704
☕	3680
💸	3591
❌	3583
👏🏻	3511
💘	3487
🙂	3460
🤮	3371
🙈	3370
🤪	3355
👅	3351
😀	3323
🫣	3307
👇🏻	3200
♥	3180
🌱	3122
🌷	3087
▶️	3056
⬛	3036
🍙	2989
🔻	2953
🐱	2933
🤯	2915
🌼	2878
🌙	2862
🍇	2857
🤲	2824
🍓	2816
⚽	2816
🌿	2780
✔️	2769
⁉️	2743
🇺🇸	2740
🇸🇦	2730
🎬	2697
🌺	2671
☑️	2663
🥴	2646
🇹🇷	2633
🫡	2591
