Emoji	Count
😭	199041
😂	120962
🔥	96901
✨	96180
🤣	82852
❤️	62771
✅	62326
🕓	55026
🥺	40740
💥	38451
🥹	37392
🔗	37258
🎁	36308
🌀	35892
😍	34282
🔰	32578
🕔	31819
🥰	31325
🙏	31101
‼️	28726
🤍	26743
🎉	26556
💙	25632
💦	24997
💕	24344
😊	23850
📯	22629
👇	22415
👍	21442
💜	20615
🌟	19856
💚	17583
💖	15720
💛	15660
👏	15637
☺️	15424
💗	14457
👀	14214
⚡	14149
❤	14113
😅	14061
❗	13832
🔹	13677
😆	13552
🚀	13305
📍	13245
😈	13239
♥️	12884
🚨	12757
🖤	12640
🫶🏻	12588
♻	12487
😘	12200
🤔	11685
🥲	11663
😁	11343
🥳	11326
🏣	11237
😳	10943
👉	10939
🏆	10888
🟦	10823
🔴	10560
🤭	10511
🤤	9876
🤡	9856
❤️‍🔥	9544
📌	9541
🫶	9392
🌹	9368
🥵	9336
💰	9234
💪	8964
💀	8721
⭐	8646
😎	8641
🫠	8622
🤩	8486
💯	8439
💔	8420
🔠	8404
😋	8305
🎨	7973
🐺	7747
😉	7686
💓	7670
2️⃣	7499
❣️	7315
🌸	7281
📸	7246
🔵	7153
🎃	7031
😌	7023
🍓	7013
🎥	6987
🍀	6958
😔	6870
😢	6829
🙌	6795
💞	6794
🎶	6753
1️⃣	6667
👑	6594
😇	6589
🤗	6540
🔔	6471
🎯	6352
📢	6336
🗼	6317
⬇️	6216
📲	6208
⚽	6204
😱	6169
☀️	6078
🍆	5862
🌈	5849
✌️	5840
😩	5818
💫	5787
🇧🇷	5779
😡	5738
😏	5680
💋	5674
🎊	5626
🐰	5595
🎢	5594
⚠️	5569
🙏🏻	5566
🙄	5544
🍑	5520
🧡	5495
💆🏻‍♂️	5462
🕐	5345
💎	5337
⏰	5302
✔	5293
1⃣	5251
🟩	5178
🎂	4906
➡️	4871
🤮	4870
📺	4791
😄	4758
❌	4725
👏🏻	4666
🐶	4652
‼	4635
💸	4499
🎀	4453
👌	4428
♻️	4409
💐	4394
📣	4368
♥	4258
🍁	4118
😀	4052
🫣	4028
👻	4026
😃	4005
🚩	3995
🤪	3977
😜	3949
3️⃣	3919
☕	3910
🐱	3886
💏	3881
🎵	3863
💌	3803
👇🏻	3760
🐻	3753
🤯	3700
💘	3699
🔷	3626
❕	3524
🤝	3505
🌷	3449
🦋	3401
🙈	3382
🙂	3371
👍🏻	3365
⬜	3343
👅	3269
🌺	3120
🫡	3061
🤬	3035
😹	2996
🌿	2973
🌻	2968
▶	2940
😻	2939
👊	2935
📱	2926
🍒	2924
📨	2920
🇪🇹	2833
▶️	2826
🐬	2825
2⃣	2791
⚪	2760
⁉️	2750
🔞	2747
😫	2728
🙇‍♀️	2678
🍔	2677
🍂	2658
🔁	2640
💢	2632
🙃	2612
😤	2580
🎈	2534
💭	2512
🌙	2509
👋	2492
💨	2469
😮‍💨	2466
🤫	2451
🟥	2451
🔻	2451
🐥	2446
😝	2445
🙇‍♂️	2433
5️⃣	2432
⭕	2424
🙌🏻	2416
🇺🇸	2410
✔️	2409
🤧	2405
✊	2369
😞	2361
🐹	2357
🥴	2354
😬	2338
❓	2331
🟡	2316
🌼	2310
☺	2308
🐯	2306
㊗️	2304
🤲	2302
4️⃣	2296
👈	2291
🌞	2272
🇪🇷	2249
🔽	2206
🔮	2201
💬	2201
▪️	2152
😵‍💫	2151
🐈	2142
✌🏻	2118
🥇	2104
🫶🏼	2092
🌊	2078
💃	2056
🐾	2053
🦊	2046
☀	2026
🏮	2024
😒	2022
🟨	1994
🏝	1988
😚	1984
🫧	1983
🇸🇦	1981
👉🏻	1977
⚫	1953
🎬	1916
0⃣	1893
3⃣	1892
❤️‍🩹	1883
😴	1872
🟠	1858
🌱	1849
⬛	1848
🍊	1845
🤨	1821
🤢	1815
😛	1797
✌	1796
➖	1789
💵	1787
🐙	1782
📷	1780
🧸	1775
🇺🇦	1767
🗣️	1762
🤑	1760
🔄	1760
🫂	1755
🥶	1755
🐷	1743
🎤	1734
☁️	1726
✈️	1716
🤏🏻	1711
🟢	1690
🗣	1687
🍃	1674
💝	1665
☹️	1663
🤎	1657
