Day	Hour	Count	Coverage%
2022-10-16	00	152798	100.0
2022-10-16	01	157489	100.0
2022-10-16	02	166102	100.0
2022-10-16	03	169222	100.0
2022-10-16	04	162362	100.0
2022-10-16	05	158397	100.0
2022-10-16	06	160348	100.0
2022-10-16	07	160365	100.0
2022-10-16	08	170417	100.0
2022-10-16	09	177700	100.0
2022-10-16	10	189546	100.0
2022-10-16	11	208394	100.0
2022-10-16	12	228583	100.0
2022-10-16	13	240656	100.0
2022-10-16	14	246282	100.0
2022-10-16	15	243147	100.0
2022-10-16	16	221666	100.0
2022-10-16	17	198381	100.0
2022-10-16	18	177578	100.0
2022-10-16	19	169881	100.0
2022-10-16	20	165549	100.0
2022-10-16	21	158745	100.0
2022-10-16	22	163276	100.0
2022-10-16	23	164418	100.0
