Value	Count
Twitter for Android	1897962
Twitter for iPhone	1574560
Twitter Web App	587113
Twitter for iPad	95851
twittbot.net	47573
Twitter for Mac	45052
TweetDeck	28421
Cheap Bots, Done Quick!	9903
WordPress.com	5253
Botbird tweets	5196
Microsoft Power Platform	4629
Twitter	4421
グランブルー ファンタジー	4257
BelugaCampaignSEA	3484
Twittascope	2504
Twitter Web Client	2398
IFTTT	2363
Twitcom - Comunidades 	2303
Echofon  Android	2284
dlvr.it	2257
Instagram	2197
Shuttlerock - Bluebird	1900
OWNLY Admin	1864
fllwrs	1810
Tweetbot for iΟS	1657
Echoes Act2	1583
Karabiner	1149
Twittt.com	1126
Hootsuite Inc.	1111
Nintendo Switch Share	1057
feather for iOS  	971
PlayStation®Network	964
Arrow.	910
TwitPane for Android	868
Twiit.com	808
TwitCasting	734
Echofon	734
Twitter Media Studio	696
ATELU for Twitter	646
SocialDog for Twitter	633
Radio.co now playing	623
Buffer	566
やさしい世界を目指すマシュマロちゃん	550
twitcle plus	520
ツイタマ for Android	518
Poshmark	504
Peing	496
TweetCaster for Android	488
Tween	477
TwitPanePlus	458
Plume for Android	444
今日のツイライフ	438
Mirrativ	426
ツイタマ+ for Android	420
Twidere for Android	397
MixChannel - ミクチャ	389
Revive Social App	362
Twitterrific for iOS	355
Tweetlogix	342
Echobox	320
Foursquare	313
Cubi.so	307
livedoor Blog	305
Sprout Social	302
TweetDeck Web App	280
Radio King LiveTweet	270
Tabtter Free	267
ツイ廃あらーと	226
Streamlabs Twitter	218
Airtime Pro	218
The Social Jukebox	215
Sprinklr	212
SocialBee.io v2	210
Camtsuku	202
Janetter for Android	199
on TheWorld	197
Paper.li	194
Janetter	191
SocialFlow	190
BoxFresh	189
Zapier.com	188
Twitter for Advertisers	187
Spinitron Playlists	185
zabuu_site	182
SocialNewsDesk	181
Weathercloud	180
Tumblr	178
Hotpepper	170
Hel2um on iOS	170
TestsForSearch	167
Rakuten Group, Inc.	163
Foursquare Swarm	157
fusetter	156
SAM Broadcaster Song Info	155
LinkedIn	153
懸賞ファン	148
SHOWROOM-LIVE	147
Janetter iOS	147
SocialPilot.co	144
stafsmoketest	136
Fenix 2	130
CareerArc 2.0	130
Tweetbot for Mac	129
Untappd	127
iembot	120
Tweecha Lite	120
SocialOomph	120
codedailybot	119
Affinitweet.com	114
SobaCha	113
Make (formerly Integromat)	112
feather free for iOS 	111
Tweecha2 for Android	110
Talon Android	110
Blog2Social APP	109
StreamElements	107
jigtwi	106
Brand Info	105
Twitter Hindi Bot	102
MSG Lover	101
Metricool	100
Janetter Pro for Android	100
ニコニコ ニコレポ連携	97
ツイ廃ジャー	95
Pococha	95
Flamingo for Android	93
MateCha	92
Biyon≡(　ε:) Pro	91
Typefully	90
SAM Broadcaster Cloud	89
Hypefury	89
AbemaTV	85
twitcle plus for iOS	84
SocialRabbit Plugin	84
KuroTwi	81
Unfollowspy	80
LaterMedia	80
BIGO LIVE	79
Weather Display Tweet	76
ツイプロ(twpro)	75
Tweet Hunter Pro	73
TheWorld iOS	72
Dynamic Tweets	72
RTWIN	71
Funny apps:)	71
CORE ListingMachine	71
Meteobridge	70
BotFrens.com	70
tweechaPrime	67
Postcron App	67
Hopscotch Social	67
Biyon Lite Ver	67
Tweecha2 for iOS	64
The Tweeted Times	64
Xbox One Social	62
TwinyBots	61
Periscope	61
ContentStudio.io	61
True Anthem	60
Salesforce - Social Studio	60
OneDirect Suite - P	59
はてな / Hatena	57
Tweet Suite	57
RadioToolBox song tweet	57
NekoTwi!	57
Goodreads	57
Gauge Map UK Tweeter	57
Sprinklr Publishing	56
SocialChamp IO 	55
Yukari for Android	54
Khoros CX	54
Joytter	54
FS-Poster-App	54
Besocy_Oficial	54
エタクロニクル	53
hamoooooon	53
Twitter_bot_service	53
JobsViaTweet	53
FS_Poster_App	53
Sendible	52
ツイタマ	50
pbnot	50
TheWeb3Bot	50
EnterEnter	50
_screenshoter	49
Tweet Old Post	48
ThingTweet	48
ReUs Atsumoritter	48
Janetter Pro for iPhone	48
sichimensoka	47
ausverkauf.eu	47
Remind Me Of This	47
LINE LIVE app	46
Twitter Media Studio - LiveCut	45
Pattr	45
NovaPress	45
eClincher	44
LopLop985	44
GroupTweet	44
Agorapulse app	44
Video Downloader Bot	43
ArtPal	43
Amplifr	43
Zoho Social	42
Twitter for RPW	42
PlaneAlerter	42
MixLive Now Playing Info	42
診断メーカー shindanmaker.com	41
総合サービス ツイボット	41
تطبيق تدبُّر	41
sweet_caramel	41
Rate Tweeter	41
GetVideoBot	41
Evertale Official	41
wiwiwififi	40
erased9353731	40
YoruFukurou	40
Togetter / min.t	40
ThreadReaderApp	40
bonus tool	39
Zlappo.com	39
Verint Messaging	39
TwitterCast by FastCast4u	39
Bot Reply 2	39
ramis orloe	38
Twitter for Yoo Seung-ho	38
Clickasnap	38
Bronew2	38
ニコニコ生放送アプリ	37
غرّد بالقرآن	37
TRE - The Radio Experience	37
Radiologik DJ	37
Mixcloud	37
HD Stream	37
ADANALI	37
Twitt-RP	36
Tweet Nowhere	36
Suas Visitass.	36
SmartNews | スマートニュース	36
RTWIN-adsAPI	36
Qualtrics Social Connect	36
Pixabay Member	36
Mailchimp	36
BlastIndieTweetcast	36
Airtable Automations	36
Pony Pics Bots	35
Loomly	35
Just Space Bot	35
ERWIe	35
ふわっち	34
pixiv: Post to Twitter	34
f o l l o w m a n i a	34
UpStader	34
Python Bot by PM	34
AniList.co	34
7ml_vid	34
wordpress for twitter	33
tweecha for android	33
iWantClips	33
amazon_search_api	33
abnormal_crypto_app	33
Squarder	33
FC2 Blog Notify	33
Canada Weather	33
Astu-standalone	33
ねぎっぷる（ミク専用）	32
yoshikibot2	32
test_and_live	32
munchycoke	32
Yonis-Prod-app	32
Twitttimer	32
Twitter for Razer Toaster™      	32
TV Time, TV show tracker	32
PostPickr	32
Post Studio	32
Locobuzz CX	32
Likeabirdapps on Twitter	32
HubSpot	32
Genesys Social Engagement.	32
Astu-Dev	32
ポケパラTwitter連携	31
xael bot	31
wp for twitter app7	31
MeetEdgar	31
Developed with ♥ by @Fran_Induni	31
All Files & News	31
ニコニコ動画 (ニコニコ)	30
تغريدات الاذان	30
bULmAXA	30
SirpıM	30
OnlyFans	30
Kueez Metrics	30
IRIAM	30
Etsy	30
Emplifi	30
Ask.fm	30
Abera-dev	30
4k Planet Stream 3	30
UlOPkD	29
SmarterQueue	29
Deme-steg	29
DDLVid Bot	29
4k Planet Stream 2	29
tanoshiku7ikiru_App	28
rstats2twitter	28
on TheWorld iOS	28
Zendesk	28
Twittimer	28
OxfordBlue-Twitter	28
Moon #3	28
MeteoWare Plus+	28
Manchi-4G	28
HD Stream 1	28
Efolimw	28
CoSchedule	28
Buku online	28
Back At You	28
なうぷれTunes	27
rankingko	27
Studyplus	27
SaweUje	27
QaberUyrs	27
NFTcolumn Bot	27
Movatter	27
KoolIol	27
Freshdesk	27
Eshe-prod	27
 世界最強の顔採点大診断 ！	27
読書メーター	26
找到了	26
ラブレター	26
Оwly	26
pre-sengokuhyakkaden	26
goaidev	26
TheWorld Pro	26
TW Blue	26
SeesaaBlog	26
Re:ゼロから始める異世界生活 INFINITY	26
FusionXYZ	26
      あなたの顔採点   	26
virtual tweet client	25
meikendle	25
Sprinklr Care	25
RemindMeOf_ThisBot	25
