Day	Hour	Count	Coverage%
2022-09-18	00	147500	100.0
2022-09-18	01	152923	100.0
2022-09-18	02	153512	100.0
2022-09-18	03	156095	100.0
2022-09-18	04	147817	100.0
2022-09-18	05	143138	100.0
2022-09-18	06	146315	100.0
2022-09-18	07	151415	100.0
2022-09-18	08	153974	100.0
2022-09-18	09	160891	100.0
2022-09-18	10	180147	100.0
2022-09-18	11	194682	100.0
2022-09-18	12	205456	100.0
2022-09-18	13	219410	100.0
2022-09-18	14	218073	100.0
2022-09-18	15	219204	100.0
2022-09-18	16	200583	100.0
2022-09-18	17	183484	100.0
2022-09-18	18	173916	100.0
2022-09-18	19	171924	100.0
2022-09-18	20	164316	100.0
2022-09-18	21	158387	100.0
2022-09-18	22	151667	100.0
2022-09-18	23	151425	100.0
