Day	Hour	Count	Coverage%
2022-09-12	00	149344	100.0
2022-09-12	01	151277	100.0
2022-09-12	02	155267	100.0
2022-09-12	03	166714	100.0
2022-09-12	04	143705	100.0
2022-09-12	05	136017	100.0
2022-09-12	06	134361	100.0
2022-09-12	07	135214	100.0
2022-09-12	08	145423	100.0
2022-09-12	09	157213	100.0
2022-09-12	10	170551	100.0
2022-09-12	11	186940	100.0
2022-09-12	12	199352	100.0
2022-09-12	13	215818	100.0
2022-09-12	14	216005	100.0
2022-09-12	15	221018	100.0
2022-09-12	16	199854	100.0
2022-09-12	17	179317	100.0
2022-09-12	18	166572	100.0
2022-09-12	19	155465	100.0
2022-09-12	20	152200	100.0
2022-09-12	21	151501	100.0
2022-09-12	22	157629	100.0
2022-09-12	23	158274	100.0
