Day	Hour	Count	Coverage%
2022-10-04	00	169066	100.0
2022-10-04	01	173403	100.0
2022-10-04	02	170960	100.0
2022-10-04	03	182808	100.0
2022-10-04	04	157287	100.0
2022-10-04	05	150925	100.0
2022-10-04	06	149900	100.0
2022-10-04	07	153686	100.0
2022-10-04	08	168689	100.0
2022-10-04	09	192156	100.0
2022-10-04	10	205940	100.0
2022-10-04	11	226495	100.0
2022-10-04	12	243608	100.0
2022-10-04	13	249392	100.0
2022-10-04	14	248772	100.0
2022-10-04	15	241737	99.444
2022-10-04	16	222140	100.0
2022-10-04	17	205620	100.0
2022-10-04	18	189484	100.0
2022-10-04	19	184192	100.0
2022-10-04	20	175391	100.0
2022-10-04	21	173446	100.0
2022-10-04	22	127269	75.583
2022-10-04	23	171237	100.0
