Emoji	Count
🌀	735374
✨	409329
♻️	360922
🔹	300371
🟦	271722
🔥	215779
➖	201656
🔵	186438
❄️	180665
✅	177968
🕥	147250
😭	139608
🔷	139101
😂	124003
‼️	114385
🔰	109306
🤣	77801
❤️	57377
💺	55480
🎁	40799
🎉	33158
🙏	30378
🥺	30334
😍	30253
💦	27366
👇	26396
🥰	26191
💕	25729
🥹	24956
💙	24342
🌟	21839
💜	20558
🤍	19722
💚	19291
😊	18533
🚨	18514
👏	18225
👍	18221
❤	17968
💗	17047
👀	16279
💖	16029
🐟	14961
👉	14607
📍	14484
📌	14115
😈	13632
💛	13418
♥️	13278
💥	13244
🌹	13236
💰	13193
😅	12890
🏆	12870
🍵	12328
🔴	12026
💔	11940
🔻	11869
☺️	11832
😘	11822
🎊	11816
🔔	11641
🤔	11473
💀	11352
🌸	11175
🖤	11065
😆	10835
💯	10796
❗	10763
😁	10576
🎂	10555
🍀	10516
💪	10395
🥳	10382
💎	10309
📢	10245
💫	10212
🥲	10118
💓	10013
🎶	9960
💞	9894
🤭	9859
🤤	9631
🎥	9416
😳	9322
⭐	9048
🎯	9006
👑	9000
🫶🏻	8954
🎃	8822
🔗	8813
🍆	8803
1⃣	8788
💋	8663
🌈	8530
🚀	8496
🐰	8432
🥵	8400
💐	8383
🍁	8281
🍑	8220
🐶	8050
😋	8003
📣	7934
👌	7915
😎	7865
🎀	7844
📸	7638
🤩	7619
🌷	7393
💸	7385
⚡	7321
🎹	7320
😉	7306
🫶	7302
📺	7288
1️⃣	7087
🌂	7074
🗼	7000
🌿	6901
📲	6893
👅	6870
😔	6760
❣️	6730
🐱	6642
👋	6629
🤗	6601
❤️‍🔥	6594
💘	6589
👻	6565
🌺	6525
🌻	6510
💌	6502
😇	6488
🟩	6435
⬇️	6422
🎵	6306
⚠️	6271
🫠	6270
🍫	6254
🙌	6212
🐷	6143
🇧🇷	6134
👊	6125
🎬	6112
🌙	6050
😌	6023
🌱	5904
😩	5898
🔸	5894
📱	5894
🔞	5882
🔁	5870
🌞	5840
🌼	5815
🐯	5813
💢	5788
💬	5786
💃	5748
🐾	5700
💝	5684
2️⃣	5677
🧡	5676
🙏🏻	5675
🏮	5666
💨	5665
⚽	5623
🌊	5622
💭	5600
🍂	5597
🙄	5579
🤡	5577
😱	5564
🐻	5555
☀️	5536
📈	5535
😏	5517
😢	5511
🔺	5511
🍓	5462
🍒	5450
💩	5434
➡️	5430
🐈	5420
🎤	5373
💵	5372
💧	5271
⏰	5258
👈	5234
🎧	5230
😡	5217
🍃	5194
📷	5190
🎈	5175
🔳	5164
💡	5085
🐺	5043
🔄	5030
🐥	5022
👼	5019
📝	4985
✌️	4980
🍷	4952
🍎	4870
🍌	4868
🐹	4854
🍻	4826
💠	4814
📅	4807
🍯	4794
💤	4763
🔮	4758
🍬	4739
📩	4738
🎨	4729
👆	4727
🐣	4717
🌴	4710
🍺	4689
🍕	4666
🐧	4623
🔊	4604
🍠	4577
🍊	4561
‼	4543
💟	4535
🐍	4519
❌	4478
📖	4476
👾	4476
🔃	4474
🔶	4453
🌐	4450
💣	4448
🎫	4447
