Value	Count
Twitter for Android	2004557
Twitter for iPhone	1543333
Twitter Web App	631832
Twitter for iPad	72274
Twitter for Mac	69829
twittbot.net	50020
TweetDeck	20953
Cheap Bots, Done Quick!	9872
WordPress.com	6751
Echofon  Android	5624
Botbird tweets	5173
Twitter	4878
グランブルー ファンタジー	4670
Microsoft Power Platform	4535
IFTTT	3250
dlvr.it	3242
BelugaCampaignSEA	2915
Twittascope	2398
Twitcom - Comunidades 	2398
Instagram	2208
Hootsuite Inc.	1980
fllwrs	1954
Shuttlerock - Bluebird	1605
Peing	1522
Tweetbot for iΟS	1402
OWNLY Admin	1236
Echoes Act2	1025
Buffer	956
Pattr	933
feather for iOS  	899
Nintendo Switch Share	899
PlayStation®Network	849
Tweets v2.1	802
TwitPane for Android	744
SocialDog for Twitter	678
Twiit.com	616
Echofon	611
Twitter Media Studio	605
Sprout Social	569
やさしい世界を目指すマシュマロちゃん	567
Echobox	563
Twittt.com	529
Cercanías Avisos	520
TwitCasting	500
Radio.co now playing	465
 「モンストからツイート」	464
Poshmark	442
twitcle plus	416
Mirrativ	411
ツイタマ for Android	408
Revive Social App	383
Arrow.	382
MixChannel - ミクチャ	369
SocialFlow	350
TwitPanePlus	341
ツイタマ+ for Android	336
Sprinklr	326
Tween	318
今日のツイライフ	316
Twitterrific for iOS	315
TweetCaster for Android	307
SocialNewsDesk	296
TweetDeck Web App	287
Tweetlogix	282
LinkedIn	276
Twidere for Android	274
BoiteCampaignTool	265
Zapier.com	263
The Social Jukebox	261
Camtsuku	260
Cubi.so	258
Airtime Pro	257
livedoor Blog	252
Twitter Web Client	235
SocialPilot.co	233
SocialBee.io v2	233
Twitter for Advertisers	227
Radio King LiveTweet	227
ツイ廃あらーと	220
Paper.li	218
Tabtter Free	211
Streamlabs Twitter	210
RTWIN	196
Rakuten Group, Inc.	188
Blue Robot	186
Karabiner	185
Metricool	177
BuzzCloud Twitter App	177
Tweetbot for Mac	175
Hotpepper	173
Tumblr	172
TestsForSearch	163
Blog2Social APP	161
Hypefury	160
SAM Broadcaster Song Info	158
Plume for Android	157
HubSpot	154
zabuu_site	153
CareerArc 2.0	149
LaterMedia	148
on TheWorld	145
