Language	Count
en	0:844529,1:156552,2:80130,3:39463,4:21347,5:10164,6:8331,7:3757,8:3216,9:1680,10:1158,11:805,12:806,13:359,14:374,15:285,16:267,17:196,18:261,19:90,20:176,21:65,22:48,23:55,24:50,25:97,26:46,27:30,28:34,29:29,30:68,31:17,32:18,33:15,34:44,35:19,36:8,37:15,38:8,39:10,40:7,41:4,42:13,43:4,44:2,45:4,46:4,47:7,48:4,49:2,50:6,51:16,52:2,54:6,56:3,57:2,58:2,59:1,60:2,63:2,64:1,65:6,68:1,69:2,70:2,71:2,72:1,75:1,76:1,78:1,79:1,80:4,82:1,83:1,84:2,88:1,89:12,94:1,95:2,98:2,99:3,101:1,107:1,108:4,114:1,118:1,121:1,122:1,123:1,125:1,130:1,134:1
ja	0:515417,1:92516,2:51767,3:33641,4:22485,5:14480,6:10417,7:6408,8:4105,9:2911,10:2228,11:1264,12:862,13:869,14:448,15:321,16:234,17:231,18:201,19:116,20:152,21:161,22:164,23:53,24:51,25:108,26:50,27:27,28:74,29:23,30:23,31:14,32:16,33:15,34:18,35:33,36:28,37:34,38:12,39:7,40:14,41:5,42:3,43:2,44:2,45:1,46:4,47:1,48:2,49:2,50:23,51:1,52:1,53:1,54:2,55:4,58:2,59:1,60:1,61:1,65:2,67:3,68:1,70:1,71:1,73:1,75:1,79:1,80:1,82:1,90:4,95:1,102:9,103:1,109:4,111:1,118:1,135:1
und	0:86161,1:30099,2:19128,3:13033,4:10067,5:3819,6:78159,7:4802,8:22305,9:7369,10:37986,11:2026,12:2256,13:176,14:152,15:106,16:8635,17:130,18:717,19:1797,20:3348,21:3822,22:3344,23:1677,24:592,25:39,26:41,27:34,28:34,29:12,30:19,31:3,32:8,33:16,34:12,35:7,36:15,37:5,38:7,39:10,40:7,41:8,42:14,43:2,44:4,45:7,46:3,48:11,49:2,50:5,51:2,52:8,53:4,54:4,55:6,56:3,57:8,59:4,60:7,61:1,63:11,64:6,65:6,66:5,67:1,68:2,70:6,71:1,72:6,73:3,75:3,76:4,78:8,80:2,81:3,82:1,83:3,84:4,85:2,86:4,88:1,89:3,90:3,91:4,94:2,95:1,96:2,97:1,98:2,99:3,100:1,101:1,102:2,103:3,104:4,105:1,106:1,107:1,108:2,109:1,110:1,112:2,113:1,114:1,116:1,117:3,118:2,119:3,120:3,121:2,123:24,125:2,127:3,128:1,129:1,130:9,131:1,132:3,134:1,135:3,136:3,137:3,138:4,139:7,140:23
es	0:182765,1:27612,2:13340,3:8238,4:3903,5:2004,6:1271,7:715,8:507,9:298,10:276,11:131,12:130,13:108,14:75,15:55,16:39,17:38,18:27,19:19,20:18,21:16,22:14,23:7,24:10,25:11,26:6,27:38,28:12,29:5,30:3,31:8,32:4,33:12,34:3,35:1,36:1,37:4,38:2,40:2,41:1,43:5,44:1,45:1,46:1,48:4,49:1,52:1,53:1,55:1,56:2,57:1,61:1,62:2,66:2,69:1,73:48,83:1,85:1,96:2,99:1
ar	0:107596,1:22338,2:12159,3:6158,4:8682,5:2535,6:16512,7:1449,8:14985,9:17617,10:2348,11:1831,12:1797,13:181,14:114,15:121,16:11577,17:302,18:794,19:482,20:778,21:907,22:753,23:388,24:146,25:16,26:12,27:15,28:5,29:17,30:11,31:7,32:4,33:6,34:9,35:6,36:12,37:8,38:2,39:4,40:4,41:6,42:4,43:10,44:2,45:1,46:4,48:4,49:2,50:6,51:2,52:2,54:4,55:3,56:2,59:3,61:7,63:2,64:4,65:5,66:1,68:6,69:3,70:2,72:2,73:2,74:1,75:1,77:1,78:2,79:2,81:4,83:2,85:1,90:1,91:2,93:1,97:2,98:1,100:2,101:1,104:1,108:1,110:1,112:1,116:2,117:1,118:1,125:1,129:1,130:2,134:1
tr	0:203771,1:13390,2:6679,3:2793,4:1427,5:642,6:519,7:224,8:135,9:191,10:89,11:47,12:54,13:61,14:23,15:16,16:15,17:9,18:5,19:2,20:6,21:6,22:3,23:1,24:4,25:6,26:3,27:1,28:1,30:2,32:1,33:5,34:1,37:1,42:2,58:2,71:1,72:1,88:1,133:1
th	0:147089,1:24386,2:16637,3:8221,4:4167,5:2231,6:1725,7:926,8:478,9:462,10:379,11:188,12:280,13:138,14:74,15:51,16:34,17:21,18:41,19:21,20:7,21:9,22:37,23:35,24:40,25:2,26:1,27:10,28:6,29:14,31:2,32:1,33:2,37:2,40:1,48:1,50:1,51:4,60:1,78:1
pt	0:156010,1:18138,2:7805,3:4892,4:2423,5:1094,6:896,7:558,8:296,9:192,10:125,11:136,12:147,13:90,14:51,15:114,16:30,17:43,18:24,19:16,20:16,21:11,22:5,23:2,24:10,25:8,26:17,27:14,28:6,29:9,30:6,31:5,32:1,33:33,34:5,35:2,36:1,37:5,39:34,40:1,42:2,44:3,45:1,47:1,48:1,49:6,54:1,55:1,56:6,58:1,59:1,60:1,61:1,63:1,69:1,71:1,75:1,77:1,84:1,95:2,107:1,113:1,118:1,129:1,133:1
fa	0:134512,1:8296,2:3589,3:1410,4:387,5:222,6:162,7:44,8:25,9:34,10:18,11:8,12:5,13:1,14:9,15:2,16:1,17:23,18:3,20:29,22:1,23:1,26:2,28:1,31:1,38:2,39:5,53:1
ko	0:99927,1:14076,2:7436,3:3676,4:1929,5:998,6:766,7:355,8:341,9:96,10:73,11:54,12:32,13:18,14:42,15:6,16:3,17:7,18:6,19:4,20:2,21:7,22:7,23:7,24:3,25:3,27:2,29:3,30:1,31:2,35:1,36:1,37:2,38:1,45:2,60:1,66:2,67:1,77:1,124:1
in	0:70033,1:15881,2:6831,3:3392,4:1645,5:823,6:505,7:273,8:174,9:110,10:64,11:48,12:34,13:17,14:14,15:7,16:10,17:5,18:5,20:4,21:4,22:3,23:2,24:3,25:1,26:2,27:1,28:3,30:2,31:2,32:2,35:1,36:2,38:1,40:1,62:1,80:1,82:1,95:1,110:1
zxx	0:96511,1:7,2:9,3:2,4:1,5:2,12:1
qme	0:69702,1:10,2:3,3:3,4:1,5:1,6:1,7:1,9:1
fr	0:40718,1:6466,2:2858,3:1466,4:718,5:403,6:195,7:128,8:70,9:27,10:29,11:15,12:19,13:10,14:7,15:7,16:9,17:4,18:6,19:2,21:2,23:1,24:3,25:2,26:1,27:1,28:1,29:1,31:1,33:1,36:1,37:1,46:1,49:1,51:2,55:1
hi	0:32649,1:4368,2:2349,3:1109,4:619,5:263,6:248,7:108,8:96,9:60,10:43,11:20,12:36,13:19,14:23,15:16,16:15,17:10,18:4,19:6,20:9,21:1,22:9,23:1,24:3,25:1,26:5,27:1,29:1,30:2,32:2,33:4,36:1,37:1,38:1,40:1,46:1,47:1,48:1,52:1,53:1
ur	0:30780,1:2495,2:1495,3:677,4:316,5:104,6:1111,7:45,8:446,9:41,10:17,11:9,12:13,13:5,14:6,15:1,16:1,17:2,18:3,19:1,32:1,60:1,130:1
tl	0:22915,1:5747,2:2691,3:1632,4:576,5:299,6:152,7:75,8:57,9:36,10:24,11:13,12:12,13:5,14:6,15:6,16:4,17:10,18:1,20:3,21:4,24:7,25:3,26:1,28:2,29:2,33:2,36:1,37:1
zh	0:18682,1:4024,2:1747,3:933,4:557,5:438,6:174,7:81,8:59,9:23,10:25,11:15,12:15,13:7,14:7,16:8,17:2,19:6,21:1,24:2,28:2,31:1,32:4,38:1
it	0:16337,1:2096,2:1042,3:503,4:249,5:122,6:88,7:57,8:46,9:24,10:11,11:18,12:14,13:8,14:3,15:3,16:2,17:2,18:1,19:4,20:2,21:1,22:1,24:1,25:2,29:2,30:1,31:1,32:1,34:2,37:1,42:1,49:1,62:1,120:1
de	0:15445,1:2342,2:797,3:442,4:206,5:92,6:68,7:39,8:21,9:26,10:8,11:7,12:4,13:5,14:3,15:3,16:1,17:1,18:5,21:1,24:1,25:2,30:1,33:1,34:1,35:1,36:1,48:1,70:1
ca	0:5617,1:727,2:349,3:150,4:148,5:77,6:5276,7:512,8:6472,9:10,10:2,11:2,12:9,13:8,14:11,15:7,16:32,18:1,20:1,22:2,26:2,35:1,36:2
qam	0:16025
ru	0:10471,1:1130,2:369,3:263,4:84,5:60,6:22,7:20,8:15,9:10,10:3,11:2,12:6,13:2,14:1,20:5,22:1,26:1,34:1,35:1,39:1,41:1,66:2,121:1,122:1
pl	0:9420,1:1383,2:466,3:302,4:129,5:114,6:41,7:19,8:24,9:7,10:5,11:6,12:3,14:3,15:1,16:1,17:2,18:1,19:1,20:1,26:1,28:1,41:1,47:1,105:1,112:1,133:1
nl	0:8100,1:976,2:409,3:175,4:76,5:38,6:27,7:16,8:8,9:10,10:2,11:4,12:2,13:3,16:1,20:3,21:1,27:1,57:1
art	0:38,1:2904,2:1571,3:1662,4:855,5:564,6:317,7:170,8:128,9:124,10:76,11:56,12:47,13:44,14:23,15:10,16:9,17:6,18:7,19:3,20:6,21:5,22:12,23:6,24:5,25:1,26:5,27:2,28:2,29:3,30:1,31:3,33:2,34:1,36:9,37:2,38:2,39:3,40:2,42:3,43:1,45:2,48:2,50:1,55:1,56:5,57:1,60:4,63:14,64:1,69:2,70:3,72:2,73:1,80:1,84:2,89:1,90:1,91:1,92:1,104:1,110:2,117:1,121:2,122:1,123:4,125:2,126:2,137:1,139:1,140:6
et	0:5592,1:1405,2:658,3:406,4:206,5:98,6:77,7:32,8:21,9:4,10:8,11:4,12:7,13:1,14:2,15:2,16:1,17:5,18:2,19:1,22:2,33:1,45:1
qht	0:7335
bn	0:1646,1:3992,2:788,3:108,4:10,5:2,6:3,7:5,10:2,22:1
ht	0:4280,1:754,2:397,3:222,4:143,5:59,6:25,7:15,8:16,9:15,10:1,11:2,12:2,13:2,14:1,15:3,16:1,19:1,20:1,25:1,27:1,29:1,61:1
qst	0:5000,1:445,2:30,3:2
uk	0:3564,1:535,2:174,3:140,4:71,5:22,6:18,7:6,8:3,9:3,10:2,11:1,12:2,14:1,15:5
vi	0:3260,1:503,2:274,3:185,4:76,5:32,6:23,7:11,8:4,9:5,10:6,11:1,12:1,13:3,15:1,16:1,17:1,18:1,21:1,22:4,23:5,24:1,26:1,27:2,32:3
ta	0:3193,1:391,2:342,3:173,4:96,5:43,6:54,7:7,8:8,9:11,10:2,11:3,12:4,14:6,15:1,16:3,18:2,23:4,24:1
sv	0:3030,1:428,2:363,3:159,4:43,5:9,6:5,7:2,8:12,12:2,13:1,15:2,17:1,20:1
el	0:3125,1:332,2:147,3:108,4:72,5:28,6:18,7:8,8:5,9:2,10:6,11:2,12:2,13:4,14:1,15:1,16:4,17:1,19:1,21:1,31:1,57:1
fi	0:2173,1:379,2:132,3:74,4:24,5:19,6:10,7:4,8:5,9:7,10:2,11:1,13:2,15:1,16:1,21:3,25:1,35:1,37:1
cs	0:2099,1:429,2:151,3:70,4:29,5:16,6:14,7:7,8:4,9:8,10:1,11:2,21:1,28:1
iw	0:2114,1:146,2:45,3:12,4:9,5:9,6:7,7:2,9:1,10:2,11:1,14:1,19:1,30:1
da	0:1507,1:297,2:182,3:69,4:12,5:12,6:4,7:5,8:8,9:2,10:1,11:1,12:2,13:1,134:1
eu	0:1496,1:221,2:199,3:60,4:32,5:8,6:10,7:2,8:8,9:2,10:2,11:5,13:3,19:1,24:1,29:1,111:1
no	0:1335,1:342,2:133,3:68,4:25,5:16,6:5,7:18,8:3,9:1,10:2,13:1,15:1,18:1,22:2,42:1,70:1,84:1
cy	0:1359,1:191,2:116,3:85,4:39,5:12,6:14,7:3,8:1,9:2,10:1,14:1,70:1
gu	0:1455,1:179,2:125,3:19,4:10,5:1,6:2,7:1,10:2,11:1,12:1
ro	0:1313,1:162,2:89,3:70,4:23,5:25,6:9,7:1,8:6,9:3,10:1,11:2,12:2,45:1
hu	0:1073,1:205,2:114,3:76,4:23,5:12,6:21,7:6,8:2,9:5,10:1,11:1,16:2,20:1,21:1,25:1,57:1
te	0:1141,1:120,2:99,3:60,4:18,5:8,6:14,7:7,8:6,9:3,10:2
mr	0:1021,1:132,2:73,3:28,4:22,5:17,6:13,7:3,8:3,9:8,10:2,11:3,12:3,13:1,14:1,17:1
is	0:898,1:212,2:95,3:52,4:21,5:10,6:21,7:10,10:2,13:1,20:1,62:1
lt	0:930,1:198,2:78,3:36,4:12,5:9,6:1,7:5,9:2,10:1,12:1,15:1,31:1,33:1,35:1,48:1
lv	0:987,1:140,2:54,3:29,4:22,5:4,6:3,7:2,13:1
ne	0:645,1:167,2:79,3:57,4:18,5:7,6:7,7:3,10:1,13:2,17:1,24:3,28:1
sl	0:728,1:92,2:61,3:37,4:19,5:5,6:2,7:1,9:1,11:1
am	0:513,1:83,2:31,3:22,4:8,5:5,6:2,7:3,9:6,10:2,11:5,12:3,13:1
my	0:406,1:81,2:57,3:30,4:14,5:13,6:4,15:5
sr	0:473,1:46,2:18,3:25,4:3,5:6,9:1,10:1
ps	0:454,1:42,2:21,3:14,4:6,5:6,6:1,7:1
kn	0:349,1:42,2:41,3:15,4:12,5:13,6:2,7:2,10:1,17:1
ml	0:295,1:69,2:36,3:14,4:6,5:8,6:3,7:2,9:1,10:1,11:1,15:1
bg	0:207,1:24,2:6,3:5,4:2,5:1,6:2,8:1,9:2,10:1
pa	0:168,1:24,2:13,3:8,5:1,6:1
ckb	0:126,1:29,2:10,3:3,5:1
si	0:129,1:11,2:6,3:5,4:2,10:1
km	0:92,1:15,2:17,3:13,4:6,5:1,7:1,8:1
or	0:111,1:15,2:4,3:12,4:2,5:1
lo	0:83,1:5,2:5,3:3,4:2,8:1,9:4
sd	0:56,1:8,2:7,3:6,4:2,5:3
dv	0:55,1:2,2:1,3:4
hy	0:52,1:4,2:2,3:1
ka	0:40,1:2,3:3,4:1,5:1
ug	0:2
qct	0:2
bo	0:1
