Day	Hour	Count	Coverage%
2022-10-01	00	164788	100.0
2022-10-01	01	121458	72.611
2022-10-01	02	170312	100.0
2022-10-01	03	172229	100.0
2022-10-01	04	116671	72.611
2022-10-01	05	157746	100.0
2022-10-01	06	159323	100.0
2022-10-01	07	166056	100.0
2022-10-01	08	175687	100.0
2022-10-01	09	183875	100.0
2022-10-01	10	196938	100.0
2022-10-01	11	222510	100.0
2022-10-01	12	241841	100.0
2022-10-01	13	249603	100.0
2022-10-01	14	255036	100.0
2022-10-01	15	250481	100.0
2022-10-01	16	225522	100.0
2022-10-01	17	200751	100.0
2022-10-01	18	176607	95.722
2022-10-01	19	83357	49.639
2022-10-01	20	162327	100.0
2022-10-01	21	162239	100.0
2022-10-01	22	157160	100.0
2022-10-01	23	159345	100.0
