Day	Hour	Count	Coverage%
2022-10-13	00	143640	100.0
2022-10-13	01	153879	100.0
2022-10-13	02	156374	100.0
2022-10-13	03	166401	100.0
2022-10-13	04	143734	100.0
2022-10-13	05	137222	100.0
2022-10-13	06	136329	100.0
2022-10-13	07	140021	100.0
2022-10-13	08	151420	100.0
2022-10-13	09	169558	100.0
2022-10-13	10	185326	100.0
2022-10-13	11	204166	100.0
2022-10-13	12	217832	100.0
2022-10-13	13	224354	100.0
2022-10-13	14	222231	100.0
2022-10-13	15	213374	99.806
2022-10-13	16	197892	100.0
2022-10-13	17	179752	100.0
2022-10-13	18	168488	100.0
2022-10-13	19	160934	100.0
2022-10-13	20	158342	100.0
2022-10-13	21	134731	87.417
