Value	Count
Twitter for Android	1617852
Twitter for iPhone	1266815
Twitter Web App	545210
Twitter for iPad	78336
Twitter for Mac	54723
twittbot.net	44844
TweetDeck	24518
Cheap Bots, Done Quick!	9059
WordPress.com	6423
Botbird tweets	4960
グランブルー ファンタジー	4780
Twitter	4592
Microsoft Power Platform	4342
BelugaCampaignSEA	4125
dlvr.it	3051
IFTTT	2889
Echofon  Android	2766
OWNLY Admin	2475
Twittascope	2466
Twitcom - Comunidades 	2061
Instagram	2042
Hootsuite Inc.	1796
Shuttlerock - Bluebird	1697
Arrow.	1576
Echoes Act2	1483
Tweetbot for iΟS	1323
Peing	1289
Karabiner	1122
Buffer	933
fllwrs	917
Radio.co now playing	877
feather for iOS  	851
PlayStation®Network	780
Nintendo Switch Share	736
TwitPane for Android	683
Twitter Media Studio	681
SocialDog for Twitter	675
Plume for Android	671
Arrow UAT	669
Twitter Web Client	643
Sprout Social	640
TweetCaster for Android	605
Echofon	592
やさしい世界を目指すマシュマロちゃん	561
Twittt.com	533
TwitCasting	531
ツイタマ for Android	434
Poshmark	425
今日のツイライフ	413
twitcle plus	399
Mirrativ	381
Revive Social App	378
ツイタマ+ for Android	361
TweetDeck Web App	353
ATELU for Twitter	336
MixChannel - ミクチャ	335
Tween	333
TwitPanePlus	319
Echobox	319
Sprinklr	313
LinkedIn	311
SocialFlow	300
Twidere for Android	296
Twiit.com	284
Zapier.com	272
livedoor Blog	270
Pattr	266
Tweetlogix	261
Twitterrific for iOS	257
Cubi.so	246
AbemaTV	245
SocialNewsDesk	242
Radio King LiveTweet	234
Tabtter Free	230
Airtime Pro	227
SocialBee.io v2	225
Paper.li	219
ツイ廃あらーと	208
Twitter for Advertisers	208
The Social Jukebox	196
SocialPilot.co	195
on TheWorld	194
SAM Broadcaster Song Info	189
Tweetbot for Mac	178
Blog2Social APP	172
zabuu_site	168
Camtsuku	167
Metricool	160
Hotpepper	160
Janetter for Android	156
Tumblr	155
Streamlabs Twitter	154
Hypefury	154
Janetter	148
Hel2um on iOS	145
CareerArc 2.0	145
Rakuten Group, Inc.	143
Foursquare	143
Weathercloud	140
Typefully	138
HubSpot	138
TestsForSearch	134
Make (formerly Integromat)	129
LaterMedia	128
MateCha	117
stafsmoketest	116
RTWIN	116
Sprinklr Publishing	115
SHOWROOM-LIVE	113
Janetter iOS	113
fusetter	108
SocialOomph	105
Fenix 2	104
BoxFresh	104
ツイ廃ジャー	103
Publer.io	103
True Anthem	101
Salesforce - Social Studio	98
Unfollowspy	97
Besocy_Oficial	95
Flamingo for Android	93
CORE ListingMachine	93
StreamElements	91
Pococha	91
Talon Android	89
BIGO LIVE	89
Spinitron Playlists	88
SAM Broadcaster Cloud	88
feather free for iOS 	87
