Language	Count
en	0:960460,1:168145,2:82629,3:40500,4:23265,5:10215,6:10562,7:4342,8:2614,9:2202,10:1212,11:681,12:523,13:336,14:237,15:309,16:200,17:168,18:99,19:69,20:170,21:34,22:50,23:27,24:49,25:97,26:45,27:46,28:32,29:16,30:52,31:14,32:23,33:11,34:22,35:9,36:15,37:8,38:6,39:16,40:3,41:5,42:7,44:2,45:2,46:9,47:1,48:4,50:5,51:1,52:2,53:2,54:1,56:4,59:1,60:1,61:1,62:1,63:1,64:1,65:4,66:2,68:1,69:1,70:2,72:1,73:2,74:1,77:2,80:1,81:1,82:3,84:13,91:1,96:1,98:1,99:1,100:1,103:1,104:1,106:2,108:2,113:1,114:1,116:1,118:1,124:2,127:1,131:2,134:1,136:1
ja	0:467719,1:84186,2:46377,3:31053,4:20615,5:13116,6:9204,7:6466,8:3476,9:2627,10:2245,11:1048,12:665,13:629,14:372,15:255,16:197,17:203,18:204,19:351,20:97,21:105,22:374,23:62,24:42,25:44,26:90,27:24,28:17,29:26,30:45,31:11,32:22,33:6,34:17,35:12,36:7,37:7,38:13,39:6,40:11,41:5,42:1,43:4,44:1,45:1,46:1,47:4,49:4,50:14,51:4,52:1,53:5,54:2,56:1,57:3,58:1,60:1,64:3,65:1,66:2,68:1,69:1,70:2,71:7,72:2,73:1,76:2,77:1,80:1,81:2,85:1,88:1,91:2,104:1,106:1,107:1,108:1,109:1,111:1
ar	0:107222,1:22839,2:12232,3:6062,4:9454,5:2508,6:27355,7:8388,8:6909,9:10208,10:31016,11:635,12:755,13:1262,14:5782,15:1316,16:17586,17:531,18:2797,19:1993,20:3823,21:4436,22:4235,23:3087,24:41350,25:4049,26:3191,27:2462,28:2050,29:1297,30:811,31:321,32:85,33:3,34:4,35:5,36:3,37:1,38:6,39:5,40:1,41:5,42:4,43:2,44:3,45:3,46:3,47:2,48:2,49:3,50:3,51:2,52:1,54:2,55:2,56:2,57:3,60:1,61:1,62:2,65:1,66:1,67:2,69:1,70:1,71:1,72:1,78:1,83:1,86:1,87:1,88:1,90:1,91:1,93:1,99:1,100:1,116:1,117:1,124:1,129:1,130:1
und	0:55891,1:29775,2:29791,3:13107,4:9247,5:3314,6:20374,7:6539,8:12351,9:4363,10:44873,11:370,12:703,13:1050,14:20055,15:983,16:13276,17:204,18:1224,19:3211,20:6214,21:7230,22:6552,23:4200,24:4051,25:2939,26:3414,27:3094,28:2542,29:1595,30:834,31:288,32:69,33:4,34:12,35:7,36:20,37:7,38:4,39:11,40:10,41:1,42:9,43:5,44:5,45:11,46:1,47:1,48:13,49:2,50:3,51:3,52:9,53:2,54:1,55:2,56:6,58:2,59:4,60:1,62:3,63:13,64:5,65:5,66:2,67:2,68:2,69:2,70:1,71:1,72:2,73:2,74:1,75:1,76:1,77:1,78:7,80:2,83:2,84:5,85:2,88:1,91:1,93:2,94:1,98:3,99:1,103:1,106:1,108:1,110:1,111:1,112:1,116:1,117:2,118:1,120:1,124:5,125:3,127:1,129:1,130:4,136:1,137:1,138:2,139:3,140:15
es	0:223623,1:32746,2:14955,3:8487,4:4017,5:2270,6:1358,7:794,8:580,9:301,10:230,11:181,12:146,13:96,14:109,15:72,16:97,17:63,18:42,19:43,20:31,21:19,22:18,23:9,24:9,25:6,26:5,27:5,28:6,29:5,30:3,31:1,32:7,33:1,34:3,35:3,36:1,37:5,38:1,39:2,40:1,43:1,44:1,45:2,46:3,47:1,48:1,51:1,52:1,53:1,55:1,57:2,69:1,73:2,77:1,83:1,89:1,102:1
pt	0:236191,1:20614,2:7469,3:4197,4:2152,5:909,6:553,7:423,8:259,9:122,10:301,11:77,12:60,13:42,14:231,15:69,16:21,17:15,18:16,19:4,20:5,21:4,22:9,23:5,24:7,25:3,26:3,27:5,28:2,29:2,30:3,31:3,32:3,33:1,34:2,35:3,36:1,38:2,39:2,42:1,44:1,52:1,59:1,63:1,70:2,71:4,72:1,76:1,78:1,82:1,90:1
th	0:150884,1:24959,2:14974,3:7991,4:4355,5:2214,6:1337,7:896,8:529,9:311,10:188,11:153,12:96,13:69,14:73,15:48,16:65,17:18,18:31,19:7,20:12,21:6,22:6,23:2,24:10,25:4,27:3,30:2,31:3,33:23,35:1,36:1,37:1,38:1,41:1,52:1,56:1,66:1
tr	0:183452,1:10237,2:4683,3:2130,4:1130,5:619,6:427,7:158,8:158,9:149,10:65,11:51,12:41,13:42,14:18,15:8,16:7,17:6,18:4,19:1,20:3,21:1,22:2,23:7,24:1,25:5,26:4,27:1,29:1,30:3,32:1,33:1,34:1,37:1,38:2,44:1,51:1,52:2,60:1
ko	0:113943,1:14624,2:8019,3:3586,4:1946,5:1142,6:646,7:393,8:258,9:105,10:98,11:39,12:32,13:21,14:11,15:14,16:13,17:2,18:7,19:13,20:4,21:11,22:3,23:1,25:3,26:1,28:2,29:1,31:1,33:1,34:1,36:1,37:1,40:1,44:1,59:1,60:1,64:2,66:1,68:2,75:1,91:1,99:1
fa	0:125996,1:6061,2:2388,3:821,4:416,5:141,6:174,7:47,8:33,9:23,10:12,11:9,12:7,13:18,14:1,15:5,17:5,18:1,20:2,21:1,22:3,23:1,24:34,25:1,26:2,27:96,30:1,34:1,36:1,40:2,43:1,44:1,47:1,53:1
