Emoji	Count
🌀	1081711
🔹	426190
🟦	355989
🔥	238337
🔵	222460
♻️	216404
➖	186777
❄️	172575
🔷	165844
😭	132504
‼️	131418
✨	112312
🔰	110547
😂	110107
💧	91333
🤣	72258
🕥	71180
❤️	55802
✅	46067
🎁	37357
🙌🏻	32265
😍	30609
🙏	29541
🎉	28350
🥺	27645
💦	26970
🥰	25037
💕	24814
👇	24737
💙	23746
🌟	22996
🥹	22215
❤	20561
🚨	19454
🤍	18911
😊	18838
💜	18603
👍	18125
👏	18063
👀	17056
💖	15880
💗	15388
💚	15049
🔴	14597
📌	14330
💛	14273
🏆	14001
👉	13972
💥	13929
🌹	13614
📍	13562
❗	13396
😈	13250
😅	13129
♥️	12992
💰	12846
😆	12812
😘	12365
☺️	12213
🌸	11902
🤔	11773
💔	11415
🖤	11327
💯	10865
⚡	10398
🍀	10367
💪	10284
🥲	10204
💎	10030
💀	10014
💓	9889
😁	9888
🎊	9853
💫	9782
🎯	9706
💋	9630
🔔	9617
🎶	9434
📢	9387
💞	9371
🤭	9325
🤤	9096
🍆	9032
🍑	9009
😳	8869
🚀	8831
👑	8720
🥳	8709
🌈	8597
🍮	8590
🔗	8574
♻	8530
🎥	8508
❌	8479
😋	8455
♦️	8410
🥵	8354
👌	8120
🎃	8073
💸	8027
🍁	7962
😎	7915
⭐	7882
🔻	7770
💠	7720
🤩	7703
🫶🏻	7664
🌷	7588
🎀	7521
💌	7468
📣	7462
🐰	7410
🐶	7363
💐	7319
🎂	7245
🍵	7151
📱	6961
😉	6950
⬇️	6892
📸	6884
1⃣	6842
👋	6803
👅	6800
🌺	6764
📲	6754
📺	6751
❤️‍🔥	6718
🐱	6616
🙄	6556
👊	6556
🐷	6490
🍂	6451
🍒	6450
❣️	6431
⚠️	6424
🌿	6380
🐾	6346
💨	6324
🌙	6300
😔	6286
🫶	6271
💘	6227
👻	6202
🤗	6201
🎵	6156
🌻	6030
😌	6005
🙌	6004
😩	5968
🌱	5944
🔞	5941
🔺	5881
🏮	5872
📝	5827
1️⃣	5820
🟩	5806
🔁	5795
🤡	5783
💭	5720
😇	5716
🌼	5684
🙏🏻	5682
🎈	5670
🌊	5655
💝	5625
👈	5625
🐯	5552
💢	5533
😏	5511
💬	5511
😢	5467
🎬	5442
➡️	5402
🍃	5349
💵	5326
🎧	5288
🔄	5262
🫠	5175
🐈	5128
🐹	5110
