Value	Count
Twitter for Android	1972195
Twitter for iPhone	1487237
Twitter Web App	598755
Twitter for iPad	78521
Twitter for Mac	66041
twittbot.net	49138
TweetDeck	23935
Cheap Bots, Done Quick!	9944
WordPress.com	6797
Echofon  Android	5679
Botbird tweets	5023
BelugaCampaignSEA	4837
Microsoft Power Platform	4784
Twitter	4677
グランブルー ファンタジー	4500
Arrow.	3911
dlvr.it	3139
IFTTT	3075
Twittascope	2358
Twitcom - Comunidades 	2311
Instagram	2202
Hootsuite Inc.	2004
Shuttlerock - Bluebird	1756
fllwrs	1584
Twitter Web Client	1505
Echoes Act2	1456
Tweetbot for iΟS	1423
Peing	1261
OWNLY Admin	936
Buffer	929
PlayStation®Network	896
feather for iOS  	877
Nintendo Switch Share	819
SocialDog for Twitter	728
Twitter Media Studio	723
TwitPane for Android	705
Twittt.com	670
Echofon	558
やさしい世界を目指すマシュマロちゃん	546
Tweets v2.1	530
Sprout Social	521
Radio.co now playing	517
TwitCasting	507
TweetCaster for Android	482
Poshmark	456
今日のツイライフ	443
ツイタマ for Android	441
Echobox	408
twitcle plus	406
TwitPanePlus	396
Mirrativ	395
Revive Social App	392
Camtsuku	367
ツイタマ+ for Android	347
MixChannel - ミクチャ	345
Tween	341
TweetDeck Web App	327
Cercanías Avisos	327
Sprinklr	319
SocialFlow	313
Twitterrific for iOS	307
LinkedIn	295
SocialPilot.co	282
Twidere for Android	281
Zapier.com	265
Cubi.so	264
Tweetlogix	253
SocialNewsDesk	249
Airtime Pro	248
SocialBee.io v2	241
Radio King LiveTweet	240
ツイ廃あらーと	238
Tabtter Free	237
Rakuten Group, Inc.	236
Twitter for Advertisers	233
The Social Jukebox	232
CORE ListingMachine	232
livedoor Blog	228
 「モンストからツイート」	217
Paper.li	211
Streamlabs Twitter	210
on TheWorld	199
RTWIN	188
Blog2Social APP	188
Tweetbot for Mac	183
Janetter for Android	183
Metricool	179
zabuu_site	177
Hotpepper	177
Plume for Android	176
HubSpot	175
VIEWBUG	174
Weathercloud	171
Hypefury	163
TestsForSearch	162
SAM Broadcaster Song Info	160
Tumblr	155
Twiit.com	151
SHOWROOM-LIVE	149
CareerArc 2.0	148
Karabiner	146
Make (formerly Integromat)	143
Pattr	141
Fenix 2	139
SocialOomph	138
Spinitron Playlists	134
Salesforce - Social Studio	133
Janetter	132
Foursquare	129
Sprinklr Publishing	128
Janetter iOS	124
MateCha	123
BoiteCampaignTool	121
fusetter	120
Hel2um on iOS	118
LaterMedia	116
Typefully	114
懸賞ファン	111
Pococha	111
Besocy_Oficial	111
stafsmoketest	106
True Anthem	106
Flamingo for Android	104
Tweet Hunter Pro	102
Tweecha Lite	99
ContentStudio.io	99
Tweecha2 for Android	97
StreamElements	96
SocialRabbit Plugin	95
Periscope	94
Talon Android	91
GroupTweet	91
SAM Broadcaster Cloud	89
BoxFresh	88
Postcron App	87
jigtwi	86
Agorapulse app	86
Fan Experiences Platform	84
feather free for iOS 	83
MixLive Now Playing Info	83
